iso3,country,wdi_remittance_pct_gdp,wdi_year,rpw_period,rpw_corridors_observed,matched_rpw_corridors,total_knomad_inbound_flow_usd_million,matched_flow_usd_million,flow_coverage_share,quote_mean_cost_pct,quote_median_cost_pct,flow_weighted_mean_cost_pct,flow_minus_quote_cost_pct,fragility_quote_mean,fragility_flow_weighted,quote_rank,flow_weighted_rank,rank_improvement_after_flow_weighting,top5_membership_status,low_matched_flow_coverage_flag,single_matched_corridor_flag,flow_weighted_top5_low_coverage_flag,rpw_quote_absence_flag,flow_coverage_gap_pct_points,evidence_confidence_class,evidence_confidence_label,evidence_confidence_action
LKA,Sri Lanka,6.792,2024,2025_1Q,11,11,5520.0,4422.0,0.8011,5.4053,5.5983,4.6447,-0.7605,9.8,8.4,13,14,-1,ranked_outside_top5,False,False,False,False,19.89,broadly_observed_ranked,Broadly observed ranked row,Rankable inside this module; still not a household transaction estimate.
AFG,Afghanistan,3.9533,2020,2025_1Q,4,4,298.0,74.0,0.2483,8.3788,8.9892,7.282,-1.0968,8.8,7.7,14,15,-1,ranked_outside_top5,True,False,False,False,75.17,low_flow_coverage_ranked,Low matched-flow coverage,Use only as a validation target; matched RPW corridors cover less than 25 percent of estimated inbound flow.
IND,India,3.5212,2024,2025_1Q,20,20,89374.0,84967.0,0.9507,8.4454,6.7976,5.5869,-2.8584,7.9,5.2,16,16,0,ranked_outside_top5,False,False,False,False,4.93,broadly_observed_ranked,Broadly observed ranked row,Rankable inside this module; still not a household transaction estimate.
LAO,Lao People's Democratic Republic,1.4942,2024,2025_1Q,1,1,224.0,155.0,0.692,11.8382,11.8382,11.8382,0.0,4.7,4.7,17,17,0,ranked_outside_top5,False,True,False,False,30.8,one_corridor_ranked,One matched corridor,Keep the row visible but check whether one corridor is a policy-relevant proxy.
THA,Thailand,1.796,2024,2025_1Q,7,7,9066.0,4667.0,0.5148,6.2562,4.9383,7.1832,0.9271,3.0,3.4,18,18,0,ranked_outside_top5,False,False,False,False,48.52,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
IDN,Indonesia,1.1486,2024,2025_1Q,9,9,9396.0,7776.0,0.8276,6.5354,6.0303,4.8271,-1.7083,2.0,1.5,19,19,0,ranked_outside_top5,False,False,False,False,17.24,broadly_observed_ranked,Broadly observed ranked row,Rankable inside this module; still not a household transaction estimate.
MYS,Malaysia,0.3802,2024,2025_1Q,2,2,1562.0,1136.0,0.7273,12.7817,12.7817,17.684,4.9024,1.3,1.5,20,20,0,ranked_outside_top5,False,False,False,False,27.27,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
CHN,"China, People's Republic of",0.1676,2024,2025_1Q,16,16,52998.0,34842.0,0.6574,8.2197,5.9883,7.2208,-0.9989,0.4,0.3,21,21,0,ranked_outside_top5,False,False,False,False,34.26,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
AZE,Azerbaijan,1.8188,2024,,0,0,1526.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
BTN,Bhutan,3.5825,2023,,0,0,55.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
BRN,Brunei Darussalam,,,,0,0,,,,,,,,,,,,,not_ranked,False,False,False,False,,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
COK,Cook Islands,,,,0,0,,,,,,,,,,,,,not_ranked,False,False,False,False,,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
GEO,Georgia,11.8705,2024,,0,0,2643.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
HKG,"Hong Kong, China",0.1125,2024,,0,0,457.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
KAZ,Kazakhstan,0.0826,2024,,0,0,306.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
KIR,Kiribati,4.7613,2024,,0,0,15.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
MDV,Maldives,0.08,2024,,0,0,4.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
MHL,Marshall Islands,23.0632,2024,,0,0,30.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
FSM,"Micronesia, Federated States of",,,,0,0,,,,,,,,,,,,,not_ranked,False,False,False,False,,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
MNG,Mongolia,2.2177,2024,,0,0,530.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
NRU,Nauru,1.3747,2024,,0,0,,,,,,,,,,,,,not_ranked,False,False,False,False,,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
NIU,Niue,,,,0,0,,,,,,,,,,,,,not_ranked,False,False,False,False,,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
PLW,Palau,0.8015,2023,,0,0,1.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
PNG,Papua New Guinea,0.0122,2024,,0,0,2.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
SLB,Solomon Islands,6.0089,2024,,0,0,49.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
TPE,"Taipei,China",,,,0,0,,,,,,,,,,,,,not_ranked,False,False,False,False,,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
TLS,Timor-Leste,11.7692,2024,,0,0,168.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
TKM,Turkmenistan,,,,0,0,1.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
TUV,Tuvalu,4.1631,2023,,0,0,,,,,,,,,,,,,not_ranked,False,False,False,False,,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
UZB,Uzbekistan,14.4211,2024,,0,0,9198.0,,0.0,,,,,,,,,,not_ranked,False,False,False,True,100.0,flow_visible_no_rpw_quote,"Flow visible, no RPW quote",Treat as a coverage absence; add corridor-price validation before ranking.
VNM,Viet Nam,,,2025_1Q,12,12,18060.0,15454.0,0.8557,6.5208,5.789,5.5359,-0.9849,,,,,,not_ranked,False,False,False,False,14.43,not_rankable_in_module,Not rankable in module,Insufficient public-source join for a flow-weighted rank.
