iso3,country,rank_cap45,rank_cap22_5,rank_labor,pm25_ugm3,outdoor_labor_share_pct,published_exposed_outdoor_millions_x_total_pop,wdi_population_total,wdi_population_total_year,wdi_pop_0_14_pct,wdi_pop_0_14_year,population_15plus_millions,employment_to_population_15plus_pct,employment_to_population_year,observed_employed_15plus_millions,observed_exposed_outdoor_worker_millions,published_to_observed_worker_ratio,difference_millions_published_minus_observed,baseline_tasmax_1995_2014_c,baseline_tasmax_value_key,future_tasmax_2040_2059_ssp245_c,future_tasmax_value_key,tasmax_delta_c,denominator_status,heat_source_status,cckp_baseline_url,cckp_future_url
UZB,Uzbekistan,11,15,25,31.96,37.8,13.7,36361859.0,2024,31.1,2024,25.05,54.84,2025,13.74,5.19,2.65,8.55,18.97,1995-07,20.69,2040-07,1.72,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/UZB?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/UZB?format=json
ARM,Armenia,12,14,24,30.58,37.9,1.1,3033500.0,2024,19.24,2024,2.45,51.74,2025,1.27,0.48,2.39,0.67,11.51,1995-07,13.4,2040-07,1.89,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/ARM?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/ARM?format=json
BTN,Bhutan,13,8,7,23.95,51.0,0.4,791524.0,2024,20.91,2024,0.63,62.73,2025,0.39,0.2,2.02,0.2,13.99,1995-07,15.3,2040-07,1.31,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/BTN?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/BTN?format=json
MNG,Mongolia,14,12,22,29.65,38.7,1.4,3524788.0,2024,32.19,2024,2.39,56.56,2025,1.35,0.52,2.61,0.84,7.37,1995-07,9.14,2040-07,1.77,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/MNG?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/MNG?format=json
KHM,Cambodia,15,9,10,24.14,48.4,8.5,17638801.0,2024,29.79,2024,12.38,82.17,2025,10.18,4.93,1.73,3.61,31.87,1995-07,33.02,2040-07,1.15,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/KHM?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/KHM?format=json
AZE,Azerbaijan,16,16,15,21.73,42.4,4.3,10202830.0,2024,21.81,2024,7.98,59.83,2025,4.77,2.02,2.14,2.3,16.89,1995-07,18.61,2040-07,1.72,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/AZE?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/AZE?format=json
VNM,Viet Nam,17,17,13,20.8,43.0,43.4,100987686.0,2024,23.22,2024,77.53,71.67,2025,55.57,23.89,1.82,19.53,27.67,1995-07,28.88,2040-07,1.21,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/VNM?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/VNM?format=json
TLS,Timor-Leste,18,18,11,17.41,48.3,0.7,1400638.0,2024,33.66,2024,0.93,65.91,2025,0.61,0.3,2.29,0.38,27.79,1995-07,28.85,2040-07,1.06,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/TLS?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/TLS?format=json
LKA,Sri Lanka,19,19,19,19.96,39.4,8.6,21916000.0,2024,22.03,2024,17.09,46.57,2025,7.96,3.14,2.75,5.5,30.38,1995-07,31.31,2040-07,0.93,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/LKA?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/LKA?format=json
KGZ,Kyrgyzstan,20,20,30,24.38,29.3,2.1,7221868.0,2024,32.34,2024,4.89,55.34,2025,2.7,0.79,2.67,1.32,5.43,1995-07,7.24,2040-07,1.81,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/KGZ?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/KGZ?format=json
TKM,Turkmenistan,21,21,26,19.6,36.6,2.7,7494498.0,2024,31.51,2024,5.13,40.24,2025,2.07,0.76,3.63,1.99,22.43,1995-07,24.14,2040-07,1.71,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/TKM?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/TKM?format=json
GEO,Georgia,22,22,14,17.04,42.9,1.6,3699557.0,2024,20.8,2024,2.93,56.53,2025,1.66,0.71,2.23,0.88,12.63,1995-07,14.37,2040-07,1.74,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/GEO?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/GEO?format=json
PNG,Papua New Guinea,23,23,17,17.31,41.3,4.4,10576502.0,2024,33.48,2024,7.04,50.73,2025,3.57,1.47,2.96,2.89,26.99,1995-07,28.01,2040-07,1.02,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PNG?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/PNG?format=json
IDN,Indonesia,24,24,20,17.88,39.1,110.8,283487931.0,2024,24.6,2024,213.76,65.77,2025,140.58,54.97,2.02,55.88,28.94,1995-07,29.97,2040-07,1.03,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/IDN?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/IDN?format=json
PHL,Philippines,25,25,29,20.29,30.9,35.8,115843670.0,2024,27.87,2024,83.56,59.98,2025,50.12,15.49,2.31,20.31,28.9,1995-07,29.94,2040-07,1.04,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PHL?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/PHL?format=json
VUT,Vanuatu,26,26,8,14.08,49.8,0.2,327777.0,2024,38.31,2024,0.2,55.16,2025,0.11,0.06,2.94,0.11,26.4,1995-07,27.31,2040-07,0.91,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/VUT?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/VUT?format=json
SLB,Solomon Islands,27,27,12,13.95,46.6,0.4,819198.0,2024,36.97,2024,0.52,83.09,2025,0.43,0.2,1.91,0.18,27.83,1995-07,28.83,2040-07,1.0,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/SLB?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/SLB?format=json
KAZ,Kazakhstan,28,28,32,20.03,21.6,4.4,20592571.0,2024,29.37,2024,14.54,64.54,2025,9.39,2.03,2.19,2.42,12.17,1995-07,13.95,2040-07,1.78,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/KAZ?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/KAZ?format=json
FJI,Fiji,29,29,16,12.42,42.4,0.4,928784.0,2024,27.09,2024,0.68,54.1,2025,0.37,0.16,2.54,0.24,27.0,1995-07,27.86,2040-07,0.86,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/FJI?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/FJI?format=json
TON,Tonga,30,30,27,12.48,35.9,0.0,104175.0,2024,35.4,2024,0.07,48.81,2025,0.03,0.01,3.17,0.03,25.37,1995-07,26.15,2040-07,0.78,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/TON?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/TON?format=json
WSM,Samoa,31,31,28,12.55,35.4,0.1,218019.0,2024,38.46,2024,0.13,40.41,2025,0.05,0.02,4.02,0.06,26.77,1995-07,27.67,2040-07,0.9,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/WSM?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/WSM?format=json
MYS,Malaysia,32,32,31,16.19,22.4,8.0,35557673.0,2024,21.79,2024,27.81,63.63,2025,17.7,3.96,2.01,4.0,29.83,1995-07,30.88,2040-07,1.05,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/MYS?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/MYS?format=json
MDV,Maldives,33,33,33,12.01,20.1,0.1,527799.0,2024,19.59,2024,0.42,60.63,2025,0.26,0.05,2.05,0.05,27.9,1995-07,28.85,2040-07,0.95,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/MDV?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/MDV?format=json
BRN,Brunei Darussalam,34,34,34,7.6,11.5,0.1,462721.0,2024,20.83,2024,0.37,60.85,2025,0.22,0.03,2.08,0.03,30.19,1995-07,31.27,2040-07,1.08,observed WDI denominator joined,national CCKP tasmax visible; no worker heat-exposure join,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/BRN?format=json,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_2040-2059_median_ssp245_ensemble_all_mean/BRN?format=json
