iso3,country,year,employed_15plus,potential_heat_lost_hours_total,potential_heat_lost_hours_millions,potential_heat_lost_hours_per_employed_person,service_lost_hours,manufacturing_lost_hours,agriculture_lost_hours,construction_lost_hours,agriculture_construction_share_pct,lancet_outdoor_workers,lancet_outdoor_workers_pct,wdi_total_population_proxy_outdoor_workers_millions,wdi_repaired_outdoor_workers_millions,lancet_outdoor_workers_millions,heat_data_status,outdoor_worker_status,retrieved_at,heat_rank_per_worker,heat_rank_total
IDN,Indonesia,2024,138311128,35253728510.0,35253.729,254.89,3476700700.0,3091830170.0,23571040840.0,5114156800.0,81.4,70700359.0,33.1,110.8,54.97,70.7,present,present,2026-07-18,11,3
PHL,Philippines,2024,52601363,13157071280.0,13157.071,250.13,1788386190.0,723232780.0,7304326920.0,3341125390.0,80.9,17390688.0,20.8,35.8,15.49,17.39,present,present,2026-07-18,12,8
NPL,Nepal,2024,7801620,1715139110.0,1715.139,219.84,90264800.0,80531810.0,1514006590.0,30335910.0,90.0,2754143.0,13.0,11.6,2.91,2.75,present,present,2026-07-18,13,13
MYS,Malaysia,2024,17621260,3544387800.0,3544.388,201.14,694191420.0,558363990.0,1154770510.0,1137061880.0,64.7,6239513.0,22.4,8.0,3.96,6.24,present,present,2026-07-18,14,11
WSM,Samoa,2024,53357,9991120.0,9.991,187.25,818120.0,320190.0,7325090.0,1527720.0,88.6,24144.0,18.0,0.1,0.02,0.02,present,present,2026-07-18,15,32
NRU,Nauru,2024,4255,771850.0,0.772,181.4,126850.0,40420.0,393010.0,211570.0,78.3,1580.0,21.3,,,0.0,present,present,2026-07-18,16,40
TUV,Tuvalu,2024,3703,664630.0,0.665,179.48,118590.0,37330.0,330690.0,178020.0,76.5,1343.0,20.8,,,0.0,present,present,2026-07-18,17,41
VUT,Vanuatu,2024,112129,19467160.0,19.467,173.61,869680.0,332720.0,15623100.0,2641660.0,93.8,40998.0,20.3,0.2,0.06,0.04,present,present,2026-07-18,18,30
KIR,Kiribati,2024,50284,8562170.0,8.562,170.28,1369370.0,442610.0,4386850.0,2363340.0,78.8,8091.0,9.2,,,0.01,present,present,2026-07-18,19,33
PLW,Palau,2024,8281,1397670.0,1.398,168.78,247340.0,78840.0,696230.0,375260.0,76.7,3436.0,23.8,,,0.0,present,present,2026-07-18,20,39
FSM,"Micronesia, Federated States of",2024,44144,7359590.0,7.36,166.72,1282660.0,411130.0,3682120.0,1983680.0,77.0,15160.0,19.7,,,0.02,present,present,2026-07-18,21,35
MDV,Maldives,2024,264808,43161050.0,43.161,162.99,7592230.0,3514890.0,12251520.0,19802410.0,74.3,100819.0,23.8,0.1,0.05,0.1,present,present,2026-07-18,22,26
MHL,Marshall Islands,2024,14083,2209570.0,2.21,156.9,366530.0,119660.0,1120140.0,603240.0,78.0,4958.0,20.2,,,0.0,present,present,2026-07-18,23,37
TLS,Timor-Leste,2024,614459,95894400.0,95.894,156.06,5924110.0,2105260.0,77154660.0,10710370.0,91.6,281884.0,30.3,0.7,0.3,0.28,present,present,2026-07-18,24,23
BRN,Brunei Darussalam,2024,224937,32474950.0,32.475,144.37,13302510.0,3815820.0,2758550.0,12598070.0,47.3,68319.0,18.6,0.1,0.03,0.07,present,present,2026-07-18,25,27
FJI,Fiji,2024,373178,53345680.0,53.346,142.95,4735330.0,1465340.0,36119050.0,11025960.0,88.4,156038.0,23.0,0.4,0.16,0.16,present,present,2026-07-18,26,25
PNG,Papua New Guinea,2024,3599446,493044400.0,493.044,136.98,41275440.0,2952600.0,405337940.0,43478420.0,91.0,1476735.0,21.0,4.4,1.47,1.48,present,present,2026-07-18,27,15
CHN,China,2024,747220183,71598517830.0,71598.518,95.82,9512068110.0,11775709150.0,36032032310.0,14278708260.0,70.3,264871840.0,22.2,535.4,276.89,264.87,present,present,2026-07-18,28,2
TON,Tonga,2024,34233,2900300.0,2.9,84.72,173340.0,259220.0,1891900.0,575840.0,85.1,10869.0,16.2,0.0,0.01,0.01,present,present,2026-07-18,29,36
HKG,"Hong Kong, China",2024,3697302,305541030.0,305.541,82.64,126815860.0,11861100.0,3139170.0,163724900.0,54.6,,,,,,present,not published in workbook,2026-07-18,30,16
NIU,Niue,2024,802,60220.0,0.06,75.09,8300.0,2950.0,31800.0,17170.0,81.3,276.0,19.7,,,0.0,present,present,2026-07-18,31,43
BTN,Bhutan,2024,379470,26909450.0,26.909,70.91,2398370.0,975440.0,20150570.0,3385070.0,87.5,176411.0,28.2,0.4,0.2,0.18,present,present,2026-07-18,32,28
COK,Cook Islands,2024,5946,323240.0,0.323,54.36,40390.0,14980.0,174010.0,93860.0,82.9,2079.0,20.0,,,0.0,present,present,2026-07-18,33,42
TKM,Turkmenistan,2024,2372199,105437270.0,105.437,44.45,7380770.0,13760210.0,64475560.0,19820730.0,79.9,1071064.0,20.9,2.7,0.76,1.07,present,present,2026-07-18,34,21
TJK,Tajikistan,2024,2476147,96407230.0,96.407,38.93,3566440.0,1700850.0,70430230.0,20709710.0,94.5,2047802.0,30.3,5.6,1.27,2.05,present,present,2026-07-18,35,22
AZE,Azerbaijan,2024,4772535,169159410.0,169.159,35.44,8825280.0,3379930.0,129622620.0,27331580.0,92.8,1678379.0,20.8,4.3,2.02,1.68,present,present,2026-07-18,36,19
AFG,Afghanistan,2024,7327403,245904530.0,245.905,33.56,8119550.0,6181970.0,192354340.0,39248670.0,94.2,5106355.0,21.0,26.0,4.82,5.11,present,present,2026-07-18,37,17
UZB,Uzbekistan,2024,13490091,243629270.0,243.629,18.06,45021430.0,18875500.0,167633280.0,12099060.0,73.8,5262619.0,21.0,13.7,5.19,5.26,present,present,2026-07-18,38,18
GEO,Georgia,2024,1671213,25275580.0,25.276,15.12,916610.0,475990.0,21241780.0,2641200.0,94.5,827678.0,27.4,1.6,0.71,0.83,present,present,2026-07-18,39,29
KAZ,Kazakhstan,2024,9875090,59115060.0,59.115,5.99,5719490.0,2064960.0,29103140.0,22227470.0,86.8,2965023.0,20.4,4.4,2.03,2.97,present,present,2026-07-18,40,24
ARM,Armenia,2024,1306767,7753290.0,7.753,5.93,45790.0,52470.0,6787020.0,868010.0,98.7,516224.0,21.5,1.1,0.48,0.52,present,present,2026-07-18,41,34
KGZ,Kyrgyz Republic,2024,3075504,15308650.0,15.309,4.98,662240.0,553320.0,9431360.0,4661730.0,92.1,993266.0,20.4,2.1,0.79,0.99,present,present,2026-07-18,42,31
MNG,Mongolia,2024,1352528,1461150.0,1.461,1.08,15290.0,23680.0,1147150.0,275030.0,97.3,546872.0,23.2,1.4,0.52,0.55,present,present,2026-07-18,43,38
TWN,"Taipei,China",,,,,,,,,,,,,,,,not published in workbook,not published in workbook,2026-07-18,,
