iso3,country,indicator_code,indicator_short,indicator_label,policy_surface,latest_year,indicator_global_latest_year,relative_lag_years,calendar_age_years,indicator_source_calendar_age_years,indicator_source_context,refresh_status,protocol_review_cell,value,missing,stale_ge_3_years
LAO,Lao People's Democratic Republic,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,1.326516,False,False
MYS,Malaysia,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,3.9576,False,False
MDV,Maldives,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,9.249736,False,False
MHL,Marshall Islands,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,13.40529,False,False
FSM,"Micronesia, Federated States of",SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,12.880876,False,False
MNG,Mongolia,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,6.072075,False,False
MMR,Myanmar,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.457484,False,False
NRU,Nauru,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,18.21076,False,False
NPL,Nepal,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,6.158437,False,False
PAK,Pakistan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,2.519883,False,False
PLW,Palau,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,10.854682,False,False
PNG,Papua New Guinea,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,2.870814,False,False
PHL,Philippines,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,5.101225,False,False
WSM,Samoa,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,6.781033,False,False
SLB,Solomon Islands,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,5.363662,False,False
LKA,Sri Lanka,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,3.683138,False,False
TJK,Tajikistan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,7.437899,False,False
THA,Thailand,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.537877,False,False
TLS,Timor-Leste,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,9.597795,False,False
TON,Tonga,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,7.360378,False,False
TKM,Turkmenistan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,5.497891,False,False
TUV,Tuvalu,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,27.089685,False,False
UZB,Uzbekistan,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,6.743129,False,False
VUT,Vanuatu,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.118668,False,False
VNM,Viet Nam,SH.XPD.CHEX.GD.ZS,Health spend,Current health expenditure (% GDP),health finance,2023,2024,1,3,2,standard-lag global series,one_reference_year_watch,False,4.561095,False,False
AFG,Afghanistan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2023,2025,2,3,1,near-current global series,protocol_review,True,112.230904,False,False
ARM,Armenia,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,101.990554,False,False
AZE,Azerbaijan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,105.625024,False,False
BGD,Bangladesh,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,106.49131,False,False
BTN,Bhutan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,114.881124,False,False
BRN,Brunei Darussalam,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,94.820787,False,False
KHM,Cambodia,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,108.971333,False,False
CHN,"China, People's Republic of",SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,99.644963,False,False
COK,Cook Islands,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,,2025,,,1,near-current global series,missing_public_field,True,,True,False
FJI,Fiji,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,110.377231,False,False
GEO,Georgia,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,99.356021,False,False
HKG,"Hong Kong, China",SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,103.152956,False,False
IND,India,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,111.033783,False,False
IDN,Indonesia,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,100.371429,False,False
KAZ,Kazakhstan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,97.332988,False,False
KIR,Kiribati,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,95.2685,False,False
KGZ,Kyrgyz Republic,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,98.953543,False,False
LAO,Lao People's Democratic Republic,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,93.143525,False,False
MYS,Malaysia,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,90.359559,False,False
MDV,Maldives,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,99.714538,False,False
MHL,Marshall Islands,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,101.801289,False,False
FSM,"Micronesia, Federated States of",SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,82.15982,False,False
MNG,Mongolia,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,92.340079,False,False
MMR,Myanmar,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2018,2025,7,8,1,near-current global series,stale_alert,True,120.214569,False,True
NRU,Nauru,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,94.401331,False,False
NPL,Nepal,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,128.558747,False,False
PAK,Pakistan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,83.726068,False,False
PLW,Palau,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,106.937269,False,False
PNG,Papua New Guinea,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2023,2025,2,3,1,near-current global series,protocol_review,True,121.090488,False,False
PHL,Philippines,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,94.033091,False,False
WSM,Samoa,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,101.043324,False,False
SLB,Solomon Islands,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,81.844576,False,False
LKA,Sri Lanka,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2023,2025,2,3,1,near-current global series,protocol_review,True,91.451142,False,False
TJK,Tajikistan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,95.757141,False,False
THA,Thailand,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,100.728168,False,False
TLS,Timor-Leste,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2023,2025,2,3,1,near-current global series,protocol_review,True,119.652693,False,False
TON,Tonga,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,108.789986,False,False
TKM,Turkmenistan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,95.692178,False,False
TUV,Tuvalu,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,101.138952,False,False
UZB,Uzbekistan,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,120.864047,False,False
VUT,Vanuatu,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,112.491972,False,False
VNM,Viet Nam,SE.PRM.ENRR,Primary enrol.,"Primary school enrollment, gross (%)",education planning,2024,2025,1,2,1,near-current global series,one_reference_year_watch,False,106.332886,False,False
AFG,Afghanistan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,13.351,False,False
ARM,Armenia,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,12.871,False,False
AZE,Azerbaijan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,5.457,False,False
BGD,Bangladesh,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,3.778,False,False
BTN,Bhutan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,3.227,False,False
BRN,Brunei Darussalam,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,5.277,False,False
KHM,Cambodia,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,0.263,False,False
CHN,"China, People's Republic of",SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.615,False,False
COK,Cook Islands,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,,2025,,,1,near-current global series,missing_public_field,True,,True,False
FJI,Fiji,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,5.347,False,False
GEO,Georgia,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,12.097,False,False
HKG,"Hong Kong, China",SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,2.799,False,False
IND,India,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.219,False,False
IDN,Indonesia,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,3.237,False,False
KAZ,Kazakhstan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.771,False,False
KIR,Kiribati,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,,2025,,,1,near-current global series,missing_public_field,True,,True,False
KGZ,Kyrgyz Republic,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,3.526,False,False
LAO,Lao People's Democratic Republic,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,1.187,False,False
MYS,Malaysia,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,3.764,False,False
MDV,Maldives,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.514,False,False
MHL,Marshall Islands,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,,2025,,,1,near-current global series,missing_public_field,True,,True,False
FSM,"Micronesia, Federated States of",SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,,2025,,,1,near-current global series,missing_public_field,True,,True,False
MNG,Mongolia,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,5.233,False,False
MMR,Myanmar,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,3.047,False,False
NRU,Nauru,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,,2025,,,1,near-current global series,missing_public_field,True,,True,False
NPL,Nepal,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,10.465,False,False
PAK,Pakistan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,5.42,False,False
PLW,Palau,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,,2025,,,1,near-current global series,missing_public_field,True,,True,False
PNG,Papua New Guinea,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,2.571,False,False
PHL,Philippines,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,2.235,False,False
WSM,Samoa,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.996,False,False
SLB,Solomon Islands,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,1.431,False,False
LKA,Sri Lanka,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,4.005,False,False
TJK,Tajikistan,SL.UEM.TOTL.ZS,Unemployment,"Unemployment, total (% labor force)",labor market,2025,2025,0,1,1,near-current global series,latest_for_indicator,False,6.931,False,False
