iso3,country,events_per_year_2000_2025,total_events_2000_2025,total_affected_2000_2025,sp_coverage_pct,sp_coverage_year,account_ownership_pct,account_ownership_year,digital_payment_use_pct,digital_payment_use_year,government_payment_account_use_pct,government_payment_account_use_year,active_account_pct,active_account_year,poverty_headcount_215_pct,poverty_year,account_minus_digital_payment_pct,sp_minus_government_payment_account_pct,has_disaster_data,has_digital_payment_use,has_government_payment_account_use,has_plot_value
LKA,Sri Lanka,3.08,80,20787609,37.5004,2019,81.6921,2024,43.4859,2021,4.8585,2021,48.2238,2017,2.7,2019,38.2062,32.6419,True,True,True,True
TJK,Tajikistan,2.32,58,6419959,,,54.5194,2024,22.7524,2021,7.4767,2017,37.6393,2017,6.1,2024,31.767,,True,True,True,True
THA,Thailand,5.24,131,87693689,87.1883,2021,91.825,2024,80.1299,2021,49.1664,2021,65.2439,2017,0.0,2024,11.6951,38.0219,True,True,True,True
TLS,Timor-Leste,1.25,10,288039,,,,,,,,,,,,,,,True,False,False,False
TON,Tonga,1.2,12,225189,,,,,,,,,,,0.4,2021,,,True,False,False,False
TKM,Turkmenistan,1.0,1,0,,,40.5764,2017,9.2742,2017,1.518,2017,34.382,2017,,,31.3022,,True,True,True,True
TUV,Tuvalu,1.0,4,20317,,,,,,,,,,,,,,,True,False,False,False
UZB,Uzbekistan,1.0,6,671817,25.4578,2018,59.6584,2024,39.3227,2021,4.1432,2021,33.8016,2017,2.7,2024,20.3357,21.3146,True,True,True,True
VUT,Vanuatu,1.62,26,1153288,30.352,2019,,,,,,,,,19.5,2019,,,True,False,False,False
VNM,Viet Nam,7.69,200,49724762,89.4056,2020,70.5508,2024,16.0971,2017,0.8536,2017,25.0738,2017,1.6,2022,54.4536,88.5521,True,True,True,True
