road_set,flood_buffer_m,population_snap_m,market_dedup_m,graph_nodes,graph_edges,cut_edges,cut_edge_length_km,markets_raw,markets_deduplicated,markets_snapped,markets_flooded,markets_functioning,population_in_analysis_extent,population_within_snap_distance,baseline_accessible_population,post_flood_accessible_population,disconnected_population,disconnected_share_pct,comparable_population,baseline_weighted_median_minutes,post_flood_weighted_median_minutes_reachable,weighted_median_increase_minutes_reachable,weighted_mean_increase_minutes_reachable,population_with_increase_ge_15m,share_comparable_with_increase_ge_15m_pct,population_with_increase_ge_30m,share_comparable_with_increase_ge_30m_pct,population_with_increase_ge_45m,share_comparable_with_increase_ge_45m_pct
broad,20,1000,100,44953,46304,13609,460.609,11,8,8,0,8,872292.581,872284.407,848861.732,495174.327,353687.405,41.666,495174.327,7.841,3.56,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,1500,100,44953,46304,13609,460.609,11,8,8,0,8,872292.581,872292.581,848869.906,495174.327,353695.58,41.667,495174.327,7.841,3.56,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,500,150,44953,46304,13609,460.609,11,8,8,0,8,872292.581,867102.574,844558.465,495158.054,349400.411,41.371,495158.054,7.761,3.56,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,1000,150,44953,46304,13609,460.609,11,8,8,0,8,872292.581,872284.407,848861.732,495174.327,353687.405,41.666,495174.327,7.841,3.56,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,1500,150,44953,46304,13609,460.609,11,8,8,0,8,872292.581,872292.581,848869.906,495174.327,353695.58,41.667,495174.327,7.841,3.56,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,500,50,44953,46304,15715,527.023,11,9,9,0,9,872292.581,867102.574,844558.465,480052.68,364505.785,43.159,480052.68,7.715,3.37,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,1000,50,44953,46304,15715,527.023,11,9,9,0,9,872292.581,872284.407,848861.732,480052.68,368809.052,43.447,480052.68,7.783,3.37,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,1500,50,44953,46304,15715,527.023,11,9,9,0,9,872292.581,872292.581,848869.906,480052.68,368817.227,43.448,480052.68,7.783,3.37,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,500,100,44953,46304,15715,527.023,11,8,8,0,8,872292.581,867102.574,844558.465,480052.68,364505.785,43.159,480052.68,7.761,3.477,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,1000,100,44953,46304,15715,527.023,11,8,8,0,8,872292.581,872284.407,848861.732,480052.68,368809.052,43.447,480052.68,7.841,3.477,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,1500,100,44953,46304,15715,527.023,11,8,8,0,8,872292.581,872292.581,848869.906,480052.68,368817.227,43.448,480052.68,7.841,3.477,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,500,150,44953,46304,15715,527.023,11,8,8,0,8,872292.581,867102.574,844558.465,480052.68,364505.785,43.159,480052.68,7.761,3.477,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,1000,150,44953,46304,15715,527.023,11,8,8,0,8,872292.581,872284.407,848861.732,480052.68,368809.052,43.447,480052.68,7.841,3.477,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0
broad,30,1500,150,44953,46304,15715,527.023,11,8,8,0,8,872292.581,872292.581,848869.906,480052.68,368817.227,43.448,480052.68,7.841,3.477,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0
