iso3,country,pacific_small_island,indicator_code,indicator_name,domain,indicator_position,reference_cap,frontier_mode,review_threshold_years,latest_year,value,frontier_year,calendar_age_years,production_age_years,relative_lag_years,missing,absolute_review,relative_review,classification_disagreement,production_cycle_only,retrieved_at,response_sha256,api_last_updated,attestation_chain
GEO,Georgia,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,3935766.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
HKG,"Hong Kong, China",False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,7498900.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
IND,India,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,1463865525.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
IDN,Indonesia,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,285721236.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
KAZ,Kazakhstan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,20843754.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
KIR,Kiribati,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,136488.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
KGZ,Kyrgyz Republic,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,7343064.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
LAO,Lao People's Democratic Republic,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,7873046.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
MYS,Malaysia,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,35977838.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
MDV,Maldives,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,529676.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
MHL,Marshall Islands,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,36282.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
FSM,"Micronesia, Federated States of",True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,113683.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
MNG,Mongolia,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,3568978.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
MMR,Myanmar,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,54850648.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
NRU,Nauru,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,12025.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
NPL,Nepal,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,29618118.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
PAK,Pakistan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,255219554.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
PLW,Palau,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,17663.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
PNG,Papua New Guinea,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,10762817.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
PHL,Philippines,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,116786962.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
WSM,Samoa,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,219306.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
SLB,Solomon Islands,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,838645.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
LKA,Sri Lanka,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,21756000.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
TJK,Tajikistan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,10786734.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
THA,Thailand,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,71619863.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
TLS,Timor-Leste,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,1418517.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
TON,Tonga,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,103742.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
TKM,Turkmenistan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,7618847.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
TUV,Tuvalu,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,9492.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
UZB,Uzbekistan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,37053428.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
VUT,Vanuatu,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,335169.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
VNM,Viet Nam,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,101598527.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
AFG,Afghanistan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,66.289,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
ARM,Armenia,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,78.319512195122,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
AZE,Azerbaijan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,74.576,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
BGD,Bangladesh,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,74.93,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
BTN,Bhutan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,73.262,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
BRN,Brunei Darussalam,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,75.501,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
KHM,Cambodia,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,70.817,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
CHN,"China, People's Republic of",False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,78.017,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
COK,Cook Islands,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,,,2024,,,,True,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
FJI,Fiji,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,67.463,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
GEO,Georgia,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,74.657,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
HKG,"Hong Kong, China",False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,85.3926829268293,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
IND,India,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,72.235,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
IDN,Indonesia,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,71.288,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
KAZ,Kazakhstan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,74.531,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
KIR,Kiribati,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,66.6,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
KGZ,Kyrgyz Republic,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,72.4,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
LAO,Lao People's Democratic Republic,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,69.225,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
MYS,Malaysia,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,76.821,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
MDV,Maldives,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,81.285,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
MHL,Marshall Islands,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,67.075,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
FSM,"Micronesia, Federated States of",True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,67.357,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
MNG,Mongolia,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,72.3980487804878,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
MMR,Myanmar,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,67.095,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
NRU,Nauru,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,62.279,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
NPL,Nepal,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,70.636,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
PAK,Pakistan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,67.799,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
PLW,Palau,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,69.383,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
PNG,Papua New Guinea,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,66.256,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
PHL,Philippines,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,69.946,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
WSM,Samoa,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,71.826,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
SLB,Solomon Islands,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,70.694,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
LKA,Sri Lanka,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,77.672,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
TJK,Tajikistan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,71.927,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
THA,Thailand,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,76.564,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
TLS,Timor-Leste,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,67.904,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
TON,Tonga,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,73.07,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
TKM,Turkmenistan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,70.201,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
TUV,Tuvalu,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,67.259,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
UZB,Uzbekistan,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,72.528,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
VUT,Vanuatu,True,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,71.654,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
VNM,Viet Nam,False,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Demography,2,2025,global,3.0,2024,74.736,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:06+00:00,92f0ed5499d007fc24bcaee40b48dc3ec3b788e3fb33bc352a4cf9dfe8638fe9,2026-07-13,ai-first
AFG,Afghanistan,False,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",Demography,3,2025,global,3.0,2024,4.761,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:07+00:00,157c57ed365004282819b2022a4bc04bd4442558459b322335cfef4b73f62384,2026-07-13,ai-first
ARM,Armenia,False,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",Demography,3,2025,global,3.0,2024,1.7,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:07+00:00,157c57ed365004282819b2022a4bc04bd4442558459b322335cfef4b73f62384,2026-07-13,ai-first
AZE,Azerbaijan,False,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",Demography,3,2025,global,3.0,2024,1.43,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:07+00:00,157c57ed365004282819b2022a4bc04bd4442558459b322335cfef4b73f62384,2026-07-13,ai-first
BGD,Bangladesh,False,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",Demography,3,2025,global,3.0,2024,2.138,2024,2,2,0,False,False,False,False,False,2026-07-18T21:11:07+00:00,157c57ed365004282819b2022a4bc04bd4442558459b322335cfef4b73f62384,2026-07-13,ai-first
