iso3,country,old_raw_rank,old_raw_index,internal_withdrawal_pct,internal_withdrawal_year,available_water_stress_pct,available_water_stress_year,total_withdrawal_bcm,total_withdrawal_year,rural_pct,rural_year,crop_mix_year,crop_item_count,crop_hhi,shannon_equitability,top_crop,top_crop_share,top3_crop_share,available_water_term,source_variant_score,has_internal_denominator_artifact,internal_to_available_ratio,internal_minus_available_pct_points,source_variant_rank,old_index_rank,available_water_rank,crop_hhi_rank,rural_rank,source_variant_rank_rebuilt,published_member,has_available_water,has_crop_mix,aligned_water_crop
THA,Thailand,13,9.5,25.5254,2022,23.0139,2022,57.307,2022,37.2007,2025,2024,70,0.29566,0.44038,Rice,0.50586,0.73461,0.2301,2.53,False,1.1091,2.5114,15,13,16,15,29,15,False,True,True,True
PHL,Philippines,17,6.6,19.0056,2022,27.8315,2022,91.0369,2022,44.2267,2025,2024,70,0.20012,0.50022,Rice,0.31824,0.74224,0.2783,2.46,False,0.6829,-8.8259,16,17,15,25,23,16,False,True,True,True
IDN,Indonesia,19,2.3,11.0286,2022,29.6965,2022,222.635,2022,40.6071,2025,2024,61,0.1891,0.55891,Oil palm fruit,0.33983,0.65298,0.297,2.28,False,0.3714,-18.6679,17,19,13,26,25,17,False,True,True,True
BGD,Bangladesh,10,12.8,34.1619,2022,5.7233,2022,35.87,2022,66.7604,2025,2024,62,0.4457,0.41177,Rice,0.66201,0.74666,0.0572,1.7,False,5.9689,28.4386,18,10,21,8,12,18,False,True,True,True
CHN,China,18,3.2,20.2097,2022,41.5185,2022,568.48,2022,33.657,2025,2024,122,0.10647,0.62093,Maize (corn),0.23663,0.51534,0.4152,1.49,False,0.4868,-21.3088,19,18,11,38,33,19,False,True,True,True
MMR,Myanmar,20,1.8,3.3138,2022,5.8015,2022,33.231,2022,69.4163,2025,2024,44,0.21363,0.59172,Rice,0.41608,0.65721,0.058,0.86,False,0.5712,-2.4877,20,20,20,24,10,20,False,True,True,True
LAO,Lao PDR,21,1.7,3.8603,2022,4.7914,2022,7.35,2022,59.687,2025,2024,37,0.23186,0.55644,Rice,0.43249,0.66533,0.0479,0.66,False,0.8057,-0.9311,21,21,22,21,17,21,False,True,True,True
NPL,Nepal,22,1.4,4.7917,2022,8.3118,2022,9.4971,2022,33.0006,2025,2024,55,0.16525,0.57575,Rice,0.30483,0.64771,0.0831,0.45,False,0.5765,-3.5202,22,22,19,29,34,22,False,True,True,True
MNG,Mongolia,25,0.4,1.3287,2022,3.395,2022,0.4624,2022,28.8549,2025,2024,17,0.42178,0.44416,Wheat,0.59711,0.88978,0.034,0.41,False,0.3914,-2.0663,23,25,26,11,35,23,False,True,True,True
MYS,Malaysia,28,0.2,1.1564,2022,3.4395,2022,6.707,2022,22.6051,2025,2024,50,0.52203,0.2772,Oil palm fruit,0.70024,0.93902,0.0344,0.41,False,0.3362,-2.2831,24,28,25,6,37,24,False,True,True,True
KHM,Cambodia,23,0.9,1.8109,2022,1.0365,2022,2.184,2022,58.8944,2025,2024,32,0.46278,0.39831,Rice,0.66729,0.82446,0.0104,0.28,False,1.7471,0.7744,25,24,28,7,18,25,False,True,True,True
BRN,Brunei Darussalam,26,0.3,1.0824,2022,3.4665,2022,0.092,2022,24.989,2025,2024,26,0.28654,0.54546,"Other vegetables, fresh n.e.c.",0.49046,0.74098,0.0347,0.25,False,0.3122,-2.3841,26,26,24,17,36,26,False,True,True,True
GEO,Georgia,24,0.9,2.225,2022,4.213,2022,1.2934,2022,38.8219,2025,2024,49,0.10526,0.69306,Maize (corn),0.20038,0.49665,0.0421,0.17,False,0.5281,-1.988,27,23,23,39,27,27,False,True,True,True
BTN,Bhutan,27,0.2,0.4332,2022,1.4138,2022,0.3379,2022,56.5698,2025,2024,67,0.09147,0.71273,Rice,0.20664,0.44713,0.0141,0.07,False,0.3064,-0.9806,28,27,27,41,20,28,False,True,True,True
FJI,Fiji,29,0.1,0.2974,2022,0.2974,2022,0.0849,2022,40.4555,2025,2024,36,0.25341,0.60359,Sugar cane,0.47804,0.6613,0.003,0.03,False,1.0,-0.0,29,29,29,19,26,29,False,True,True,True
PNG,Papua New Guinea,30,0.0,0.049,2022,0.1322,2022,0.3921,2022,84.2203,2025,2024,34,0.12226,0.69146,Oil palm fruit,0.23672,0.5024,0.0013,0.01,False,0.3702,-0.0833,30,30,30,36,1,30,False,True,True,True
COK,Cook Islands,,,,,,,,,,,2024,14,0.44301,0.45614,"Coconuts, in shell",0.63361,0.90663,,,False,,,,,,9,,,False,False,True,False
HKG,Hong Kong SAR,,,,,,,,,0.0,2025,2024,14,0.16344,0.76725,"Other vegetables, fresh n.e.c.",0.23869,0.64316,,,False,,,,,,30,40,,False,False,True,False
KIR,Kiribati,,,,,,,,,36.6149,2025,2024,6,0.83425,0.23085,"Coconuts, in shell",0.91196,0.97186,,,False,,,,,,2,30,,False,False,True,False
MHL,Marshall Islands,,,,,,,,,20.8945,2025,,,,,,,,,,False,,,,,,,38,,False,False,False,False
FSM,Micronesia,,,,,,,,,77.5191,2025,2024,14,0.79309,0.21989,"Coconuts, in shell",0.88953,0.93667,,,False,,,,,,3,6,,False,False,True,False
NRU,Nauru,,,,,,,,,0.0,2025,2024,2,0.58964,0.8665,"Coconuts, in shell",0.71171,1.0,,,False,,,,,,4,41,,False,False,True,False
PLW,Palau,,,,,,,,,20.7164,2025,,,,,,,,,,False,,,,,,,39,,False,False,False,False
WSM,Samoa,,,,,,,,,82.4936,2025,2024,23,0.36702,0.49361,"Coconuts, in shell",0.58173,0.76108,,,False,,,,,,14,2,,False,False,True,False
SLB,Solomon Islands,,,,,,,,,68.6907,2025,2024,17,0.24118,0.61901,"Coconuts, in shell",0.38273,0.7544,,,False,,,,,,20,11,,False,False,True,False
TWN,Taiwan,,,,,,,,,,,2024,67,0.15774,0.65796,Rice,0.36614,0.51695,,,False,,,,,,31,,,False,False,True,False
TON,Tonga,,,,,,,,,78.8439,2025,2024,20,0.13054,0.78602,"Other vegetables, fresh n.e.c.",0.25523,0.51747,,,False,,,,,,35,4,,False,False,True,False
TUV,Tuvalu,,,,,,,,,34.5519,2025,2024,5,0.85493,0.22302,"Coconuts, in shell",0.9235,0.98633,,,False,,,,,,1,31,,False,False,True,False
VUT,Vanuatu,,,,,,,,,77.678,2025,2024,26,0.53063,0.35692,"Coconuts, in shell",0.71348,0.87645,,,False,,,,,,5,5,,False,False,True,False
