iso3,country,rankable_in_committed_panel,baseline_top5,friction_rank,friction_exposure_index,old_trade_volume_proxy,old_trade_volume_proxy_year,old_lpi_overall_perception_score,old_lpi_overall_perception_score_year,lpi_infrastructure_perception_score,lpi_infrastructure_perception_score_year,lpi_timeliness_perception_score,lpi_timeliness_perception_score_year,container_port_traffic_teu,container_port_traffic_teu_year,rail_goods_million_ton_km,rail_goods_million_ton_km_year,road_goods_million_ton_km,road_goods_million_ton_km_year,air_freight_million_ton_km,air_freight_million_ton_km_year,any_actual_freight_proxy,actual_freight_proxy_years
GEO,Georgia,True,False,16,0.19,19023475736.9413,2024,2.7,2022,2.3,2022,3.1,2022,401269.0,2021,3322.0,2021,,,0.2214,2023,True,2021;2023
HKG,Hong Kong SAR,True,False,6,0.52,723058784061.627,2024,4.0,2022,4.0,2022,4.1,2022,16573000.0,2022,41.0,1995,,,8638.3888,2023,True,1995;2022;2023
IND,India,True,True,2,0.94,918333719557.771,2024,3.4,2022,3.2,2022,3.6,2022,19717168.0,2022,719762.0,2021,,,1806.9864,2023,True,2021;2022;2023
IDN,Indonesia,True,True,3,0.66,284696296710.895,2024,3.0,2022,2.9,2022,3.3,2022,12380584.0,2022,15573.0,2019,,,870.5134,2023,True,2019;2022;2023
KAZ,Kazakhstan,True,False,11,0.39,74543688674.4676,2024,2.7,2022,2.5,2022,2.9,2022,,,302156.1,2020,,,53.0831,2023,True,2020;2023
KIR,Kiribati,False,False,,,293469858.5332,2023,,,,,,,52099.86,2019,,,,,0.3454,2023,True,2019;2023
KGZ,Kyrgyzstan,True,False,14,0.21,14718020576.7018,2024,2.3,2022,2.4,2022,2.4,2022,,,1003.0,2021,,,0.655,2023,True,2021;2023
LAO,Lao PDR,False,False,,,6664547720.2285,2016,2.4,2022,2.3,2022,2.8,2022,,,,,,,11.7218,2022,True,2022
MYS,Malaysia,True,False,7,0.45,278760544031.284,2024,3.6,2022,3.6,2022,3.7,2022,27293935.0,2022,817.6471,2020,,,1910.1397,2023,True,2020;2022;2023
MDV,Maldives,True,False,24,0.1,5526396213.2914,2024,2.67,2018,2.72,2018,3.32,2018,107728.2,2019,,,,,29.4587,2023,True,2019;2023
MHL,Marshall Islands,False,False,,,237149024.9634,2024,,,,,,,30711.22,2019,,,,,0.4071,2023,True,2019;2023
FSM,Micronesia,False,False,,,337000000.0,2024,,,,,,,25234.09,2019,,,,,,,True,2019
MNG,Mongolia,True,False,20,0.18,16592364969.5884,2024,2.5,2022,2.3,2022,2.7,2022,,,18345.0,2021,,,26.5201,2023,True,2021;2023
MMR,Myanmar,False,False,,,,,2.3,2018,1.99,2018,2.91,2018,846426.0,2022,885.0,2004,,,9.9309,2023,True,2004;2022;2023
NRU,Nauru,False,False,,,179699761.7552,2024,,,,,,,5327.06,2019,,,,,2.9447,2023,True,2019;2023
NPL,Nepal,True,False,17,0.19,14122194838.3561,2024,2.51,2018,2.19,2018,3.1,2018,,,,,,,16.9295,2023,True,2023
PAK,Pakistan,True,False,10,0.4,63865509443.4708,2024,2.42,2018,2.2,2018,2.66,2018,3383580.0,2022,8080.0,2018,,,309.5146,2023,True,2018;2022;2023
PLW,Palau,False,False,,,222538085.9375,2023,,,,,,,16399.0,2019,,,,,,,True,2019
PNG,Papua New Guinea,False,False,,,2313836701.1205,2004,2.7,2022,2.4,2022,3.3,2022,204518.0,2020,,,,,7.1207,2023,True,2020;2023
PHL,Philippines,True,False,8,0.45,185164160350.41,2024,3.3,2022,3.2,2022,3.9,2022,9249451.0,2022,0.764,2004,,,649.2068,2023,True,2004;2022;2023
WSM,Samoa,False,False,,,574545148.8042,2024,,,,,,,41200.0,2020,,,,,0.006,2023,True,2020;2023
SLB,Solomon Islands,True,False,26,0.04,1121200953.866,2024,2.8,2022,2.6,2022,3.2,2022,128035.7,2019,,,,,9.1444,2023,True,2019;2023
LKA,Sri Lanka,True,False,18,0.19,22277780976.4177,2024,2.8,2022,2.4,2022,3.3,2022,6860000.0,2022,127.39,2015,,,278.4983,2023,True,2015;2022;2023
TWN,Taiwan,False,False,,,,,,,,,,,,,,,,,,,False,
TJK,Tajikistan,True,False,22,0.12,5931426226.5982,2023,2.5,2022,2.5,2022,2.9,2022,,,274.0,2020,,,131.7352,2023,True,2020;2023
THA,Thailand,True,True,5,0.54,351173464105.526,2024,3.5,2022,3.7,2022,3.5,2022,10497112.0,2022,2562.0,2011,,,1649.9285,2023,True,2011;2022;2023
TLS,Timor-Leste,False,False,,,1583732768.0953,2024,1.71,2007,1.67,2007,2.25,2007,53289.0,2019,,,,,,,True,2019
TON,Tonga,False,False,,,383530877.1622,2023,,,,,,,76853.95,2019,,,,,0.03,2004,True,2004;2019
TKM,Turkmenistan,True,False,23,0.12,5735835360.6859,2024,2.41,2018,2.23,2018,2.72,2018,,,13327.0,2017,,,62.7243,2023,True,2017;2023
TUV,Tuvalu,False,False,,,,,,,,,,,5150.0,2019,,,,,,,True,2019
UZB,Uzbekistan,True,False,12,0.31,43642721045.5981,2024,2.6,2022,2.4,2022,2.8,2022,,,24619.0,2021,,,96.459,2023,True,2021;2023
VUT,Vanuatu,False,False,,,571554063.4827,2022,,,,,,,77435.86,2019,,,,,30.2716,2023,True,2019;2023
VNM,Viet Nam,True,True,4,0.63,398774124843.597,2024,3.3,2022,3.2,2022,3.3,2022,20518926.0,2022,3759.0,2020,,,927.8888,2023,True,2020;2022;2023
