iso3,country,generation_concentration_ready,generation_withheld_low_coverage,herfindahl_generation,herfindahl_capacity,generation_coverage,top_fuel_generation,top_fuel_capacity,IC_ELC_OUTG_ZS_value,IC_ELC_OUTG_ZS_year,IC_FRM_OUTG_ZS_value,IC_FRM_OUTG_ZS_year,IC_FRM_INFRA_IN16_value,IC_FRM_INFRA_IN16_year,IC_FRM_INFRA_IN2_value,IC_FRM_INFRA_IN2_year,IC_FRM_INFRA_IN3_C_value,IC_FRM_INFRA_IN3_C_year,IC_FRM_INFRA_IN4_C_value,IC_FRM_INFRA_IN4_C_year,IC_ELC_SAID_XD_DB1619_value,IC_ELC_SAID_XD_DB1619_year,IC_ELC_RSTT_XD_08_DB1619_value,IC_ELC_RSTT_XD_08_DB1619_year,any_reliability_proxy_ready,firm_outage_proxy_ready,doing_business_proxy_ready,bready_utility_proxy_ready,proxy_indicator_count,proxy_indicators_present,generation_and_proxy_ready,high_generation_concentration,high_generation_concentration_and_proxy,IC_ELC_OUTG_value,IC_ELC_OUTG_year,IC_ELC_OUTG_DY_value,IC_ELC_OUTG_DY_year,IC_ELC_OUTG_HR_value,IC_ELC_OUTG_HR_year,IC_BRE_US_OS_value,IC_BRE_US_OS_year,IC_BRE_US_P1_value,IC_BRE_US_P1_year,IC_BRE_US_P2_value,IC_BRE_US_P2_year,IC_BRE_US_P3_value,IC_BRE_US_P3_year
HKG,"Hong Kong SAR, China",False,False,,,,,,3.939208746,2023,0.0,2023,,,,,,,,,0.46,2019,8.0,2019,True,True,True,True,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,False,False,False,,,,,,,77.7111726601918,2024,68.0729142129421,2024,78.5606037676334,2024,86.5,2024
IND,India,True,False,0.5858,0.4548,0.997,Coal,Coal,19.90651894,2022,0.0,2022,55.4,2014,13.8,2014,2.0,2014,3.7,2014,4.59,2019,6.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
IDN,Indonesia,True,False,0.5465,0.4408,0.972,Coal,Coal,12.69912815,2023,0.0,2023,22.5,2015,0.5,2015,5.7,2015,1.9,2015,2.61,2019,6.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,True,False,False,,,,,,,70.5492419997851,2024,59.9999977946281,2024,52.6893923282623,2024,98.9583358764648,2024
KAZ,Kazakhstan,True,False,0.8277,0.7389,1.0,Coal,Coal,32.45364761,2024,0.0,2024,17.1,2019,0.5,2019,3.1,2019,1.7,2019,0.96,2019,8.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,True,True,,,,,,,,,,,,,,
KIR,Kiribati,False,False,,,,,,87.99652863,2025,0.0,2025,,,,,,,,,,,0.0,2019,True,True,True,False,3,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,True,False,0.8063,0.6758,0.986,Hydro,Hydro,45.38615036,2023,0.0,2023,43.1,2019,0.9,2019,4.6,2019,1.1,2019,11.9,2019,4.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,True,True,True,,,,,,,71.9215061813593,2024,73.2986084520817,2024,52.6325742155313,2024,89.8333358764648,2024
LAO,Lao PDR,False,True,,,,,,41.46328354,2024,0.0,2024,78.5,2018,0.2,2018,2.2,2018,0.9,2018,3.96,2019,3.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
MYS,Malaysia,True,False,0.4818,0.4232,1.0,Coal,Gas,22.31538391,2024,0.0,2024,18.9,2015,0.1,2015,3.8,2015,1.8,2015,0.48,2019,8.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
MDV,Maldives,False,False,,,,,,71.49152374,2025,0.0,2025,,,,,,,,,168.02,2019,0.0,2019,True,True,True,False,4,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
MHL,Marshall Islands,False,False,,,,,,,,,,,,,,,,,,120.0,2015,0.0,2019,True,False,True,False,2,IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",False,False,,,,,,85.15315247,2009,0.0052631579,2009,85.2,2009,4.8,2009,2.1,2009,2.6,2009,,,0.0,2019,True,True,True,False,7,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
MNG,Mongolia,True,False,0.9191,0.7971,1.0,Coal,Coal,27.17803383,2025,0.0,2025,13.3,2019,0.5,2019,6.2,2019,0.2,2019,62.0,2019,3.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,True,True,,,,,,,,,,,,,,
MMR,Myanmar,True,False,0.5314,0.538,0.959,Hydro,Hydro,94.91378021,2016,0.0,2016,94.9,2016,11.0,2016,1.3,2016,2.5,2016,30.28,2019,1.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
NPL,Nepal,True,False,0.9403,0.9032,1.0,Hydro,Hydro,75.83725739,2023,1.0,2023,62.8,2013,8.7,2013,3.6,2013,17.0,2013,,,0.0,2019,True,True,True,True,11,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,True,True,True,,,,,,,65.3853100836277,2024,58.5763868093491,2024,67.329543441534,2024,70.25,2024
PAK,Pakistan,False,True,,,,,,50.6760025,2022,0.0,2022,81.1,2013,75.2,2013,16.9,2013,33.8,2013,99.0,2019,5.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,False,False,False,,,,,,,59.2066480120023,2024,45.9722205996513,2024,43.7310593128204,2024,87.9166641235352,2024
PNG,Papua New Guinea,False,True,,,,,,47.22895432,2024,0.0,2024,97.7,2015,41.9,2015,4.7,2015,4.7,2015,940.0,2019,0.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
PHL,Philippines,True,False,0.3623,0.2528,0.999,Coal,Coal,43.93493652,2023,0.0,2023,39.9,2015,0.1,2015,3.0,2015,0.8,2015,3.57,2019,6.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,True,False,False,,,,,,,66.4701155374448,2024,78.6111082434654,2024,54.5075742453337,2024,66.2916641235352,2024
WSM,Samoa,False,False,,,,,,66.30813599,2023,0.0,2023,86.4,2009,4.6,2009,4.1,2009,6.6,2009,35.88,2019,4.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,False,False,False,,,,,,,65.0300904562076,2024,64.3402754664421,2024,53.9583317786455,2024,76.7916641235352,2024
SLB,Solomon Islands,False,False,,,,,,81.34392548,2025,0.0,2025,88.8,2015,4.9,2015,2.5,2015,4.3,2015,3.1,2019,2.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
LKA,Sri Lanka,True,False,0.3193,0.315,1.0,Oil,Hydro,38.12524033,2025,0.0,2025,76.4,2011,4.1,2011,1.5,2011,3.0,2011,4.0,2019,6.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
TJK,Tajikistan,True,False,1.0,0.7962,0.885,Hydro,Hydro,25.23687744,2024,0.0,2024,32.2,2019,1.3,2019,2.8,2019,0.6,2019,2.17,2019,4.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,True,True,,,,,,,,,,,,,,
THA,Thailand,True,False,0.5843,0.5612,0.998,Gas,Gas,8.595376968,2016,0.0,2016,8.6,2016,0.2,2016,1.7,2016,4.1,2016,0.38,2019,8.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
TLS,Timor-Leste,False,False,,,,,,33.48143005,2021,0.0,2021,40.0,2015,0.8,2015,4.2,2015,9.4,2015,,,0.0,2019,True,True,True,True,11,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,False,False,False,,,,,,,60.1911814510822,2024,60.0868034362793,2024,48.9867409169674,2024,71.5,2024
TON,Tonga,False,False,,,,,,86.53012085,2024,5.0,2024,97.0,2009,2.0,2009,1.5,2009,1.5,2009,12.31,2019,3.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,False,False,False,,,,,,,,,,,,,,
TKM,Turkmenistan,False,True,,,,,,18.79751015,2024,0.0,2024,,,,,,,,,,,,,True,True,False,False,2,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS,False,False,False,,,,,,,,,,,,,,
TUV,Tuvalu,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0,,False,False,False,,,,,,,,,,,,,,
UZB,Uzbekistan,True,False,0.7487,0.5091,1.0,Gas,Gas,14.70072174,2024,0.0,2024,35.8,2019,1.9,2019,2.3,2019,3.0,2019,0.22,2019,8.0,2019,True,True,True,False,8,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619,True,False,False,,,,,,,,,,,,,,
VUT,Vanuatu,False,False,,,,,,77.27687836,2023,0.0,2023,74.1,2009,1.6,2009,1.8,2009,1.1,2009,7.28,2019,5.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,False,False,False,,,,,,,51.1393086562554,2024,47.6736094355583,2024,55.3693165332079,2024,50.375,2024
VNM,Viet Nam,True,False,0.3324,0.3178,0.999,Coal,Hydro,43.01397705,2023,0.0,2023,26.3,2015,0.2,2015,7.5,2015,2.2,2015,2.07,2019,7.0,2019,True,True,True,True,12,IC.ELC.OUTG.ZS;IC.FRM.OUTG.ZS;IC.FRM.INFRA.IN16;IC.FRM.INFRA.IN2;IC.FRM.INFRA.IN3_C;IC.FRM.INFRA.IN4_C;IC.ELC.SAID.XD.DB1619;IC.ELC.RSTT.XD.08.DB1619;IC.BRE.US.OS;IC.BRE.US.P1;IC.BRE.US.P2;IC.BRE.US.P3,True,False,False,,,,,,,78.7291659712791,2024,74.1666640043259,2024,66.5624980330467,2024,95.4583358764648,2024
TWN,Taiwan,False,True,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0,,False,False,False,,,,,,,,,,,,,,
