country,iso3,market_id,market,admin1,admin2,latitude,longitude,month,commodity,unit,retail_price_npr,price_anomaly_pct,lagged_precipitation_month,lagged_power_prectotcorr_mm_day,lagged_precipitation_z,lagged_power_t2m_c,lagged_temperature_z,price_spike_screen,dry_price_spike_screen,non_dry_price_spike_screen,wet_price_spike_screen,hot_price_spike_screen,weather_alignment_status
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-10,Rice (coarse),KG,44.0,-24.1162,2020-09,15.55,1.8691,22.97,-0.084,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-11,Rice (coarse),KG,47.0,-15.7186,2020-10,0.61,-0.9172,21.8,1.9145,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-12,Rice (coarse),KG,47.0,-3.0938,2020-11,0.01,-0.504,17.07,-0.0656,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-01,Rice (coarse),KG,42.0,0.0,2020-12,0.05,-0.5777,13.32,-0.2655,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-02,Rice (coarse),KG,44.0,0.0,2021-01,0.02,-0.5639,12.64,0.4929,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-03,Rice (coarse),KG,44.0,-2.2473,2021-02,0.26,-0.5786,14.99,0.5438,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-04,Rice (coarse),KG,48.0,0.0,2021-03,0.56,-0.7863,20.17,1.0901,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-05,Rice (coarse),KG,46.0,0.0,2021-04,1.58,-0.9203,23.42,1.0156,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-06,Rice (coarse),KG,48.0,-4.0822,2021-05,7.44,2.2369,22.97,-0.8926,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-07,Rice (coarse),KG,46.0,-4.1691,2021-06,7.16,-0.4673,23.96,-0.9315,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-08,Rice (coarse),KG,54.0,0.0,2021-07,14.76,0.6256,23.85,-0.7773,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-09,Rice (coarse),KG,55.0,0.0,2021-08,12.44,1.3562,23.43,-1.594,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-10,Rice (coarse),KG,55.0,-1.8019,2021-09,4.67,-1.0062,22.83,-0.4602,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-11,Rice (coarse),KG,55.0,0.0,2021-10,6.63,1.604,21.01,0.6748,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2021-12,Rice (coarse),KG,42.0,-14.3416,2021-11,0.03,-0.365,16.14,-1.9419,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-01,Rice (coarse),KG,40.0,-4.879,2021-12,0.54,2.0866,13.43,-0.0858,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-02,Rice (coarse),KG,42.0,-4.652,2022-01,0.26,0.5523,11.99,-0.4929,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-03,Rice (coarse),KG,45.0,0.0,2022-02,0.85,0.8512,12.28,-1.9382,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-04,Rice (coarse),KG,46.0,-4.256,2022-03,0.64,-0.7383,20.65,1.5921,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-05,Rice (coarse),KG,46.0,0.0,2022-04,2.68,0.5794,22.95,0.4932,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-06,Rice (coarse),KG,50.0,0.0,2022-05,4.53,-0.0734,23.63,0.0872,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-07,Rice (coarse),KG,50.0,4.1691,2022-06,14.01,0.8086,23.89,-1.0152,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-08,Rice (coarse),KG,50.0,-7.6961,2022-07,8.16,-1.0913,23.98,-0.3995,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-09,Rice (coarse),KG,50.0,-9.531,2022-08,6.92,-0.7219,23.93,0.5103,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-10,Rice (coarse),KG,56.0,0.0,2022-09,7.61,-0.2293,22.64,-0.9708,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-11,Rice (coarse),KG,55.0,0.0,2022-10,3.7,0.3769,20.41,-0.2668,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2022-12,Rice (coarse),KG,50.0,3.0938,2022-11,0.07,-0.0869,17.11,0.0151,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-01,Rice (coarse),KG,50.0,17.4353,2022-12,0.01,-0.7952,14.01,0.8619,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-02,Rice (coarse),KG,49.0,10.7631,2023-01,0.0,-0.6569,12.9,0.8872,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-03,Rice (coarse),KG,50.0,10.5361,2023-02,0.23,-0.6513,15.59,1.0933,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-04,Rice (coarse),KG,50.0,4.0822,2023-03,1.47,-0.2401,18.74,-0.4052,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-05,Rice (coarse),KG,52.0,12.2602,2023-04,1.86,-0.5385,22.71,0.2265,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-06,Rice (coarse),KG,52.0,3.9221,2023-05,3.71,-0.7245,23.61,0.0575,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-07,Rice (coarse),KG,56.0,15.5019,2023-06,7.55,-0.3946,26.0,1.5087,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-08,Rice (coarse),KG,60.0,10.5361,2023-07,10.75,-0.4175,24.26,0.4141,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-09,Rice (coarse),KG,63.0,13.5802,2023-08,13.54,1.7703,23.87,0.2578,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-10,Rice (coarse),KG,65.0,14.9036,2023-09,5.91,-0.6785,23.27,0.7222,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-11,Rice (coarse),KG,65.0,16.7054,2023-10,1.99,-0.3392,20.37,-0.3295,False,False,False,False,False,not_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2023-12,Rice (coarse),KG,60.0,21.3259,2023-11,0.02,-0.4345,17.79,1.3871,True,False,True,False,True,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-01,Rice (coarse),KG,60.0,35.6675,2023-12,0.15,-0.034,14.6,1.8259,True,False,True,False,True,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-02,Rice (coarse),KG,60.0,31.0155,2024-01,0.03,-0.5174,11.76,-0.8417,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-03,Rice (coarse),KG,60.0,28.7682,2024-02,0.11,-0.9421,13.77,-0.5736,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-04,Rice (coarse),KG,60.0,22.3144,2024-03,2.38,0.3061,18.2,-0.9699,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-05,Rice (coarse),KG,62.0,29.8493,2024-04,0.77,-2.0246,23.95,1.6047,True,True,False,False,True,dry_lag_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-06,Rice (coarse),KG,64.0,24.686,2024-05,4.98,0.2838,24.43,1.2749,True,False,True,False,True,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-07,Rice (coarse),KG,,,2024-06,21.02,2.1142,24.67,-0.0822,False,False,False,False,False,missing_price
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-08,Rice (coarse),KG,75.0,32.8504,2024-07,13.94,0.4123,24.41,0.8499,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-09,Rice (coarse),KG,76.0,32.34,2024-08,9.32,0.1816,23.8,-0.0368,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-10,Rice (coarse),KG,82.0,38.1368,2024-09,13.29,1.2718,23.68,1.8241,True,False,True,True,True,wet_lag_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-11,Rice (coarse),KG,72.0,26.9333,2024-10,2.02,-0.3267,20.85,0.4237,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2024-12,Rice (coarse),KG,,,2024-11,0.02,-0.4345,17.14,0.0757,False,False,False,False,False,missing_price
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-01,Rice (coarse),KG,60.0,35.6675,2024-12,0.0,-0.8496,13.35,-0.2165,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-02,Rice (coarse),KG,62.0,34.2945,2025-01,0.06,-0.3779,13.0,1.0388,True,False,True,False,True,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-03,Rice (coarse),KG,65.0,36.7725,2025-02,0.26,-0.5786,14.41,0.0126,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-04,Rice (coarse),KG,65.0,30.3186,2025-03,5.52,2.1909,18.79,-0.3529,True,False,True,True,False,wet_lag_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-05,Rice (coarse),KG,65.0,34.5746,2025-04,2.7,0.6067,21.76,-0.8295,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-06,Rice (coarse),KG,70.0,33.6472,2025-05,5.28,0.522,23.02,-0.8184,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-07,Rice (coarse),KG,70.0,37.8163,2025-06,7.2,-0.4598,24.59,-0.1779,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-08,Rice (coarse),KG,70.0,25.9511,2025-07,7.55,-1.25,24.28,0.4722,True,True,False,False,False,dry_lag_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-09,Rice (coarse),KG,72.0,26.9333,2025-08,8.02,-0.3078,23.46,-1.4677,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-10,Rice (coarse),KG,75.0,29.2136,2025-09,6.77,-0.4512,23.2,0.5341,True,False,True,False,False,price_spike_not_dry_aligned
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-11,Rice (coarse),KG,74.0,29.6732,2025-10,6.46,1.5329,20.71,0.204,True,False,True,True,False,wet_lag_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2025-12,Rice (coarse),KG,70.0,36.741,2025-11,0.46,2.6242,16.87,-0.4691,True,False,True,True,False,wet_lag_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-01,Rice (coarse),KG,55.0,9.531,2018-12,0.03,-0.5979,12.13,-0.1354,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-02,Rice (coarse),KG,47.0,-22.739,2019-01,0.2,0.0598,11.38,0.2231,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-03,Rice (coarse),KG,47.0,-24.4197,2019-02,1.88,1.9433,13.57,0.2021,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-04,Rice (coarse),KG,47.0,-24.4197,2019-03,0.68,-0.4582,17.22,-0.7614,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-05,Rice (coarse),KG,47.0,-6.1875,2019-04,2.34,0.7996,22.01,0.0872,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-06,Rice (coarse),KG,47.0,-6.1875,2019-05,1.78,-1.275,25.31,2.2299,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-07,Rice (coarse),KG,48.0,-2.0411,2019-06,3.14,-1.3642,26.12,1.3852,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-08,Rice (coarse),KG,48.0,-4.0822,2019-07,12.41,0.5498,23.51,0.5753,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-09,Rice (coarse),KG,48.0,-4.0822,2019-08,6.29,-0.901,23.14,1.8447,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-10,Rice (coarse),KG,47.0,-22.001,2019-09,8.18,0.6987,21.4,-1.6147,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-11,Rice (coarse),KG,47.0,-15.7186,2019-10,0.26,-0.8651,18.52,-1.1793,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2019-12,Rice (coarse),KG,47.0,-6.1875,2019-11,0.95,2.5006,16.14,0.8497,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-01,Rice (coarse),KG,47.0,-6.1875,2019-12,0.69,1.3389,10.75,-2.0517,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-02,Rice (coarse),KG,47.0,-22.739,2020-01,0.99,2.5804,9.65,-1.5212,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-03,Rice (coarse),KG,50.0,-18.2322,2020-02,0.8,0.3548,11.69,-1.266,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-04,Rice (coarse),KG,55.0,-8.7011,2020-03,1.6,-0.071,16.7,-1.3065,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-05,Rice (coarse),KG,39.33,-24.0035,2020-04,2.61,1.1343,20.15,-1.6903,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-06,Rice (coarse),KG,45.0,-10.5361,2020-05,3.15,-0.3428,22.55,-0.7433,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-07,Rice (coarse),KG,45.0,-8.495,2020-06,9.09,0.6765,22.9,-1.2877,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-08,Rice (coarse),KG,40.0,-22.3144,2020-07,14.94,1.4756,22.46,-2.051,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-09,Rice (coarse),KG,45.0,-10.5361,2020-08,4.6,-1.5958,22.78,0.0438,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-10,Rice (coarse),KG,49.0,-17.8337,2020-09,7.59,0.4678,21.84,-0.2836,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-11,Rice (coarse),KG,55.0,0.0,2020-10,0.35,-0.8225,20.48,1.5006,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-12,Rice (coarse),KG,50.0,0.0,2020-11,0.0,-0.5256,16.1,0.7498,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-01,Rice (coarse),KG,48.0,-4.0822,2020-12,0.11,-0.3631,12.97,1.0311,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-02,Rice (coarse),KG,60.0,1.6807,2021-01,0.0,-0.5783,12.5,1.3523,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-03,Rice (coarse),KG,60.0,0.0,2021-02,0.1,-0.6747,14.22,0.7096,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-04,Rice (coarse),KG,60.0,0.0,2021-03,0.37,-0.5886,19.02,1.1257,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-05,Rice (coarse),KG,44.0,-12.7833,2021-04,1.15,-0.6756,22.53,0.5841,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-06,Rice (coarse),KG,48.0,-4.0822,2021-05,6.74,2.1001,22.47,-0.8295,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-07,Rice (coarse),KG,45.0,-8.495,2021-06,7.06,-0.0197,23.02,-1.1881,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-08,Rice (coarse),KG,44.0,-12.7833,2021-07,12.81,0.6962,22.9,-0.9504,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-09,Rice (coarse),KG,44.0,-12.7833,2021-08,12.3,1.5701,22.49,-1.4069,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-10,Rice (coarse),KG,,,2021-09,5.34,-0.413,21.88,-0.1626,False,False,False,False,False,missing_price
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-11,Rice (coarse),KG,45.0,-20.0671,2021-10,4.01,0.9064,20.13,1.0221,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2021-12,Rice (coarse),KG,44.0,-12.7833,2021-11,0.03,-0.43,15.09,-1.7744,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2022-01,Rice (coarse),KG,45.0,-10.5361,2021-12,0.93,2.0432,12.09,-0.1909,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2022-02,Rice (coarse),KG,48.0,-20.6336,2022-01,0.15,-0.0997,10.25,-0.9162,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2022-03,Rice (coarse),KG,45.0,-28.7682,2022-02,1.41,1.252,10.93,-1.8595,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2022-04,Rice (coarse),KG,50.0,-18.2322,2022-03,0.42,-0.5676,19.54,1.6708,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2022-05,Rice (coarse),KG,50.0,0.0,2022-04,1.38,-0.3905,23.21,1.2339,False,False,False,False,False,not_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2022-06,Rice (coarse),KG,50.0,0.0,2022-05,5.06,0.9569,22.82,-0.4524,False,False,False,False,False,not_price_spike
