generated_at,attestation_chain,status,method,bmkg_installation_audit_scan_id,method_classification_audit_id,source_station_id,source_station_name,station_method_class,matched_source_keys,matched_source_roles,matched_source_scopes,matched_source_count,exact_station_audit_calibration_sources,pm25_installation_deployment_sources,source_level_operational_sources,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,current_status_confirmed,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,installation_audit_decision,reader_use,non_claim
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_pbb,IDN-method-classification-pm25_pbb,pm25_pbb,Bengkulu,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_pk2,IDN-method-classification-pm25_pk2,pm25_pk2,Pekanbaru,Beta Attenuation Monitoring (BAM),bmkg_annual_2020_pm25_installation,official_annual_report_installation,city_or_deployment_context,1,0,1,4,False,False,False,False,False,False,pm25_installation_deployment_context_no_certificate,"Official PM2.5 installation or deployment context exists, but it is not station certificate/status closure.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_pl3,IDN-method-classification-pm25_pl3,pm25_pl3,Talang Betutu Palembang,Beta Attenuation Monitoring (BAM),bmkg_annual_2020_pm25_installation,official_annual_report_installation,city_or_deployment_context,1,0,1,4,False,False,False,False,False,False,pm25_installation_deployment_context_no_certificate,"Official PM2.5 installation or deployment context exists, but it is not station certificate/status closure.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_plb4,IDN-method-classification-pm25_plb4,pm25_plb4,Musi 2 Palembang,Beta Attenuation Monitoring (BAM),bmkg_annual_2020_pm25_installation,official_annual_report_installation,city_or_deployment_context,1,0,1,4,False,False,False,False,False,False,pm25_installation_deployment_context_no_certificate,"Official PM2.5 installation or deployment context exists, but it is not station certificate/status closure.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_pr2,IDN-method-classification-pm25_pr2,pm25_pr2,Palangkaraya,Beta Attenuation Monitoring (BAM),bmkg_annual_2020_pm25_installation,official_annual_report_installation,city_or_deployment_context,1,0,1,4,False,False,False,False,False,False,pm25_installation_deployment_context_no_certificate,"Official PM2.5 installation or deployment context exists, but it is not station certificate/status closure.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_ptn2,IDN-method-classification-pm25_ptn2,pm25_ptn2,Mempawah,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_sm2,IDN-method-classification-pm25_sm2,pm25_sm2,Samarinda,Beta Attenuation Monitoring (BAM),bmkg_annual_2020_pm25_installation,official_annual_report_installation,city_or_deployment_context,1,0,1,4,False,False,False,False,False,False,pm25_installation_deployment_context_no_certificate,"Official PM2.5 installation or deployment context exists, but it is not station certificate/status closure.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_smg,IDN-method-classification-pm25_smg,pm25_smg,Semarang,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_spd,IDN-method-classification-pm25_spd,pm25_spd,Kubu Raya,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_srg,IDN-method-classification-pm25_srg,pm25_srg,Sorong,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_tj2,IDN-method-classification-pm25_tj2,pm25_tj2,Tanjung Harapan,Beta Attenuation Monitoring (BAM),bmkg_annual_2020_pm25_installation,official_annual_report_installation,city_or_deployment_context,1,0,1,4,False,False,False,False,False,False,pm25_installation_deployment_context_no_certificate,"Official PM2.5 installation or deployment context exists, but it is not station certificate/status closure.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_yky,IDN-method-classification-pm25_yky,pm25_yky,Sleman,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
