generated_at,attestation_chain,status,method,bmkg_station_context_scan_id,method_classification_audit_id,source_station_id,source_station_name,station_method_class,public_context_source_keys,public_context_source_roles,public_context_source_scopes,public_context_source_count,station_unit_or_exact_context_sources,city_or_deployment_context_sources,method_context_sources,calibration_context_sources,inspection_context_sources,certificate_context_sources,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,current_status_confirmed,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,station_public_context_decision,reader_use,non_claim
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_pbb,IDN-method-classification-pm25_pbb,pm25_pbb,Bengkulu,Beta Attenuation Monitoring (BAM),bmkg_bengkulu_pm25_dasarian||bmkg_bengkulu_pm25_bulanan,official_local_pm25_report||official_local_pm25_report,station_unit_alias||station_unit_alias,2,2,0,2,0,2,0,False,False,False,False,False,False,station_named_method_context_no_certificate,"Station/unit public context names the source and method, but no station certificate or calibration-status record.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_pk2,IDN-method-classification-pm25_pk2,pm25_pk2,Pekanbaru,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_pl3,IDN-method-classification-pm25_pl3,pm25_pl3,Talang Betutu Palembang,Beta Attenuation Monitoring (BAM),bmkg_lakip_2015_pm25_expansion||bmkg_sumsel_pm25_instrument_page||bmkg_sumsel_pm25_february_2026,official_performance_report||official_local_pm25_page||official_local_pm25_report,city_or_deployment_context||city_or_station_area||city_or_station_area,3,0,3,3,1,3,0,False,False,False,False,False,False,deployment_area_context_no_station_certificate,"Public context names the city, station area, or deployment area, but not enough to close an exact station certificate gate.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_plb4,IDN-method-classification-pm25_plb4,pm25_plb4,Musi 2 Palembang,Beta Attenuation Monitoring (BAM),bmkg_lakip_2015_pm25_expansion||bmkg_sumsel_pm25_instrument_page||bmkg_sumsel_pm25_february_2026,official_performance_report||official_local_pm25_page||official_local_pm25_report,city_or_deployment_context||city_or_station_area||city_or_station_area,3,0,3,3,1,3,0,False,False,False,False,False,False,deployment_area_context_no_station_certificate,"Public context names the city, station area, or deployment area, but not enough to close an exact station certificate gate.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_pr2,IDN-method-classification-pm25_pr2,pm25_pr2,Palangkaraya,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_ptn2,IDN-method-classification-pm25_ptn2,pm25_ptn2,Mempawah,Beta Attenuation Monitoring (BAM),brin_kalbar_lstm_2025||bmkg_kalbar_quality_page||bmkg_kalbar_buletin_july_2025,peer_reviewed_station_study||official_local_pm25_page||official_station_bulletin,station_unit_alias||station_unit_alias||station_unit_alias,3,3,0,3,0,2,0,False,False,False,False,False,False,station_named_method_context_no_certificate,"Station/unit public context names the source and method, but no station certificate or calibration-status record.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_sm2,IDN-method-classification-pm25_sm2,pm25_sm2,Samarinda,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_smg,IDN-method-classification-pm25_smg,pm25_smg,Semarang,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_spd,IDN-method-classification-pm25_spd,pm25_spd,Kubu Raya,Beta Attenuation Monitoring (BAM),bmkg_kalbar_quality_page,official_local_pm25_page,station_unit_alias,1,1,0,1,0,1,0,False,False,False,False,False,False,station_named_method_context_no_certificate,"Station/unit public context names the source and method, but no station certificate or calibration-status record.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_srg,IDN-method-classification-pm25_srg,pm25_srg,Sorong,Beta Attenuation Monitoring (BAM),megasains_sorong_2023,station_journal_article,exact_station_or_unit,1,1,0,1,0,1,0,False,False,False,False,False,False,station_named_method_context_no_certificate,"Station/unit public context names the source and method, but no station certificate or calibration-status record.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_tj2,IDN-method-classification-pm25_tj2,pm25_tj2,Tanjung Harapan,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_yky,IDN-method-classification-pm25_yky,pm25_yky,Sleman,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
