adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,poverty_incidence_2023,poverty_standard_error_2023,poverty_coefficient_of_variation_2023,poverty_ci_lower_2023,poverty_ci_upper_2023,poverty_threshold_php_2023,poverty_precision_flag,poverty_source_year,poverty_source_type,poverty_join_status,registry_clinical,osm_health,registry_gap_share,buildings_p85,underobserved_buildings_adm3_p85_proxy,gap_poverty_context_p85_proxy,poverty_source_label,poverty_source_url,area_sqkm,buildings_all,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio
Region III (Central Luzon),PH03,Pampanga,PH03054,City of San Fernando (Capital),PH0305416,3.9527,0.3924,9.928,3.3072,4.5983,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,86,33,0.6163,48506,29894,1182.0,City of San Fernando,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,70.1085,128882,17683,12311769.1,7958030.6,4482049.0,691.87,160,27,15,9,9,53,0.3837
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,City of Malaybalay (Capital),PH1001312,22.9191,1.3507,5.8934,20.6972,25.141,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,79,18,0.7722,37617,29048,6658.0,City of Malaybalay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,1004.0317,76621,15400,5921503.8,4292776.8,2733429.8,37.47,85,21,6,10,2,61,0.2278
Region XI (Davao Region),PH11,Davao Oriental,PH11025,City of Mati (Capital),PH1102509,30.3935,1.454,4.7838,28.0017,32.7853,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,42,5,0.881,32648,28763,8742.0,City of Mati,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,707.7138,65537,13725,3944516.7,2809135.7,1703738.0,46.13,53,7,2,2,1,37,0.119
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Lucena City (Capital),PH0405624,5.0,1.0,23.0,3.0,7.0,29429.0,cv_20_to_30_caution,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,82,10,0.878,32362,28414,1421.0,City of Lucena,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,83.5917,84892,14767,6555649.7,4101415.9,2573002.9,387.14,108,28,6,1,3,72,0.122
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of Biñan,PH0403403,4.4255,0.719,16.2474,3.2427,5.6083,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,55,8,0.8545,33222,28388,1256.0,City of Biñan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,37.5871,95045,11611,9396859.7,6266443.3,4151272.0,883.87,80,20,5,2,1,47,0.1455
Region III (Central Luzon),PH03,Bulacan,PH03014,Santa Maria,PH0301423,11.7326,0.882,7.5179,10.2817,13.1836,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,49,12,0.7551,37066,27989,3284.0,Santa Maria,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,79.1185,112427,12873,9890881.5,6060448.5,3519950.8,468.49,75,22,5,4,3,37,0.2449
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Tanza,PH0402120,8.2774,0.7887,9.528,6.9801,9.5748,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,81,6,0.9259,30217,27978,2316.0,Tanza,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,74.54,108131,7726,7330547.3,3834136.8,1813230.5,405.38,95,30,3,2,1,75,0.0741
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Cabuyao City,PH0403404,4.3841,0.4889,11.1512,3.5799,5.1883,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,42,9,0.7857,35484,27880,1222.0,City of Cabuyao,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,47.3692,92915,13305,7900281.9,5201168.1,3452289.5,749.09,61,22,6,3,0,33,0.2143
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Pagadian City (Capital),PH0907322,22.1797,1.4367,6.4774,19.8164,24.543,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,52,17,0.6731,40746,27426,6083.0,City of Pagadian,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,274.7218,70553,18834,4579599.4,3479271.9,2170753.3,148.32,67,23,8,8,1,35,0.3269
Region IV-A (Calabarzon),PH04,Batangas,PH04010,City of Tanauan,PH0401031,5.9694,0.9638,16.1465,4.3839,7.5549,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,69,8,0.8841,31015,27420,1637.0,City of Tanauan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,112.0781,74378,16410,6161138.4,4298485.4,3067365.7,276.73,88,19,5,1,2,61,0.1159
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of Santa Rosa,PH0403428,2.9044,0.4336,14.9289,2.1911,3.6176,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,56,19,0.6607,41173,27203,790.0,City of Santa Rosa,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,56.1715,112017,13905,9615480.4,6183873.4,3600105.2,732.99,108,26,11,7,1,37,0.3393
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Cotabato City,PH1908703,45.0,3.0,7.0,39.0,51.0,38572.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,60,18,0.7,37708,26396,11878.0,Cotabato City,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,86.1073,62557,17431,4813099.6,3784839.6,2367977.3,437.92,79,15,9,2,7,42,0.3
Region IV-A (Calabarzon),PH04,Batangas,PH04010,City of Sto. Tomas,PH0401028,3.9817,0.4669,11.7264,3.2136,4.7497,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,47,6,0.8723,29648,25862,1030.0,City of Santo Tomas,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,89.0136,67603,15496,5632114.6,3964758.7,2855778.8,333.07,78,13,3,2,1,41,0.1277
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Cainta,PH0405805,1.7607,0.5158,29.2926,0.9123,2.6091,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,64,19,0.7031,36624,25750,453.0,Cainta,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,20.9737,87477,16072,7681533.6,5372650.2,3263211.6,1746.18,93,25,6,10,3,45,0.2969
National Capital Region (NCR),PH13,Metropolitan Manila Third District,PH13075,City of Valenzuela,PH1307504,1.0,0.0,33.0,0.0,2.0,37711.0,cv_gt_30_high_uncertainty,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,94,43,0.5426,47379,25708,257.0,City of Valenzuela,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,46.5528,145730,17370,17258419.3,12737971.2,9440313.5,1017.75,151,73,11,14,18,51,0.4574
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Marawi City (Capital),PH1903617,17.0836,2.5599,14.9844,12.8726,21.2947,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,49,7,0.8571,29932,25655,4383.0,City of Marawi,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,55.6196,47944,15391,3724537.2,2937603.0,1902291.4,538.16,53,20,3,1,3,42,0.1429
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,City of Tacurong,PH1206511,15.3187,1.9677,12.8454,12.0817,18.5556,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,46,7,0.8478,29928,25373,3887.0,City of Tacurong,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,146.5571,56004,14075,3910460.4,2961568.0,1895651.3,204.21,57,18,4,3,0,39,0.1522
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,City of Kidapawan (Capital),PH1204704,13.4939,1.386,10.2713,11.2139,15.7738,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,58,10,0.8276,30359,25125,3390.0,City of Kidapawan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,290.3532,59204,12947,4407163.8,3087576.8,1774324.3,104.56,75,16,7,2,1,48,0.1724
Region III (Central Luzon),PH03,Bulacan,PH03014,San Miguel,PH0301421,16.3336,1.0109,6.1893,14.6706,17.9966,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,53,7,0.8679,28701,24910,4069.0,San Miguel,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,231.9404,87668,11353,6524517.7,3932620.0,2328898.4,123.74,64,8,6,1,0,46,0.1321
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Binangonan,PH0405804,9.7084,1.444,14.8732,7.3331,12.0837,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,62,8,0.871,28023,24408,2370.0,Binangonan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,53.9692,91345,7873,5250148.8,2646506.0,1120987.1,519.24,77,19,4,4,0,54,0.129
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,City of Ozamiz,PH1004210,23.1799,1.1857,5.1154,21.2294,25.1305,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,46,12,0.7391,32832,24266,5625.0,City of Ozamiz,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,149.6647,58164,15317,4031249.2,3172439.4,2133605.8,219.37,58,16,5,2,5,34,0.2609
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Isulan (Capital),PH1206504,19.5909,1.8714,9.5522,16.5125,22.6693,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,36,6,0.8333,28781,23983,4698.0,Isulan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,523.1353,49329,14200,3380255.5,2661507.9,1731208.0,55.02,45,12,5,0,1,30,0.1667
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Manolo Fortich,PH1001314,21.7906,1.6038,7.3601,19.1523,24.4289,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,28,5,0.8214,28931,23764,5178.0,Manolo Fortich,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,436.533,57150,12593,4665856.0,3592475.5,2472184.3,66.27,30,6,2,3,0,23,0.1786
Region II (Cagayan Valley),PH02,Isabela,PH02031,Ilagan City (Capital),PH0203114,12.022,1.1967,9.9539,10.0535,13.9905,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,107,3,0.972,24361,23679,2847.0,City of Ilagan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,962.4329,83338,7194,5202288.5,2660190.0,1260851.3,25.31,120,10,2,1,0,104,0.028
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Santo Tomas,PH1102318,15.9892,1.454,9.0934,13.5974,18.3809,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,29,2,0.931,24522,22830,3650.0,Santo Tomas,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,239.6141,46331,10508,3300591.8,2383488.9,1344551.4,102.34,37,10,1,1,0,27,0.069
Region III (Central Luzon),PH03,Pampanga,PH03054,Mabalacat City,PH0305409,6.7464,0.3808,5.6443,6.12,7.3728,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,59,18,0.6949,32838,22819,1539.0,Mabalacat City,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,97.548,95257,10964,8021949.0,4718709.4,2357358.4,336.63,87,25,4,7,7,41,0.3051
Region I (Ilocos Region),PH01,Pangasinan,PH01055,San Carlos City,PH0105532,14.8666,1.1752,7.9047,12.9334,16.7997,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,99,18,0.8182,27853,22789,3388.0,City of San Carlos,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,147.8268,97590,9354,5713229.3,2918434.1,1394704.4,188.42,109,15,6,4,8,81,0.1818
Region III (Central Luzon),PH03,Tarlac,PH03069,Concepcion,PH0306905,13.2982,1.1072,8.3263,11.4768,15.1196,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,30,8,0.7333,30803,22588,3004.0,Concepcion,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,213.0981,88183,12655,7498973.0,4790756.0,2938046.5,144.55,43,10,4,3,1,22,0.2667
