id,code,name,facility_type_name,facility_function_name,facility_level_name,facility_healthcare_level_name,is_active,is_private,division_name,district_name,city_corporation_name,upazila_name,division_code,district_code,city_corporation_code,upazila_code,latitude,longitude,has_valid_coordinate,catchment_count,is_principal_tier,is_clinical_tier,approved_bed_number,has_emergency,has_opd,has_ipd,has_pharmacy,has_pathology,has_ambulance
24,10000026,Center For Medical Education,Public Health Institution,Academic,National,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,30,26,25,26,23.7777121,90.3996182,1,1,0,0,0,0,0,0,0,0,0
25,10000027,Dhaka Dental College,Dental College,Academic,National,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,30,26,25,21,23.99723563788676,90.41752874851227,1,1,0,0,0,0,0,0,0,0,1
26,10000028,Dhaka Dental College Hospital,Dental College Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,30,26,25,21,23.7995323,90.3878298,1,1,1,1,200,1,1,1,1,1,0
27,10000029,Govt. Homeopathic Medical College,College of Alternative Medicine,Academic,Divisional,Not Applicable,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,30,26,25,21,23.8033805,90.3883027,1,1,0,0,100,1,1,1,1,1,0
28,10000030,Dhaka Institute of Health Technology,Institute of Health Technology,Academic,Divisional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,,,0,1,0,0,0,0,0,0,0,0,0
29,10000031,Dhaka Leprosy Hospital,Leprosy Hospital,Hospital/Clinic,Regional,,1,0,Dhaka,Dhaka,,,30,26,,,23.780338683258357,90.40880610043723,1,1,1,1,30,0,0,0,0,0,0
30,10000032,Dhaka Medical College,Medical College,Academic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Shahbag,30,26,20,75,,,0,1,1,1,0,0,0,0,0,0,0
31,10000033,Dhaka Medical College Hospital,Medical College Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Shahbag,30,26,20,75,23.726939279843375,90.39748628465777,1,1,1,1,2600,1,1,1,1,1,1
32,10000034,"Sarkari Karmachari Hospital- Fulbaria, Dhaka-1000",Special Purpose Hospital,Hospital/Clinic,National,Secondary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Ramna,30,26,20,66,,,0,1,1,1,150,1,1,1,1,1,1
33,10000037,Gandaria Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Gendaria,30,26,20,24,,,0,1,0,1,0,0,0,0,0,0,0
34,10000038,Green Road Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,New Market,30,26,20,63,,,0,1,0,1,0,0,0,0,0,0,0
35,10000039,Hajari Bag Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,30,26,20,42,,,0,1,0,1,0,0,0,0,0,0,0
36,10000040,Johnson Road Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Bangshal,30,26,20,05,,,0,1,0,1,0,0,0,0,0,0,0
37,10000041,Jhigatala Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Dhanmondi,30,26,20,97,,,0,1,0,1,0,0,1,0,1,0,0
38,10000042,Khilgoan Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,Primary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Khilgaon,30,26,20,36,,,0,1,0,1,0,0,0,0,0,0,0
39,10000043,Mirpur Old Colony Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,30,26,25,48,,,0,1,0,1,0,0,0,0,0,0,0
40,10000044,Mirpur Section -10 Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,30,26,25,48,,,0,1,0,1,0,0,0,0,0,0,0
41,10000045,Mirpur Section -1 Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,30,26,25,48,,,0,1,0,1,0,0,0,0,0,0,0
42,10000046,Motijheel Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,30,26,20,54,26.63,88.2,1,1,0,1,0,0,1,0,1,0,0
43,10000047,Mohammadpur (rayar Bazar) Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,30,26,25,50,,,0,1,0,1,0,0,0,0,0,0,0
44,10000048,Nayatola Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Banani,30,26,25,07,,,0,1,0,1,0,0,0,0,0,0,0
45,10000049,Palashi Barac Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,30,26,25,48,23.831574,90.371349,1,1,0,1,0,0,0,0,0,0,0
46,10000050,Shaheed Suhrawardy Medical College,Medical College,Academic,Regional,,1,0,Dhaka,Dhaka,,,30,26,,,23.76857,90.3713,1,1,1,1,0,0,0,0,0,0,0
47,10000051,Shaheed Suhrawardy Medical College Hospital,Medical College Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,30,26,20,80,23.769396359999288,90.37136237811147,1,1,1,1,1350,1,1,1,1,1,1
48,10000052,Sher-e-bangla Nagar School Health Clinic,School Health Clinic,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,30,26,20,80,,,0,1,1,1,0,0,0,0,0,0,0
49,10000053,Sher-e-bangla Nagor Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,30,26,20,80,23.7747014,90.3792852,1,1,0,1,0,0,0,0,0,0,0
50,10000054,Shyamoli 250 bed TB Hospital (National TB Control Project),Specialized Hospital,Hospital/Clinic,District,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Sher-e-bangla Nagar,30,26,25,80,23.7744121,90.3686419,1,1,1,1,150,1,1,1,1,1,1
51,10000055,Sir Salimullah Medical College,Medical College,Academic,Regional,,1,0,Dhaka,Dhaka,,,30,26,,,23.710729980309893,90.40219281788043,1,1,1,1,0,0,0,0,0,1,0
52,10000056,Sir Salimullah Medical College Hospital,Medical College Hospital,Hospital/Clinic,Divisional,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Kotwali,30,26,20,40,23.71025497948997,90.4014350819704,1,1,1,1,900,1,1,1,1,1,1
53,10000057,"Tejgaon Health Complex, Dhaka",31-bed Hospital,Hospital/Clinic,National,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,30,26,25,90,23.765729,90.40545,1,1,1,1,0,1,1,0,1,1,0
54,10000058,Tb Control And Training Institute,Chest Disease Hospital,Hospital/Clinic,District,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Kotwali,30,26,20,40,,,0,1,1,1,0,0,0,0,0,0,0
55,10000059,Amta Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,,,0,1,0,1,0,0,0,0,0,0,0
56,10000060,Baleswar(sutipara) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,,,0,1,0,1,0,0,0,0,0,0,0
57,10000061,Balia Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,,,0,1,0,1,0,0,0,0,0,0,0
58,10000062,Gangutia Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,23.8851655,90.0698054,1,1,0,1,0,0,0,0,0,0,0
59,10000063,Mohishashi(sanora) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,,,0,1,0,1,0,0,1,0,0,0,0
60,10000064,Dhamrai Upazila Health Complex,Upazila Health Complex,,,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,23.91360935910349,90.22755482615132,1,1,0,0,50,1,1,1,1,1,1
61,10000065,Simulia(bhararia) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,,,0,1,0,1,0,0,0,0,0,0,0
62,10000066,Suapur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26,00,14,23.87745,90.1373093,1,1,0,1,0,0,1,0,0,0,0
63,10000067,Malikanda(narisha) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dohar,30,26,00,18,23.596963,90.1349445,1,1,0,1,0,0,0,0,0,0,0
64,10000068,Muksudpur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dohar,30,26,00,18,,,0,1,0,1,0,0,0,0,0,0,0
65,10000069,Dohar Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dohar,30,26,00,18,23.629282292227916,90.12472402606558,1,1,1,1,50,1,1,1,1,1,1
66,10000070,Dhaka Infectious Disease Hospital,Infectious Disease Hospital,Hospital/Clinic,"Other, not classified elsewhere",,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,30,26,25,26,23.778580561750402,90.40622280655785,1,1,1,1,100,1,0,1,1,1,1
67,10000071,Hazratpur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26,00,38,,,0,1,0,1,0,0,0,0,0,0,0
68,10000072,Kalatia Uh&fwc,Union Health & Family Welfare Center (UH&FWC),Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26,00,38,,,0,1,0,1,0,0,0,0,0,0,0
69,10000073,Jinjira 20 bed Hospital,20-bed Hospital,Hospital/Clinic,Upazila,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26,00,38,23.706233231491247,90.390524946578,1,1,1,1,20,0,0,0,0,0,0
70,10000074,Keraniganj Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26,00,38,23.70717113164921,90.34719051534219,1,1,1,1,50,1,1,1,1,1,1
71,10000075,Talepur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26,00,38,23.73271,90.4343,1,1,0,1,0,0,0,0,0,0,0
72,10000076,Teguria Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26,00,38,,,0,1,0,1,0,0,0,0,0,0,0
73,10000077,Barua Khali Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Nawabganj,30,26,00,62,23.682133,90.0664996,1,1,0,1,0,0,1,0,1,0,0
74,10000078,Churain Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Nawabganj,30,26,00,62,,,0,1,0,1,0,0,1,0,1,0,0
75,10000079,Nawabganj Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Nawabganj,30,26,00,62,,,0,1,0,1,0,0,0,0,0,0,0
76,10000080,Nawabganj Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Nawabganj,30,26,00,62,25.25039,89.04543,1,1,1,1,50,1,1,1,1,1,1
77,10000081,Aminbazar Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Savar,30,26,00,72,,,0,1,0,1,0,0,0,0,0,0,0
78,10000082,Birulia Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Savar,30,26,00,72,,,0,1,0,1,0,0,0,0,0,0,0
79,10000083,Savar Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Secondary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Savar,30,26,00,72,23.839453015171326,90.247844476711,1,1,1,1,50,1,1,1,1,1,1
80,10000084,Kamargram(gopalpur) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Alfadanga,30,29,00,03,,,0,1,0,1,0,0,1,1,0,0,0
81,10000085,Alfadanga Upazila Health Complex,Upazila Health Complex,,,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Alfadanga,30,29,00,03,23.294855518776764,89.70730923141244,1,1,0,0,50,1,1,1,1,1,1
82,10000086,Chandra Bazar Uh&fwc,Union Health & Family Welfare Center (UH&FWC),Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Bhanga,30,29,00,10,,,0,1,0,1,0,0,0,0,0,0,0
83,10000087,Duair Uh&fwc,Union Health & Family Welfare Center (UH&FWC),Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Bhanga,30,29,00,10,,,0,1,0,1,0,0,0,0,0,0,0
84,10000088,Manikdah Uh&fwc,Union Health & Family Welfare Center (UH&FWC),Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Bhanga,30,29,00,10,,,0,1,0,1,0,0,0,0,0,0,0
85,10000089,Bhanga Upazila Health Complex,Upazila Health Complex,Administration,Upazila,Not Applicable,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Bhanga,30,29,00,10,23.382903555065823,89.98103938196519,1,1,0,0,50,1,1,1,1,1,1
86,10000090,Pathrail(azimnagar) Uh&fwc,Union Health & Family Welfare Center (UH&FWC),Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Bhanga,30,29,00,10,,,0,1,0,1,0,0,0,0,0,0,0
87,10000091,Bangaswari(chandpur) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,0,1,0,0,0,0,0,0,0
88,10000092,Kadirdi(satair) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Boalmari,30,29,00,18,,,0,1,0,1,0,0,0,0,0,0,0
89,10000093,Khamarpara(hoshpur) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Boalmari,30,29,00,18,,,0,1,0,1,0,0,0,0,0,0,0
90,10000094,Khorsuti(moyna) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Boalmari,30,29,00,18,,,0,1,0,1,0,0,0,0,0,0,0
91,10000095,Boalmari Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Boalmari,30,29,00,18,23.391756949445625,89.68523603963648,1,1,1,1,50,1,1,1,1,1,1
92,10000096,Rupapath Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Boalmari,30,29,00,18,23.3917,89.6833,1,1,0,1,0,0,0,0,0,0,0
93,10000097,Char Haziganj Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Char Bhadrasan,30,29,00,21,,,0,1,0,1,0,0,0,0,0,0,0
94,10000098,Charbhadrason Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Char Bhadrasan,30,29,00,21,23.5966566,89.9813445,1,1,1,1,50,1,1,1,1,1,1
95,10000099,Bilmamudpur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,0,1,0,0,0,0,0,0,0
96,10000100,Ishangopalpur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,0,1,0,0,0,0,0,0,0
97,10000101,Kanaipur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,0,1,0,0,0,0,0,0,0
98,10000102,Krishnanagar Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,0,1,0,0,0,0,0,0,0
99,10000103,Faridpur (sadar) Upazila Health Office,Upazila Level Office,Administrative,Upazila,Not Applicable,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,0,0,0,0,0,0,0,0,0
100,10000104,Faridpur Civil Surgeon Office,District Level Office,Administration,District,Not Applicable,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,23.603778,89.840026,1,1,0,0,0,0,0,0,0,0,0
101,10000105,Faridpur General Hospital,District/General Hospital,Hospital/Clinic,District,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,23.6203524,89.8130355999999,1,1,1,1,100,1,1,1,1,1,1
102,10000106,Faridpur Medical Assistants' Training School (MATS),Medical Assistants` Training School,Training,Regional,,1,0,Dhaka,Faridpur,,,30,29,,,,,0,1,0,0,0,0,0,0,0,0,0
103,10000107,Faridpur Medical College,Medical College,Academic,Regional,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,1,1,1000,0,0,0,0,0,0
104,10000108,Faridpur Medical College Hospital,Medical College Hospital,Hospital/Clinic,District,Tertiary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,23.5878294,89.835176,1,1,1,1,1000,1,1,1,1,1,1
105,10000109,Faridpur School Health Clinic,School Health Clinic,Outpatient Clinic,Regional,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,1,1,0,0,0,0,0,0,0
106,10000110,Faridpur Chest Disease Clinic,Chest Disease Clinic,Outpatient Clinic,District,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,0,1,0,0,0,0,0,0,0
107,10000111,Faridpur Chest Disease Hospital,Chest Disease Hospital,Hospital/Clinic,District,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,1,1,20,0,0,0,0,0,0
108,10000112,Faridpur Trauma Center,Trauma Center,Hospital/Clinic,Regional,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29,00,47,,,0,1,1,1,20,0,0,1,0,0,0
109,10000113,Modhukhali Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Madhukhali,30,29,00,56,23.5485461,89.6063278,1,1,1,1,31,1,1,1,1,1,1
110,10000114,Gopaldi(raipur) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Madhukhali,30,29,00,56,,,0,1,0,1,0,0,0,0,0,0,0
111,10000115,Mathurapur(gozna) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Madhukhali,30,29,00,56,,,0,1,0,1,0,0,0,0,0,0,0
113,10000117,Bhabukdia Uh&fwc,Union Health & Family Welfare Center (UH&FWC),Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Nagarkanda,30,29,00,62,,,0,1,0,1,0,0,0,0,0,0,0
114,10000118,Chandhat(charjesordi) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Nagarkanda,30,29,00,62,,,0,1,0,1,0,0,0,0,0,0,0
115,10000119,Laskardia Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Nagarkanda,30,29,00,62,,,0,1,0,1,0,0,0,0,0,0,0
