iso3,country,year,coverage_4g_pct,internet_use_pct,availability_use_gap_pp,coverage_source,coverage_note,internet_use_source,internet_use_note,coverage_data_id,internet_use_data_id,mobile_5gb_pct_gni,internet_use_rural_pct,internet_use_urban_pct,urban_rural_use_gap_pp
LKA,Sri Lanka,2013,10.72,10.0444,0.6756,ITU estimate.,,ITU estimate.,,6621678,59465356,,,,
TJK,Tajikistan,2013,17.37,16.0,1.37,ITU estimate.,,ITU estimate.,,7232243,6226642,,,,
TKM,Turkmenistan,2013,6.0,9.6,-3.6,ITU estimate.,,ITU estimate.,,7232249,6226643,,,,
AFG,Afghanistan,2014,0.0,7.0,-7.0,ITU estimate,ITU estimate,ITU estimate.,,6783549,6517403,,,,
ARM,Armenia,2014,46.0,54.622806,-8.622806,Ministry of Transport and Communication of Armenia,,National Statistical Service,,6566695,6517329,,,,
AZE,Azerbaijan,2014,49.0,75.000016,-26.000016,Ministry of Communications and High Technologies (MC&HT),,State Statistical Committee of the Republic of Azerbaijan,,6566773,6517306,,,,
BGD,Bangladesh,2014,59.0,9.0529,49.9471,Bangladesh Telecommunication Regulatory Commission,,ITU estimate.,,6570914,6517396,,,,
BTN,Bhutan,2014,10.72,30.299999,-19.579999,ITU estimate,ITU estimate,ITU estimate.,,6570994,6517349,,,,
BRN,Brunei Darussalam,2014,11.0,68.769997,-57.769997,ITU estimate,ITU estimate,ITU estimate.,,6573279,6517298,,,,
KHM,Cambodia,2014,9.0,14.0,-5.0,ITU estimate,ITU estimate,ITU estimate.,,6788369,6517399,,,,
CHN,China,2014,43.59,47.900002,-4.310002,Ministry of Industry and Information Technology,,ITU estimate.,Permanent residents at the age of 6 or above. In the last 6 months.,6573597,6517324,,,,
FJI,Fiji,2014,15.0,37.400002,-22.400002,ITU estimate,ITU estimate,ITU estimate.,,6571807,6517336,,,,
GEO,Georgia,2014,20.0,49.102455,-29.102455,ITU estimate,ITU estimate,Geostat,reference period is the last 12 months,6618605,6515069,,28.536325,70.936079,42.399753
HKG,"Hong Kong, China",2014,95.0,79.86627,15.13373,ITU estimate,ITU estimate,Census and Statistics Department,Reference period: last 12 months,6574480,6517288,,,,
IND,India,2014,2.0,13.5,-11.5,ITU estimate,ITU estimate,ITU estimate.,,6572291,6517375,,,,
IDN,Indonesia,2014,10.0,17.14316,-7.14316,ITU estimate,ITU estimate,BPS-Statistics Indonesia,,6579117,6515077,,,,
KAZ,Kazakhstan,2014,43.3,66.0,-22.7,"The Committee for Communication, informatization and information of the Ministry for Investment and Development of the Republic of Kazakhstan",,ITU estimate.,,6630056,6517312,,,,
KIR,Kiribati,2014,20.0,12.25,7.75,ITU estimate,ITU estimate,ITU estimate.,,7115238,6517385,,,,
KGZ,Kyrgyz Republic,2014,0.5,28.299999,-27.799999,State Communications Agency under the Governmet of the Kyrgyz Republic,,ITU estimate.,,6633251,6517359,,,,
LAO,Lao PDR,2014,2.0,14.26,-12.26,Ministry of Post and Telecommunication,Ref from LTC,ITU estimate.,,6687140,6517383,,,,
MYS,Malaysia,2014,33.0,63.665426,-30.665426,Malaysian Communications and Multimedia Commission,,Department of Statistics,Estimate by DOSM,6581078,6517292,,,,
MDV,Maldives,2014,44.0,49.279999,-5.279999,ITU estimate,ITU estimate,ITU estimate.,,6782170,6517325,,,,
MMR,Myanmar,2014,0.0,7.4,-7.4,ITU estimate,ITU estimate,ITU estimate.,,6789089,6517424,,,,
NPL,Nepal,2014,0.0,15.44,-15.44,ITU estimate,ITU estimate,ITU estimate.,,7115176,6517381,,,,
PAK,Pakistan,2014,7.0,10.0,-3.0,,"Figures are as on 31st December, 2014 based on data received from cellular mobile operators",ITU estimate. ,,6564311,6517388,,,,
PNG,Papua New Guinea,2014,7.0,6.5,0.5,ITU estimate,ITU estimate,ITU estimate.,,7115250,6517393,,,,
PHL,Philippines,2014,48.0,34.700001,13.299999,ITU estimate,ITU estimate,ITU estimate.,,6581581,6517341,,,,
LKA,Sri Lanka,2014,25.0,10.500003,14.499997,ITU estimate,ITU estimate,Department of Census and Statistics,,6776183,6517357,,,,
TWN,"Taipei,China",2014,99.3,78.037621,21.262379,National Communications Commission,,National Communications Commission,,6589067,6517279,,,,
TJK,Tajikistan,2014,35.0,17.49,17.51,ITU estimate,ITU estimate,ITU estimate.,,7115257,6517377,,,,
THA,Thailand,2014,0.0,34.886054,-34.886054,ITU estimate,ITU estimate,National Statistical Office,,6589297,6515130,,26.861073,44.851518,17.990445
TON,Tonga,2014,0.0,35.954399,-35.954399,ITU estimate,ITU estimate,ITU estimate.,,6774679,6517347,,,,
TKM,Turkmenistan,2014,10.0,12.2,-2.2,ITU estimate,ITU estimate,ITU estimate.,,7115259,6517386,,,,
UZB,Uzbekistan,2014,1.0,35.5,-34.5,"State Committee for Communications, Informatization and Telecommunication Technologies ",,ITU estimate.,,6681618,6517333,,,,
VNM,Viet Nam,2014,0.0,41.0,-41.0,ITU estimate,ITU estimate,ITU estimate.,,6589920,6517326,,,,
AFG,Afghanistan,2015,0.0,8.26,-8.26,ITU estimate.,,ITU estimate.,,6783550,6801670,,,,
ARM,Armenia,2015,46.5,59.100834,-12.600834,Ministry of Transport and Communication of Armenia,,National Statistical Service,,6777227,6801573,,,,
AZE,Azerbaijan,2015,39.0,77.0,-38.0,"Ministry of Transport, Communications and High Technologies (MTC&HT) ",Excluding occupied territories of Azerbaijan,State Statistical Committee of the Republic of Azerbaijan,,6777250,6797040,,,,
BGD,Bangladesh,2015,65.0,12.3688,52.6312,Bangladesh Telecommunication Regulatory Commission,,ITU estimate.,,6783525,6801665,,,,
BTN,Bhutan,2015,40.0,39.799999,0.200001,Ministry of Information & Communications,,ITU estimate.,,6783479,6801612,,,,
BRN,Brunei Darussalam,2015,80.0,71.199997,8.800003,Authority for Info-communications Technology Industry of Brunei Darussalam,,ITU estimate.,,6788323,6801557,,,,
KHM,Cambodia,2015,30.0,6.433191,23.566809,Telecommunication Regulator of Cambodia (TRC),,National Institute of Statistics,,6788370,6796910,,1.346737,23.001715,21.654978
CHN,China,2015,85.0,50.299999,34.700001,Ministry of Industry and Information Technology,,ITU estimate.,Permanent residents at the age of 6 or above. In the last 6 months.,6788444,6801580,,,,
FJI,Fiji,2015,17.0,42.5,-25.5,Ministry of Communications,,ITU estimate.,,6783433,6801592,,,,
GEO,Georgia,2015,82.0,47.56976,34.43024,Georgian National Communications Commission,,National Statistics Office of Georgia,,6789826,6797047,,30.296286,65.589084,35.292798
HKG,"Hong Kong, China",2015,99.0,84.948353,14.051647,Office of the Communications Authority,,Census and Statistics Department,In the last twelve months,6789031,6797048,,,,
IND,India,2015,4.0,14.9,-10.9,ITU estimate,ITU estimate,ITU estimate.,,6782758,6801642,,,,
IDN,Indonesia,2015,5.0,22.062743,-17.062743,ITU estimate,,BPS-Statistics Indonesia,,6885450,6797049,,11.69614,32.044879,20.348739
KAZ,Kazakhstan,2015,65.5,70.829934,-5.329934,"The Committee for Communication, informatization and information of the Ministry for Investment and Development of the Republic of Kazakhstan",,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",,6790068,6797050,,66.45627,74.127652,7.671382
KIR,Kiribati,2015,0.0,14.9,-14.9,ITU estimate.,,ITU estimate.,Census.,6797033,6801659,,,,
KGZ,Kyrgyz Republic,2015,1.6,30.247,-28.647,State Communications Agency under the Governmet of the Kyrgyz Republic,,ITU estimate.,,6790101,6801620,,,,
LAO,Lao PDR,2015,5.0,18.200001,-13.200001,Ministry of Post and Telecommunication,Ref from LTC,ITU estimate.,,6788888,6801655,,,,
MYS,Malaysia,2015,71.0,71.064068,-0.064068,Malaysian Communications and Multimedia Commission,,Department of Statistics,,6784693,6797056,,54.999143,76.300976,21.301834
MDV,Maldives,2015,58.0,54.462002,3.537998,ITU estimate,,ITU estimate.,,6782171,6801578,,,,
FSM,Micronesia,2015,0.0,31.501101,-31.501101,"Department of Transportation, Communications and Infrastructure",,ITU estimate.,,6789526,6801617,,,,
MMR,Myanmar,2015,0.0,10.9,-10.9,"Posts and Telecommunications Department, Ministry of communications and Information Technology",,ITU estimate.,,6788219,6801658,,,,
NPL,Nepal,2015,0.0,17.5816,-17.5816,Nepal Telecommunications Authority,,ITU estimate.,,6988905,6801651,,,,
PAK,Pakistan,2015,16.0,11.0,5.0,Pakistan Telecommunication Authority,"Figures are as on 31st December, 2015 based on data received from cellular mobile Operators",ITU estimate.,,6779724,6771644,,,,
PNG,Papua New Guinea,2015,35.0,7.9,27.1,ITU estimate,,ITU estimate.,,6885461,6801660,,,,
PHL,Philippines,2015,39.0,36.900002,2.099998,ICTO,,ITU estimate.,,6801979,6801601,,,,
SLB,Solomon Islands,2015,11.5,10.0005,1.4995,Telecommunications Commission of the Solomon Islands,,ITU estimate.,,6776237,6801667,,,,
LKA,Sri Lanka,2015,35.0,15.2625,19.7375,,,ITU estimate.,5 � 69 years used in last year. DC&S.,6776184,6801621,,,,
TWN,"Taipei,China",2015,99.45,78.036873,21.413127,National Communications Commission,,National Communications Commission,,6788604,6801539,,,,
TJK,Tajikistan,2015,60.0,18.98,41.02,ITU estimate,ITU estimate,ITU estimate.,,7115258,6801649,,,,
THA,Thailand,2015,21.0,39.316127,-18.316127,ITU estimate,,National Statistical Office,,6788558,6797062,,31.183343,49.399335,18.215992
TLS,Timor-Leste,2015,0.0,18.6,-18.6,ITU estimate.,,ITU estimate.,,6788535,6803083,,,,
TON,Tonga,2015,0.0,38.651299,-38.651299,"Ministry of Meteorology, Energy, Information, Disaster Management, Environment and Climate Change, Communication (MEIDECC) ",,ITU estimate.,,6774680,6801594,,,,
TKM,Turkmenistan,2015,25.0,14.9968,10.0032,ITU estimate,ITU estimate,ITU Estimate.,,7115260,6801657,,,,
TUV,Tuvalu,2015,0.0,27.299999,-27.299999,ITU estimate.,,ITU estimate.,,7898085,6801613,,,,
UZB,Uzbekistan,2015,10.0,42.799999,-32.799999,"State Committee for Communications, Informatization and Telecommunication Technologies ",,ITU estimate.,,6790556,6801590,,,,
VUT,Vanuatu,2015,18.0,22.3514,-4.3514,Office of the Telecommunications & Radiocommunications Regulator,Estimated. 7 tower sites covering majority of the capital city. Last census was in 2009 so population numbers are subject to significant estimation.,ITU Estimate.,,6773590,6801635,,,,
VNM,Viet Nam,2015,0.0,45.0,-45.0,ITU estimate,ITU estimate,ITU estimate.,Reference period is past six months.,6788421,6801581,,,,
AFG,Afghanistan,2016,0.0,11.0,-11.0,Afghanistan Telecom Regulatory Authority,,ITU estimate.,,7115360,7230283,,,,
ARM,Armenia,2016,52.48,64.34603,-11.86603,"Ministry of Transport, Communication and Information Technologies of Armenia",,National Statistical Service of RA,,7139826,7230321,,56.507334,68.828669,12.321335
AZE,Azerbaijan,2016,41.0,78.2,-37.2,"Ministry of Transport, Communications and High Technologies",Excluding occupied territories of Azerbaijan,State Statistical Committee of the Republic of Azerbaijan,,7139805,7230322,,,,
BGD,Bangladesh,2016,65.0,16.899099,48.100901,Bangladesh Telecommunication Regulatory Commission,"June,2017",ITU estimate.,,7139781,7230285,,,,
BTN,Bhutan,2016,53.0,46.503201,6.496799,Ministry of Information and Communications,by two operators,ITU estimate.,,7139736,7230286,,,,
BRN,Brunei Darussalam,2016,89.58,90.0,-0.42,Authority for Info-communications Technology Industry of Brunei Darussalam,,Authority for Info-communications Technology Industry of Brunei Darussalam,,7138811,7230287,,,,
KHM,Cambodia,2016,50.0,32.398452,17.601548,Telecommunication Regulator of Cambodia,,National Institute of Statistics,,7138865,7230288,,30.000004,40.0,9.999996
CHN,China,2016,97.0,53.2,43.8,MIIT,,CNNIC.,,7139014,7230289,,,,
GEO,Georgia,2016,91.99,58.45929,33.53071,GNCC,,National Statistics Office of Georgia,Reference period is the last 3 months. Time period 2016-2017 is recalculated according to latest results of 2014 general population census.,7139975,7230324,,41.031791,70.062924,29.031133
HKG,"Hong Kong, China",2016,99.0,87.479415,11.520585,Office of the Communications Authority,,Census and Statistics Department,Iin the last twelve months.,7139254,7230291,,,,
IND,India,2016,73.5,16.5,57.0,Ministry of Communications,,ITU estimate.,,7139132,7230292,,,,
IDN,Indonesia,2016,22.6,25.447354,-2.847354,Ministry of Communication and Informatics,MCIT,BPS-Statistics Indonesia,,7232201,7230293,,14.233546,35.860525,21.626979
KAZ,Kazakhstan,2016,69.0,74.587726,-5.587726,Ministry of Digital Development Innovation and Aerospace,,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",,7139083,7230325,,68.83776,78.864686,10.026926
KGZ,Kyrgyz Republic,2016,40.0,40.526199,-0.526199,State Communications Agency under the State Committee for IT and Communications of the Kyrgyz Republic,,ITU estimate.,,7139037,7230326,,,,
LAO,Lao PDR,2016,7.0,21.870001,-14.870001,Ministry of Post and Telecommunication,Ref from LTC & Unitel,ITU estimate.,,7139468,7230298,,,,
MYS,Malaysia,2016,88.0,78.78831,9.21169,Malaysian Communications and Multimedia Malaysia,,Department of Statistics,Estimates by DOSM,7139581,7230300,,,,
MDV,Maldives,2016,80.0,59.477501,20.522499,Communications Authority of Maldives,,ITU estimate.,,7138993,7230301,,,,
FSM,Micronesia,2016,0.0,33.3522,-33.3522,"Department of Transportation, Communications and Infrastructure",,ITU estimate.,,7138834,7230303,,,,
MNG,Mongolia,2016,6.9,22.265771,-15.365771,Communications Regulatory Commission of Mongolia,,National Statistical Office of Mongolia,,7139646,7230304,,,,
MMR,Myanmar,2016,9.19,16.0,-6.81,Ministry of Transport and Communications,,ITU estimate.,,7231945,7230305,,,,
NPL,Nepal,2016,15.47,20.700001,-5.230001,ITU estimate.,,ITU Estimate.,,7232231,7230306,,,,
PAK,Pakistan,2016,27.0,12.385447,14.614553,Pakistan Telecommunication Authority,Figure reports the highest coverage as on 31st December 2016,PAKISTAN BUREAU OF STATISTICS,,7138665,7230308,,8.509857,19.088047,10.57819
PNG,Papua New Guinea,2016,35.0,9.6015,25.3985,ITU estimate.,,ITU estimate.,,7898088,7230309,,,,
PHL,Philippines,2016,80.0,39.200001,40.799999,Department of Information and Communications Technology,,ITU estimate.,,7232234,7230310,,,,
SLB,Solomon Islands,2016,13.3,11.0009,2.2991,Telecommunications Commission of the Solomon Islands,,ITU estimate.,,7138521,7230313,,,,
LKA,Sri Lanka,2016,36.0,22.19,13.81,Telecommunications Regulatory Commission of Sri Lanka,,Department of Census and Statistics,,7175792,7230314,,,,
TWN,"Taipei,China",2016,99.5,79.745187,19.754813,National Communications Commission,,National Communications Commission,,7140025,7230387,,,,
TJK,Tajikistan,2016,73.59,20.469999,53.120001,ITU estimate.,,ITU estimate.,,7232242,7230329,,,,
THA,Thailand,2016,98.0,47.504966,50.495034,The National Broadcasting and Telecommunications Commission,NBTC,National Statistical Office of Thailand,,7170028,7230315,,39.51044,57.389242,17.878802
TLS,Timor-Leste,2016,0.0,21.200001,-21.200001,Autoridade Nacional de Comunicações,,ITU estimate.,,7302481,7230316,,,,
TON,Tonga,2016,41.14,39.950001,1.189999,MEIDECC,,ITU estimate.,,7232247,7230317,,,,
TKM,Turkmenistan,2016,46.1,17.990299,28.109701,ITU estimate.,,ITU estimate.,,7232248,7230330,,,,
TUV,Tuvalu,2016,0.0,31.0,-31.0,ITU estimate.,,Tuvalu Central Statistics Division,In the last month.,7898087,7230318,,,,
UZB,Uzbekistan,2016,16.9,46.791302,-29.891302,Ministry for Development of Information Technologies and Communications of the Republic of Uzbekistan,,ITU estimate.,,7171353,7230332,,,,
VNM,Viet Nam,2016,5.0,53.0,-48.0,Ministry of Information and Communications,,ITU estimate.,Reference period is past six months.,7141118,7230320,,,,
AFG,Afghanistan,2017,4.0,13.5,-9.5,Afghanistan Telecom Regulatory Authority,,ITU estimate.,Asia Foundation,7808424,7896370,,,,
ARM,Armenia,2017,90.05,64.744884,25.305116,"Ministry of Transport, Communication and Information Technologies of Armenia",,The Statistical Committee of the Republic of Armenia ,,7807517,7896376,,,,
AZE,Azerbaijan,2017,42.0,79.0,-37.0,"Ministry of Transport, Communications and High Technologies",Excluding occupied territories of Azerbaijan,State Statistical Committee of the Republic of Azerbaijan,,7807541,7848401,,56.039837,91.700009,35.660172
BGD,Bangladesh,2017,67.0,21.5,45.5,Bangladesh Telecommunication Regulatory Commission,"June,2018",Findex.,,7808496,7848403,,,,
BTN,Bhutan,2017,55.0,54.335499,0.664501,Ministry of Information and Communications,For two operators,ITU estimate.,,7808544,7848408,,,,
BRN,Brunei Darussalam,2017,90.04,94.866699,-4.826699,Authority for Info-communications Technology Industry of Brunei Darussalam,,ITU estimate.,,7808592,7896386,,,,
KHM,Cambodia,2017,57.5,32.900279,24.599721,Telecommunication Regulator of Cambodia,,National Institute of Statistics,,7808616,7848438,,29.999997,39.999995,9.999998
CHN,China,2017,98.0,54.3,43.7,MIIT,,CNNIC.,,7808640,7769822,,,,
GEO,Georgia,2017,99.72,59.705505,40.014495,Georgian National Communications Commission,,National Statistics Office of Georgia,Reference period is the last 3 months. Time period 2016-2017 is recalculated according to latest results of 2014 general population census.,7807809,7848427,,43.621821,70.701674,27.079852
HKG,"Hong Kong, China",2017,99.0,89.415945,9.584055,Office of the Communications Authority,,Census and Statistics Department,last twelve months.,7808736,7848428,,,,
IND,India,2017,88.0,18.200001,69.799999,Ministry of Communications,December 2017,ITU estimate.,,7808760,7840929,,,,
IDN,Indonesia,2017,90.42,32.335806,58.084194,Ministry of Communication and Informatics,MCIT,BPS-Statistics Indonesia,,7808784,7848431,,19.872159,43.362753,23.490595
KAZ,Kazakhstan,2017,72.9,76.426748,-3.526748,"Ministry of digital development, innovation and aerospace industry of the Republic of Kazakhstan",,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",,7807857,7848437,,71.706764,79.919278,8.212514
KIR,Kiribati,2017,51.0,25.309601,25.690399,Ministry of ICTTD,,ITU estimate.,,7808880,7896421,,,,
KGZ,Kyrgyz Republic,2017,50.0,50.805302,-0.805302,State Communications Agency under the State Committee for IT and Communications of the Kyrgyz Republic,,ITU estimate.,,7807905,7896422,,,,
LAO,Lao PDR,2017,9.0,25.510401,-16.510401,Ministry of Post and Telecommunication,Ref from LTC & Unitel,ITU estimate.,,7810788,7896423,,,,
MYS,Malaysia,2017,77.2,80.140479,-2.940479,Malaysian Communications and Multimedia Commission,Revised figure from 92 reported in ITU Long Questionnaire 2019,Department of Statistics,,7808928,7848449,,68.028422,83.969734,15.941312
MDV,Maldives,2017,100.0,64.955002,35.044998,Communications Authority of Maldives,,ITU estimate.,,7808952,7896430,,,,
FSM,Micronesia,2017,0.0,35.3041,-35.3041,Division of Communications,,ITU estimate.,,7808976,7896435,,,,
MNG,Mongolia,2017,21.0,23.7143,-2.7143,Communications Regulatory Commission of Mongolia,,ITU estimate.,All population,7809000,7896438,,,,
MMR,Myanmar,2017,29.52,23.621082,5.898918,Ministry of Transport and Communications,,Central Statistical Organization,,7809025,7896440,,,,
NRU,Nauru,2017,30.0,62.385101,-32.385101,ITU estimate.,,ITU estimate.,,7898102,7986567,,,,
NPL,Nepal,2017,15.47,24.3,-8.83,Nepal Telecommunications Authority,From NTA,Findex.,"Findex, 15+.",7809050,7896442,,,,
PAK,Pakistan,2017,67.0,13.78,53.22,Pakistan Telecommunication Authority,Figure reports the highest coverage as on 31st December 2017,ITU estimate.,,7809098,7896448,,,,
PNG,Papua New Guinea,2017,50.0,11.2092,38.7908,ITU estimate.,,ITU estimate.,,7898104,7896450,,,,
PHL,Philippines,2017,80.0,41.599998,38.400002,Department of Information and Communications Technology,,ITU estimate.,,7898111,7896451,,,,
SLB,Solomon Islands,2017,19.0,15.1484,3.8516,Telecommunications Commission Solomon Islands,,ITU estimate.,,7809170,7896463,,,,
LKA,Sri Lanka,2017,48.0,25.0755,22.9245,Telecommunications Regulatory Commission of Sri Lanka,Telecommunications Regulatory Commission of Sri Lanka,ITU estimate.,,7809194,7896467,,,,
TWN,"Taipei,China",2017,99.6,82.900002,16.699998,National Communications Commission,,ITU estimate.,,7809291,7896368,,,,
TJK,Tajikistan,2017,80.0,21.959999,58.040001,ITU estimate.,,ITU estimate.,,7898112,7896471,,,,
THA,Thailand,2017,98.0,52.891929,45.108071,Office of the National Broadcasting and Telecommunications Commission,NBTC,National Statistical Office,,7809315,7848466,,44.974183,62.651258,17.677075
TLS,Timor-Leste,2017,20.0,24.200001,-4.200001,Autoridade Nacional de Comunicações,,ITU estimate.,,7809339,7896474,,,,
TON,Tonga,2017,65.0,46.200802,18.799198,MEIDECC,,ITU estimate.,,7898106,7896475,,,,
TUV,Tuvalu,2017,0.0,35.200001,-35.200001,ITU estimate.,,ITU estimate.,,7898095,7896478,,,,
UZB,Uzbekistan,2017,43.0,48.699999,-5.699999,Ministry for Development of Information Technologies and Communications of the Republic of Uzbekistan,,State Committee of the Republic of Uzbekistan on Statistics ,,7808352,7896484,,,,
VNM,Viet Nam,2017,95.0,58.14,36.86,Ministry of Information and Communications,,Ministry of Information and Communications,,7809435,7896487,,,,
AFG,Afghanistan,2018,7.0,16.799999,-9.799999,Afghanistan Telecommunication Regulatory Authority.,,ITU estimate.,Asia Foundation,8377903,31268824,,,,
ARM,Armenia,2018,99.1,68.245052,30.854948,Ministry of High-Tech Industry of Armenia,,The Statistical Committee of the Republic of Armenia ,,31106800,35660248,,,,
AZE,Azerbaijan,2018,49.0,79.799995,-30.799995,"Ministry of Transport, Communications and High Technologies",Excluding occupied territories of Azerbaijan,State Statistical Committee of the Republic of Azerbaijan,,8377990,30899193,,66.745477,91.204907,24.45943
BGD,Bangladesh,2018,79.0,25.5651,53.4349,Bangladesh Telecommunication Regulatory Commission,"June,2019",ITU estimate.,,8378019,35660280,,,,
BTN,Bhutan,2018,60.0,63.486801,-3.486801,Ministry of Information & Communications,,ITU estimate.,,8369613,35660295,,,,
BRN,Brunei Darussalam,2018,94.94,95.0,-0.06,Authority for Info-communications Technology Industry of Brunei Darussalam,,Authority for Info-communications Technology Industry of Brunei Darussalam,,8378193,30899249,,,,
KHM,Cambodia,2018,80.3,65.0,15.3,Telecommunication Regulator of Cambodia (TRC),,ITU estimate.,,8383515,59465346,,,,
CHN,China,2018,99.4,65.358398,34.041602,MIIT,,ITU estimate.,,8378339,35660308,,,,
FJI,Fiji,2018,75.0,58.236401,16.763599,Ministry of Communications,,ITU estimate.,,8383673,35660350,,,,
GEO,Georgia,2018,99.72,62.717908,37.002092,Georgian National Communications Commission,,National Statistics Office of Georgia,,8369847,30899126,,46.112913,75.797345,29.684433
HKG,"Hong Kong, China",2018,99.0,90.507395,8.492605,Office of the Communications Authority,,Census and Statistics Department,In the last twelve months,8378658,31268837,,,,
IND,India,2018,94.0,20.0813,73.9187,MINISTRY OF COMMUNICATIONS,"December 2018, Data from operator having maximum coverage",Ministry of Statistics and Programme Implementation,"Social consumption - Education, NSS 75th round",8378687,35660404,,,,
IDN,Indonesia,2018,97.59,39.904639,57.685361,Ministry of Communications and Informatics,Ministry of Communications and Informatics,BPS-Statistics Indonesia,,8378716,30899097,,26.556507,50.921764,24.365257
KAZ,Kazakhstan,2018,75.3,78.903919,-3.603919,Ministry of Digital Development Innovation and Aerospace Industry of the Republic of Kazakhstan,,"Committee on Statistics, Ministry of National Economy of the Republic of Kazakhstan",,8377236,30899184,,75.218194,81.555481,6.337286
KIR,Kiribati,2018,53.0,32.986401,20.013599,"Ministry of Information, Communication, Transport & Tourism Development",,ITU estimate.,,8383689,35660417,,,,
KGZ,Kyrgyz Republic,2018,70.0,62.8,7.2,State Communications Agency under the State Committee for IT and Communications of the Kyrgyz Republic,,National Statistical Committee of the Kyrgyz Republic,,8377702,35660645,,,,
LAO,Lao PDR,2018,43.0,36.271301,6.728699,Ministry of Post and Telecommunication,,ITU estimate.,,8369700,35660423,,,,
MYS,Malaysia,2018,79.7,81.201049,-1.501049,Malaysian Communications and Multimedia Commission,,Department of Statistics,,8378948,30899200,,69.423436,84.898659,15.475223
MDV,Maldives,2018,100.0,70.936897,29.063103,Communications Authority of Maldives,,ITU estimate.,,8378977,35660452,,,,
MNG,Mongolia,2018,45.0,47.130002,-2.130002,Communications Regulatory Commision of Mongolia,,National Statistical Office of Mongolia,Weight adjusted in 2018,8379064,30899106,,,,
MMR,Myanmar,2018,75.0,29.379,45.621,Ministry of Transport and Communications,,ITU estimate.,,8379122,35660292,,,,
PAK,Pakistan,2018,68.6,15.34,53.26,Pakistan Telecommunication Authoriity,Figure reports the highest coverage as on 31st December 2018,ITU estimate.,,8368127,35660504,,,,
PHL,Philippines,2018,80.0,44.099998,35.900002,ITU estimate.,,ITU estimate.,,31106414,35660507,,,,
SLB,Solomon Islands,2018,20.0,20.8594,-0.8594,Telecommunications Commission Solomon Islands,,ITU estimate.,,8383594,35660547,,,,
