member,suffix,compressed_bytes,uncompressed_bytes,crc32
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1985_level5.csv,.csv,2612799,8537691,db927a0b
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1990_level0.csv,.csv,41345,85345,a473b78a
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1990_level1.csv,.csv,530188,1173804,54a26ff9
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1990_level2.csv,.csv,5123214,12257403,3d45f049
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1990_level3.csv,.csv,10500909,29910529,40527e0e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1990_level4.csv,.csv,9697386,29490204,ccc6d87d
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1990_level5.csv,.csv,2593122,8630716,08e3e273
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1995_level0.csv,.csv,41459,85505,91c5324e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1995_level1.csv,.csv,534193,1182460,95ef5597
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1995_level2.csv,.csv,5203968,12410349,04952003
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1995_level3.csv,.csv,10668544,30293429,0987dc15
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1995_level4.csv,.csv,9829850,29760513,2aba45a9
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1995_level5.csv,.csv,2621820,8668352,ef2f34fb
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2000_level0.csv,.csv,41362,85327,d211cf1c
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2000_level1.csv,.csv,538594,1190142,1a13328e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2000_level2.csv,.csv,5249874,12517189,fa0de032
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2000_level3.csv,.csv,10818337,30623981,bd4830e0
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2000_level4.csv,.csv,9952906,30021399,f32517a4
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2000_level5.csv,.csv,2704876,8800751,d784b0d4
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2005_level0.csv,.csv,41440,85458,c7e09344
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2005_level1.csv,.csv,540512,1194033,6ca080fd
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2005_level2.csv,.csv,5297745,12582989,fde6a0d6
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2005_level3.csv,.csv,10917801,30908825,c5caa2e5
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2005_level4.csv,.csv,10096431,30354606,c7c5ee12
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2005_level5.csv,.csv,2789599,8966700,441997c1
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2010_level0.csv,.csv,41699,85903,c4cc62e3
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2010_level1.csv,.csv,544907,1197932,a36d64c8
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2010_level2.csv,.csv,5326041,12634831,adabd770
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2010_level3.csv,.csv,11021667,31116329,1e19881b
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2010_level4.csv,.csv,10127412,30524675,adeb86ff
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2010_level5.csv,.csv,2763494,9002527,37a33728
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2015_level0.csv,.csv,41703,85987,d49d049e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2015_level1.csv,.csv,544094,1200658,3f6a2644
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2015_level2.csv,.csv,5349858,12678462,6cf96c67
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2015_level3.csv,.csv,11060445,31260239,a2106dd3
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2015_level4.csv,.csv,10127386,30624109,87082641
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2015_level5.csv,.csv,2780926,8980775,8265fa2d
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2020_level0.csv,.csv,41785,86041,a57eac5b
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2020_level1.csv,.csv,545177,1202346,3e34ff5a
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2020_level2.csv,.csv,5370412,12710979,21b98eed
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2020_level3.csv,.csv,11068487,31292897,8a7f9672
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2020_level4.csv,.csv,10142018,30672227,0be2feb5
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2020_level5.csv,.csv,2754195,8893182,3ea64aab
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2025_level0.csv,.csv,41778,86031,7414f7e5
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2025_level1.csv,.csv,545912,1203515,c24eb66e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2025_level2.csv,.csv,5379659,12731728,0ec8063e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2025_level3.csv,.csv,11105692,31341588,12e388eb
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2025_level4.csv,.csv,10183156,30752047,a3de6c26
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2025_level5.csv,.csv,2736487,8820596,16683982
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2030_level0.csv,.csv,41822,86093,0ba9bfb6
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2030_level1.csv,.csv,546316,1203236,d007c0f3
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2030_level2.csv,.csv,5382831,12737248,941a11fa
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2030_level3.csv,.csv,11090146,31309666,209c4d5e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2030_level4.csv,.csv,10167523,30736870,3509b527
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_2030_level5.csv,.csv,2652879,8748574,43dcfbe7
