iso3,country,year,admin_level,total_pop,urban_cell_pop,embedded_urban_pop,admin_units,rural_units,rural_units_with_urban_pop,embedded_share_of_urban_cell_pop_pct
BGD,Bangladesh,1985,2,95786967.11136372,88683317.9320131,245416.81684156138,64.0,2.0,2.0,0.2767339140713073
BRN,Brunei Darussalam,1985,2,221822.70530344747,147197.96497372622,1528.2505830093291,39.0,21.0,2.0,1.0382280646896926
BTN,Bhutan,1985,2,523354.8881919157,118848.30416662309,4358.954062215979,205.0,195.0,6.0,3.66766197698943
CHN,China,1985,2,1065812884.3416361,821031698.5893055,18902528.110782493,368.0,38.0,33.0,2.3022896854361123
FJI,Fiji,1985,2,722710.5219644328,333194.114532436,56683.23898568752,15.0,13.0,6.0,17.012076898546024
FSM,Micronesia,1985,2,84600.81619127812,19228.07488967077,1043.84432091005,74.0,72.0,1.0,5.42875106790227
GEO,Georgia,1985,2,5337592.989649568,3531167.0907396763,462098.4671629776,69.0,39.0,33.0,13.086281540593466
IDN,Indonesia,1985,2,165447079.1614323,136019531.8724741,6517788.736409889,502.0,180.0,135.0,4.791803534892826
IND,India,1985,2,780283522.8513374,546872544.355706,61513287.67868707,676.0,232.0,215.0,11.248194540678307
KAZ,Kazakhstan,1985,2,15417137.338567227,9996590.913009776,1670731.6578684843,174.0,102.0,92.0,16.713014190609307
KGZ,Kyrgyz Republic,1985,2,3963642.7611687738,2844944.473498637,172726.45449698134,44.0,17.0,10.0,6.0713471249077475
KHM,Cambodia,1985,2,7376034.523949264,3341086.845432023,897495.0182552916,202.0,141.0,64.0,26.86236724083836
LAO,Lao PDR,1985,2,3748205.4019272327,730427.4887343268,297806.1316693898,142.0,133.0,42.0,40.77148468021426
LKA,Sri Lanka,1985,2,16067861.456137491,12241598.598913303,580657.5853268406,323.0,114.0,71.0,4.743315022421877
MMR,Myanmar,1985,2,36876009.139828935,28210505.965524822,3114061.393084281,63.0,34.0,30.0,11.038658423531567
MNG,Mongolia,1985,2,1919726.3487221072,1021437.9007182947,1175.2293559992681,327.0,292.0,5.0,0.1150563685930221
MYS,Malaysia,1985,2,15098900.891445361,10533783.43768996,900215.5966713341,144.0,69.0,51.0,8.545985419164358
NPL,Nepal,1985,2,17541846.52706869,10245672.181225287,2564374.4158899086,14.0,8.0,8.0,25.028854823102815
PAK,Pakistan,1985,2,97115220.46418081,63508270.74362153,4404457.388682285,32.0,8.0,8.0,6.9352500660312
PHL,Philippines,1985,2,54243390.64449787,38680960.49861892,2622878.129032339,1647.0,890.0,411.0,6.780798861305388
PNG,Papua New Guinea,1985,2,3429538.355096307,710341.8109671987,246233.8009999088,87.0,78.0,26.0,34.664128902202414
SLB,Solomon Islands,1985,2,271716.5466616014,32441.943491574726,803.573323855176,183.0,170.0,1.0,2.4769580283125348
THA,Thailand,1985,2,50582474.615594,23413154.28686766,7783043.244290824,928.0,659.0,451.0,33.242181505873816
TJK,Tajikistan,1985,2,4661072.587247312,3247733.160174973,230777.4635217142,59.0,24.0,16.0,7.1058012509032915
TKM,Turkmenistan,1985,2,3240905.418446729,1972483.6829428193,352916.46847111825,58.0,33.0,22.0,17.891984178271603
TLS,Timor-Leste,1985,2,682004.1626728853,169296.8994397945,62705.860372756135,62.0,60.0,11.0,37.03898924330604
TON,Tonga,1985,2,96446.87756907094,55202.41592546269,9797.70463994611,11.0,8.0,2.0,17.748688124765238
TWN,"Taipei,China",1985,2,19503154.552172344,18212495.562232584,11055.4557816386,22.0,1.0,1.0,0.060702586001252896
UZB,Uzbekistan,1985,2,18160112.53156233,14000445.721654648,532990.3694306005,161.0,43.0,33.0,3.8069528644092974
VNM,Viet Nam,1985,2,59769336.95344491,46180541.33642741,2554791.476388473,710.0,222.0,151.0,5.532181742471785
VUT,Vanuatu,1985,2,132047.75265065389,17702.762134804692,642.929864158854,63.0,59.0,1.0,3.6318053604460703
WSM,Samoa,1985,2,165585.5056333913,84790.6090387012,3930.2594822696383,43.0,28.0,4.0,4.635253274894794
AFG,Afghanistan,1990,2,10698382.762993794,6341504.245803045,676605.527911758,328.0,216.0,76.0,10.669480011143277
AZE,Azerbaijan,1990,2,7382055.856378833,5401556.575512917,472226.01279893547,79.0,27.0,23.0,8.742406123073778
BGD,Bangladesh,1990,2,106964000.39142843,100936144.66339253,287277.69799664686,64.0,2.0,2.0,0.2846133057238084
BRN,Brunei Darussalam,1990,2,261482.09936545085,185978.3545989517,775.964080472477,39.0,20.0,1.0,0.4172335442722811
BTN,Bhutan,1990,2,596968.3466509652,145706.42482229212,4801.747613582762,205.0,194.0,5.0,3.2954947727522077
CHN,China,1990,2,1159727486.8677425,915660262.1089987,16522439.559399137,368.0,33.0,29.0,1.8044290271310621
FJI,Fiji,1990,2,774577.6376284417,367686.8451022161,60972.26757794473,15.0,13.0,5.0,16.582662227416535
FSM,Micronesia,1990,2,94661.5283563535,27048.39727910041,1297.4185112901,74.0,70.0,1.0,4.79665577927821
GEO,Georgia,1990,2,5389991.171203144,3554342.312417085,461485.87015909154,69.0,40.0,33.0,12.983720463470611
IDN,Indonesia,1990,2,181725731.5516849,150821343.98386666,6994422.774587792,502.0,175.0,141.0,4.6375549970805094
IND,India,1990,2,870481002.4904336,633263105.9804462,62195136.98606912,676.0,214.0,198.0,9.821373833199367
KAZ,Kazakhstan,1990,2,16871005.734567724,11062295.71870587,1754759.5716657378,174.0,99.0,92.0,15.862526335275183
KGZ,Kyrgyz Republic,1990,2,4288857.490482067,3095692.6724123457,213114.0723445345,44.0,16.0,12.0,6.88421283687904
KHM,Cambodia,1990,2,8909177.699421506,4767580.670038151,1198652.5703307393,202.0,127.0,68.0,25.141736517719952
LAO,Lao PDR,1990,2,4321428.079228671,876811.4371795261,388752.52044048416,142.0,133.0,44.0,44.33707225478259
LKA,Sri Lanka,1990,2,17174531.447257195,13429694.37693342,573890.9254002608,323.0,103.0,63.0,4.27329847793085
MMR,Myanmar,1990,2,40087607.96011122,28963289.032685455,3958378.2539987313,63.0,29.0,27.0,13.666881028365422
MNG,Mongolia,1990,2,2161404.300625279,1174244.147884688,1686.962684526108,327.0,290.0,5.0,0.14366370805977985
MYS,Malaysia,1990,2,17504428.462175608,12526665.357526222,935262.5990687673,144.0,66.0,49.0,7.466173737185742
NPL,Nepal,1990,2,19617707.629571278,11878063.977390144,1268802.8715629585,14.0,5.0,5.0,10.681899625882808
PAK,Pakistan,1990,2,115406457.8978067,81567200.59948042,2601510.6384980595,32.0,7.0,7.0,3.189407775892987
PHL,Philippines,1990,2,60922600.3493699,44867107.15670182,2871061.286746809,1647.0,773.0,398.0,6.399033654475219
PNG,Papua New Guinea,1990,2,3844198.312573789,890575.2199810977,320092.78087952925,87.0,77.0,31.0,35.94225099664497
SLB,Solomon Islands,1990,2,317592.7616223396,40963.059697414625,1026.34037073655,183.0,170.0,1.0,2.505526633796175
THA,Thailand,1990,2,55213408.14583687,26370007.437140327,8191850.568445181,928.0,647.0,467.0,31.065029420156808
TJK,Tajikistan,1990,2,5418209.266836806,3954411.038839614,242719.03119384983,59.0,22.0,16.0,6.1379312572694396
TKM,Turkmenistan,1990,2,3712563.143945574,2334808.073836955,415318.1880491041,58.0,32.0,21.0,17.788108269069948
TLS,Timor-Leste,1990,2,757935.6932204459,221045.48644989653,85239.70744766643,62.0,59.0,14.0,38.562066485346385
TON,Tonga,1990,2,98121.52484425346,56670.81916461187,10145.58354268456,11.0,8.0,2.0,17.90265906200272
TWN,"Taipei,China",1990,2,20575322.00373147,19313828.09506377,7889.36772574484,22.0,1.0,1.0,0.040848285937479197
UZB,Uzbekistan,1990,2,20680082.319758255,16293531.585777119,388257.485405016,161.0,33.0,26.0,2.3828933792593627
VNM,Viet Nam,1990,2,66862883.40534353,53628947.065267995,2323302.887375587,710.0,186.0,135.0,4.332180686948897
VUT,Vanuatu,1990,2,149641.79492526347,30016.67840206828,1643.5068750428009,63.0,58.0,2.0,5.475312268160744
WSM,Samoa,1990,2,167180.26533440192,87433.08421390742,3904.039155999667,43.0,28.0,4.0,4.465173785301144
AFG,Afghanistan,1995,2,16421462.478299078,11035958.823890267,937223.5083940797,328.0,169.0,92.0,8.4924520229743
AZE,Azerbaijan,1995,2,7842045.325539187,5811803.9813213125,509143.5732887649,79.0,26.0,22.0,8.760508353776434
BGD,Bangladesh,1995,2,117592197.04464677,111907306.09479986,334913.794631011,64.0,2.0,2.0,0.2992778633660398
BRN,Brunei Darussalam,1995,2,298592.55548441765,224805.21536082556,4671.24964303337,39.0,19.0,1.0,2.07790981874497
BTN,Bhutan,1995,2,563468.6362160384,150553.56163103363,4954.763946335766,205.0,195.0,5.0,3.2910307087112045
CHN,China,1995,2,1224556368.5256996,984974947.869537,13548519.787299816,368.0,27.0,23.0,1.3755192268193972
FJI,Fiji,1995,2,786461.4403864635,385791.5458849076,60489.59958374497,15.0,13.0,5.0,15.679348142530502
FSM,Micronesia,1995,2,105865.70802533448,30689.6005342028,1381.82288071699,74.0,70.0,1.0,4.502576953313493
GEO,Georgia,1995,2,4876111.160557076,3143744.2155855866,433212.2038148367,69.0,43.0,31.0,13.780135217971035
IDN,Indonesia,1995,2,197650701.65591642,165484751.54338866,7068163.239685134,502.0,159.0,133.0,4.271187027060873
IND,India,1995,2,964318756.1258434,727140640.2841285,54853911.05771543,676.0,179.0,164.0,7.54378286933342
KAZ,Kazakhstan,1995,2,16438550.448310122,11100389.888422193,1487536.604005677,174.0,91.0,85.0,13.400759963910735
KGZ,Kyrgyz Republic,1995,2,4487293.03757862,3322015.701175249,246650.3800376194,44.0,16.0,14.0,7.424720477701548
KHM,Cambodia,1995,2,10918800.9227712,6669735.72214526,978300.4262139511,202.0,101.0,53.0,14.667753970606944
LAO,Lao PDR,1995,2,4933894.591679446,1084896.7533847906,511969.9649335686,142.0,131.0,50.0,47.19066246039206
LKA,Sri Lanka,1995,2,18146395.394546565,14372687.92294118,635388.9777787189,323.0,100.0,67.0,4.420808280158462
MMR,Myanmar,1995,2,42863928.89802806,30010889.233155586,4235442.883457504,63.0,22.0,21.0,14.113020279246674
MNG,Mongolia,1995,2,2330280.3185606254,1318833.700806017,2269.056107638401,327.0,285.0,5.0,0.1720502066524117
MYS,Malaysia,1995,2,20122600.571928423,14964185.516834337,913158.8094133836,144.0,60.0,46.0,6.102295433226905
NPL,Nepal,1995,2,22306688.593236424,14141664.38597584,501516.3116653863,14.0,3.0,3.0,3.5463740191906656
PAK,Pakistan,1995,2,133108769.79638003,99448076.68874836,3312476.442468931,32.0,7.0,7.0,3.3308602365798268
PHL,Philippines,1995,2,68625715.67511967,52148419.06007501,3079562.5903694606,1647.0,669.0,393.0,5.905380538615759
PNG,Papua New Guinea,1995,2,4592144.734484524,1181508.89174535,490572.0809664996,87.0,76.0,38.0,41.52081159895598
SLB,Solomon Islands,1995,2,367677.26752861135,49548.46253857344,1314.95885927277,183.0,170.0,1.0,2.6538842819776205
THA,Thailand,1995,2,59406880.229195595,29726151.99209137,8214830.584161616,928.0,624.0,476.0,27.635028530928484
TJK,Tajikistan,1995,2,5916853.96200159,4461882.025326815,223375.22656017847,59.0,19.0,13.0,5.006300598990335
TKM,Turkmenistan,1995,2,4218319.995371103,2824938.287070861,321090.25820021564,58.0,28.0,17.0,11.366275138461507
TLS,Timor-Leste,1995,2,819033.3897842898,244062.66972614263,76905.6345534772,62.0,57.0,12.0,31.51060940199143
TON,Tonga,1995,2,99394.73215210525,58551.09564396462,10062.40876314137,11.0,8.0,2.0,17.185688247968066
TWN,"Taipei,China",1995,2,21443271.748475954,20228925.43941453,7352.01505941153,22.0,1.0,1.0,0.036344071173878
UZB,Uzbekistan,1995,2,23130747.624707762,18798233.40431902,381482.837371651,161.0,28.0,22.0,2.02935472268369
VNM,Viet Nam,1995,2,73709003.33584899,60905066.14452108,2089889.8832405035,710.0,154.0,115.0,3.4313892349799318
VUT,Vanuatu,1995,2,169199.0229388651,36899.6777846262,685.0399964679959,63.0,57.0,2.0,1.856493166326264
WSM,Samoa,1995,2,173832.063019898,92888.22507975018,4066.15474387352,43.0,28.0,4.0,4.377470600156779
AFG,Afghanistan,2000,2,19545211.011013392,13970877.248180443,945328.2753268078,328.0,138.0,84.0,6.76642030800125
AZE,Azerbaijan,2000,2,8142003.407820272,6129661.646836789,565466.3512588544,79.0,26.0,22.0,9.225082620191005
BGD,Bangladesh,2000,2,128974525.16223873,123710200.23124556,131539.374466459,64.0,1.0,1.0,0.10632864082394075
BRN,Brunei Darussalam,2000,2,333341.5802400382,252741.70963717139,0.0,39.0,18.0,0.0,0.0
BTN,Bhutan,2000,2,619779.0707980216,183065.41606944334,13939.899473180994,205.0,193.0,9.0,7.614709415072198
CHN,China,2000,2,1270947618.8129022,1036448286.8468914,10127556.570548471,368.0,24.0,20.0,0.9771405577174308
FJI,Fiji,2000,2,826573.3063547098,415115.98587535525,59465.94965394675,15.0,13.0,5.0,14.32514084673248
FSM,Micronesia,2000,2,107210.60251755272,33948.984550843445,1563.822035406715,74.0,70.0,2.0,4.60638825018365
GEO,Georgia,2000,2,4263740.592590554,2720057.8370523425,358195.8408332108,69.0,45.0,27.0,13.168684722578492
IDN,Indonesia,2000,2,213526877.39401463,180030072.89340982,7338187.46103536,502.0,146.0,130.0,4.0760898127170515
IND,India,2000,2,1059684926.9163172,822859476.2097697,44893871.16081913,676.0,147.0,132.0,5.455836927054412
KAZ,Kazakhstan,2000,2,15240512.461610302,10528606.519716373,1282966.428674365,174.0,92.0,82.0,12.185529265167434
KGZ,Kyrgyz Republic,2000,2,4820137.18118251,3590970.325132159,130943.25681218706,44.0,12.0,10.0,3.646458894292532
KHM,Cambodia,2000,2,12120296.642099986,7761422.905971093,914741.9818522556,202.0,97.0,52.0,11.78575105279365
LAO,Lao PDR,2000,2,5436675.926632744,1287057.0097814812,640460.2024111948,142.0,130.0,53.0,49.7616032191094
LKA,Sri Lanka,2000,2,18743650.11173035,14991686.856967764,603439.4254175504,323.0,93.0,60.0,4.025160284995459
MMR,Myanmar,2000,2,45518424.23228306,31652906.80642123,3807746.275531624,63.0,17.0,17.0,12.029689086119477
MNG,Mongolia,2000,2,2450903.435941073,1430424.9360626878,4014.195808083291,327.0,285.0,5.0,0.28062960221684574
MYS,Malaysia,2000,2,22928845.550464045,17656807.911111455,875243.1637796547,144.0,57.0,42.0,4.956972790245188
NPL,Nepal,2000,2,24560751.41079012,16337836.440756708,974443.074342465,14.0,3.0,3.0,5.96433363668398
PAK,Pakistan,2000,2,154359757.4604235,121251816.30657516,4201679.096537819,32.0,7.0,7.0,3.465250438735055
PHL,Philippines,2000,2,77316996.32759078,60407534.26569136,3024325.906134846,1647.0,551.0,357.0,5.006537583263883
PNG,Papua New Guinea,2000,2,5479874.626151911,1538039.2967002825,602950.6655458369,87.0,72.0,39.0,39.20255268115778
SLB,Solomon Islands,2000,2,421501.2488760739,65421.285073475665,3437.5177345464444,183.0,169.0,4.0,5.254433218004988
THA,Thailand,2000,2,63045319.9435657,33461730.00280898,7713003.693834308,928.0,609.0,467.0,23.050223922035205
TJK,Tajikistan,2000,2,6273918.446134316,4823232.250781072,236695.8903475465,59.0,18.0,13.0,4.907412250554927
TKM,Turkmenistan,2000,2,4560606.948356038,3146083.586522909,300614.1841950308,58.0,27.0,16.0,9.555187455374424
TLS,Timor-Leste,2000,2,878145.893198852,280473.2235199217,90305.8051077993,62.0,56.0,13.0,32.19765650869163
TON,Tonga,2000,2,102035.79179204543,61549.572622398424,10405.73015223583,11.0,8.0,2.0,16.90625898586515
TWN,"Taipei,China",2000,2,22181081.103908625,20968844.73854919,6715.50863452256,22.0,1.0,1.0,0.03202612598955796
UZB,Uzbekistan,2000,2,25035985.146802206,20754970.772640668,386001.0075726121,161.0,27.0,21.0,1.8598002945946859
VNM,Viet Nam,2000,2,78951209.251717,66389190.37134072,1829988.5198986514,710.0,130.0,102.0,2.7564555459447684
VUT,Vanuatu,2000,2,190470.78202996432,44431.03973285789,775.1294953459877,63.0,57.0,2.0,1.7445675365835736
WSM,Samoa,2000,2,182839.68167892727,100913.1837563192,4290.828117617412,43.0,28.0,4.0,4.251999548422453
AFG,Afghanistan,2005,2,24412584.16098784,18468662.789242815,989092.9059907132,328.0,109.0,71.0,5.35551987319199
AZE,Azerbaijan,2005,2,8607301.956394877,6550509.341008021,501717.05747370765,79.0,23.0,20.0,7.659206809046413
BGD,Bangladesh,2005,2,140673783.21720397,135758452.36632478,161512.87193355162,64.0,1.0,1.0,0.11897076691603128
BRN,Brunei Darussalam,2005,2,366016.3362549412,282337.92372591875,0.0,39.0,18.0,0.0,0.0
BTN,Bhutan,2005,2,697368.1413840944,221956.01967985867,12829.33208624529,205.0,190.0,10.0,5.780123514897165
CHN,China,2005,2,1311715463.9035082,1079580207.1898508,8384955.101952642,368.0,21.0,17.0,0.7766866274603806
FJI,Fiji,2005,2,868749.7464273776,444795.7754008455,61517.7087580995,15.0,13.0,5.0,13.83055149358385
FSM,Micronesia,2005,2,106553.94859304956,34993.08265799824,1600.55262145866,74.0,70.0,2.0,4.573911470165455
GEO,Georgia,2005,2,3959743.649065241,2529227.661764607,355062.0523023703,69.0,47.0,27.0,14.038358731797535
IDN,Indonesia,2005,2,228196692.35001928,193313276.28485495,7170929.869671555,502.0,131.0,121.0,3.709486491297628
IND,India,2005,2,1154699294.0994124,914379402.8569863,40428944.84541082,676.0,134.0,120.0,4.4214627668876
KAZ,Kazakhstan,2005,2,15660769.78645406,11161549.950371945,1188210.9481425036,174.0,92.0,79.0,10.645573002187819
KGZ,Kyrgyz Republic,2005,2,5075269.68483501,3796283.251948277,134865.34643126008,44.0,12.0,10.0,3.5525627957831207
KHM,Cambodia,2005,2,13248467.857163385,8606448.10747318,926684.6803019302,202.0,91.0,53.0,10.767330131198586
LAO,Lao PDR,2005,2,5858636.45746164,1471858.256317456,586107.9645323544,142.0,126.0,51.0,39.82095164508425
LKA,Sri Lanka,2005,2,19640077.779718775,15881397.310371188,620044.2224799128,323.0,88.0,59.0,3.904217055730978
MMR,Myanmar,2005,2,47702140.86594603,33020522.205930848,3882086.7035233844,63.0,15.0,15.0,11.7565878556158
MNG,Mongolia,2005,2,2559166.588471637,1559560.9701901153,4414.600545647091,327.0,289.0,5.0,0.28306687779631584
MYS,Malaysia,2005,2,25902377.83355226,20365430.174006887,918092.68380963,144.0,54.0,42.0,4.508093744965053
NPL,Nepal,2005,2,26286622.077564698,18134080.611789282,897772.2985570888,14.0,2.0,2.0,4.950746154582722
PAK,Pakistan,2005,2,174359596.07606742,141462608.5948977,1999790.3612190268,32.0,5.0,5.0,1.413652965318749
PHL,Philippines,2005,2,85600105.10198244,68353472.00080599,2973068.4895285456,1647.0,469.0,323.0,4.349550070395091
PNG,Papua New Guinea,2005,2,6465956.308070111,2086588.4861140936,645778.0624760176,87.0,66.0,38.0,30.94899002719345
SLB,Solomon Islands,2005,2,473148.03341510333,78727.87746250036,6686.656591014003,183.0,169.0,4.0,8.49337846584139
THA,Thailand,2005,2,65798301.04877895,36427397.37761989,7443886.794908635,928.0,601.0,463.0,20.43485763680163
TJK,Tajikistan,2005,2,6930383.611838761,5481746.357158296,195687.56280217596,59.0,16.0,11.0,3.5698033081490332
TKM,Turkmenistan,2005,2,4877256.665658116,3437973.333761336,297058.89566336304,58.0,26.0,15.0,8.640523553403014
