adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,area_sqkm,buildings_all,buildings_p85,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,registry_clinical,osm_health,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio,registry_gap_share,underobserved_buildings_adm3_p85_proxy
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Tanza,PH0402120,74.54,108131,30217,7726,7330547.3,3834136.8,1813230.5,405.38,95,30,81,6,3,2,1,75,0.0741,0.9259,27978
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Cabuyao City,PH0403404,47.3692,92915,35484,13305,7900281.9,5201168.1,3452289.5,749.09,61,22,42,9,6,3,0,33,0.2143,0.7857,27880
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Pagadian City (Capital),PH0907322,274.7218,70553,40746,18834,4579599.4,3479271.9,2170753.3,148.32,67,23,52,17,8,8,1,35,0.3269,0.6731,27426
Region IV-A (Calabarzon),PH04,Batangas,PH04010,City of Tanauan,PH0401031,112.0781,74378,31015,16410,6161138.4,4298485.4,3067365.7,276.73,88,19,69,8,5,1,2,61,0.1159,0.8841,27420
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of Santa Rosa,PH0403428,56.1715,112017,41173,13905,9615480.4,6183873.4,3600105.2,732.99,108,26,56,19,11,7,1,37,0.3393,0.6607,27203
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Cotabato City,PH1908703,86.1073,62557,37708,17431,4813099.6,3784839.6,2367977.3,437.92,79,15,60,18,9,2,7,42,0.3,0.7,26396
Region IV-A (Calabarzon),PH04,Batangas,PH04010,City of Sto. Tomas,PH0401028,89.0136,67603,29648,15496,5632114.6,3964758.7,2855778.8,333.07,78,13,47,6,3,2,1,41,0.1277,0.8723,25862
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Cainta,PH0405805,20.9737,87477,36624,16072,7681533.6,5372650.2,3263211.6,1746.18,93,25,64,19,6,10,3,45,0.2969,0.7031,25750
National Capital Region (NCR),PH13,Metropolitan Manila Third District,PH13075,City of Valenzuela,PH1307504,46.5528,145730,47379,17370,17258419.3,12737971.2,9440313.5,1017.75,151,73,94,43,11,14,18,51,0.4574,0.5426,25708
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Marawi City (Capital),PH1903617,55.6196,47944,29932,15391,3724537.2,2937603.0,1902291.4,538.16,53,20,49,7,3,1,3,42,0.1429,0.8571,25655
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,City of Tacurong,PH1206511,146.5571,56004,29928,14075,3910460.4,2961568.0,1895651.3,204.21,57,18,46,7,4,3,0,39,0.1522,0.8478,25373
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,City of Kidapawan (Capital),PH1204704,290.3532,59204,30359,12947,4407163.8,3087576.8,1774324.3,104.56,75,16,58,10,7,2,1,48,0.1724,0.8276,25125
Region III (Central Luzon),PH03,Bulacan,PH03014,San Miguel,PH0301421,231.9404,87668,28701,11353,6524517.7,3932620.0,2328898.4,123.74,64,8,53,7,6,1,0,46,0.1321,0.8679,24910
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Binangonan,PH0405804,53.9692,91345,28023,7873,5250148.8,2646506.0,1120987.1,519.24,77,19,62,8,4,4,0,54,0.129,0.871,24408
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,City of Ozamiz,PH1004210,149.6647,58164,32832,15317,4031249.2,3172439.4,2133605.8,219.37,58,16,46,12,5,2,5,34,0.2609,0.7391,24266
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Isulan (Capital),PH1206504,523.1353,49329,28781,14200,3380255.5,2661507.9,1731208.0,55.02,45,12,36,6,5,0,1,30,0.1667,0.8333,23983
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Manolo Fortich,PH1001314,436.533,57150,28931,12593,4665856.0,3592475.5,2472184.3,66.27,30,6,28,5,2,3,0,23,0.1786,0.8214,23764
Region II (Cagayan Valley),PH02,Isabela,PH02031,Ilagan City (Capital),PH0203114,962.4329,83338,24361,7194,5202288.5,2660190.0,1260851.3,25.31,120,10,107,3,2,1,0,104,0.028,0.972,23679
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Santo Tomas,PH1102318,239.6141,46331,24522,10508,3300591.8,2383488.9,1344551.4,102.34,37,10,29,2,1,1,0,27,0.069,0.931,22830
Region III (Central Luzon),PH03,Pampanga,PH03054,Mabalacat City,PH0305409,97.548,95257,32838,10964,8021949.0,4718709.4,2357358.4,336.63,87,25,59,18,4,7,7,41,0.3051,0.6949,22819
Region I (Ilocos Region),PH01,Pangasinan,PH01055,San Carlos City,PH0105532,147.8268,97590,27853,9354,5713229.3,2918434.1,1394704.4,188.42,109,15,99,18,6,4,8,81,0.1818,0.8182,22789
Region III (Central Luzon),PH03,Tarlac,PH03069,Concepcion,PH0306905,213.0981,88183,30803,12655,7498973.0,4790756.0,2938046.5,144.55,43,10,30,8,4,3,1,22,0.2667,0.7333,22588
Region II (Cagayan Valley),PH02,Isabela,PH02031,City of Cauayan,PH0203108,336.6831,82936,25095,8624,6297521.4,3642314.1,2064108.2,74.54,115,17,88,10,7,2,1,78,0.1136,0.8864,22244
Region IX (Zamboanga Peninsula),PH09,City of Isabela (not a province),PH09097,City of Isabela,PH0909701,219.8697,38488,24638,12030,2323475.7,1881773.6,1188495.1,112.06,42,12,39,4,4,0,0,35,0.1026,0.8974,22110
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Island Garden City of Samal,PH1102317,279.3763,61250,28238,12328,3480410.1,2324778.6,1385783.1,101.08,59,9,55,12,1,9,2,43,0.2182,0.7818,22076
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Malasiqui,PH0105524,137.9317,77764,23688,8780,4674903.7,2624997.2,1435500.8,171.74,100,9,89,7,2,4,1,82,0.0787,0.9213,21824
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Sariaya,PH0405645,213.8172,74173,27521,14108,4624387.4,2867631.8,1934718.6,128.71,47,14,42,9,1,6,2,33,0.2143,0.7857,21623
National Capital Region (NCR),PH13,Metropolitan Manila Fourth District,PH13076,Taguig City,PH1307607,35.5206,163859,42721,12039,10935067.5,5956617.5,3519667.3,1202.71,202,106,128,64,11,30,23,64,0.5,0.5,21360
Region IV-A (Calabarzon),PH04,Batangas,PH04010,San Juan,PH0401023,237.5642,64074,23822,12016,4138227.5,2585612.2,1731284.1,100.28,61,9,53,6,4,1,1,47,0.1132,0.8868,21125
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Candelaria,PH0405608,136.754,63056,23547,12587,4085626.3,2660296.3,1883894.9,172.19,54,15,44,5,3,2,0,39,0.1136,0.8864,20872
Region I (Ilocos Region),PH01,Pangasinan,PH01055,City of Urdaneta,PH0105546,95.546,72931,25918,10137,5120720.6,3188523.4,1809325.7,271.26,77,18,51,10,3,4,3,41,0.1961,0.8039,20835
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Alabel (Capital),PH1208001,494.0094,42610,21816,9309,2273627.8,1635530.7,987392.3,44.16,24,6,19,1,0,1,0,18,0.0526,0.9474,20668
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Bayambang,PH0105511,136.7589,70975,21313,7748,3881230.2,2103701.1,1083069.3,155.84,99,12,91,3,2,1,0,88,0.033,0.967,20610
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Datu Odin Sinsuat (Dinaig),PH1908707,388.0028,32360,20515,9632,2065791.8,1647951.6,999595.6,52.87,49,9,49,0,0,0,0,49,0.0,1.0,20515
Region VII (Central Visayas),PH07,Cebu,PH07022,Liloan,PH0702227,53.0202,63039,25155,12633,3921428.5,2605797.5,1776963.4,474.44,30,11,27,5,1,4,0,22,0.1852,0.8148,20496
Region III (Central Luzon),PH03,Pampanga,PH03054,Floridablanca,PH0305406,134.8684,62607,24020,9554,5001238.9,3203339.8,1703550.5,178.1,40,9,27,4,2,2,0,23,0.1481,0.8519,20463
Region XI (Davao Region),PH11,Davao del Sur,PH11024,City of Digos (Capital),PH1102403,265.631,80639,34578,13088,6199023.8,3942484.9,2195489.8,130.17,72,18,56,23,6,14,3,33,0.4107,0.5893,20377
Mimaropa Region,PH17,Oriental Mindoro,PH17052,City of Calapan (Capital),PH1705205,185.4191,64013,25814,12344,4995312.2,3198097.2,2019689.1,139.22,94,12,79,17,8,3,6,62,0.2152,0.7848,20259
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Imus City,PH0402109,50.3776,127825,47395,14326,10389852.4,6100294.1,2977794.1,940.79,185,44,148,85,9,65,11,63,0.5743,0.4257,20176
Region III (Central Luzon),PH03,Bulacan,PH03014,San Ildefonso,PH0301419,166.5758,64428,22859,9426,5695275.5,3692419.2,2328439.8,137.23,45,6,39,5,1,0,4,34,0.1282,0.8718,19928
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Trece Martires City (Capital),PH0402122,46.1538,69499,25883,9864,4832905.0,2923677.4,1669697.3,560.8,54,19,39,9,6,2,1,30,0.2308,0.7692,19909
Region VII (Central Visayas),PH07,Cebu,PH07022,Mandaue City,PH0702230,31.1258,103502,37545,18539,9952713.8,7210441.2,5607248.6,1206.23,93,17,51,24,10,7,7,27,0.4706,0.5294,19876
Region VII (Central Visayas),PH07,Cebu,PH07022,City of Talisay,PH0702250,42.1108,83559,24619,11098,4939708.8,2743276.2,1757644.7,584.62,44,9,36,7,1,1,5,29,0.1944,0.8056,19833
Region III (Central Luzon),PH03,Bulacan,PH03014,City of Malolos (Capital),PH0301410,70.8379,91984,37444,13835,7358961.4,4708111.1,2454455.9,528.59,132,31,85,40,23,6,11,45,0.4706,0.5294,19823
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Sindangan,PH0907218,444.83,35853,20804,9057,2027718.6,1570322.3,974382.8,46.77,66,6,61,3,1,1,1,58,0.0492,0.9508,19780
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Batangas City (Capital),PH0401005,274.3699,149000,67540,38112,11434992.4,8074427.9,5746556.1,246.16,159,44,123,87,12,34,41,36,0.7073,0.2927,19769
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of San Pedro,PH0403425,24.0592,90857,27421,7521,7023193.2,3962712.2,1862746.7,1139.73,67,17,50,14,6,5,3,36,0.28,0.72,19743
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,M'lang,PH1204710,360.3446,37972,21043,9729,2783878.5,2051648.5,1249437.6,58.4,50,9,47,3,3,0,0,44,0.0638,0.9362,19700
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Rosario,PH0401021,199.0243,73718,28125,14010,6100175.7,4079494.1,2865807.4,141.31,59,15,53,16,7,8,1,37,0.3019,0.6981,19634
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Malungon,PH1208007,768.7379,43423,20106,6883,2208756.2,1410520.9,723528.7,26.15,36,3,34,1,1,0,0,33,0.0294,0.9706,19515
National Capital Region (NCR),PH13,Metropolitan Manila Fourth District,PH13076,City of Parañaque,PH1307604,44.8282,153986,61203,28651,16683599.4,12133992.1,8059163.2,1365.28,146,41,66,45,13,20,12,21,0.6818,0.3182,19475
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Carmen,PH1102303,145.7309,40711,20999,9549,2662029.0,1961742.9,1260047.2,144.09,30,7,27,2,2,0,0,25,0.0741,0.9259,19443
Mimaropa Region,PH17,Palawan,PH17053,Aborlan,PH1705301,771.1213,24382,22198,22010,1433633.9,1367065.3,1348648.4,28.79,23,3,23,3,2,0,1,20,0.1304,0.8696,19303
Mimaropa Region,PH17,Occidental Mindoro,PH17051,San Jose,PH1705110,610.717,65006,21779,9632,4543080.1,2592326.8,1541472.7,35.66,57,12,48,6,3,2,1,42,0.125,0.875,19057
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Matalam,PH1204708,419.3973,35822,19513,8473,2346913.3,1725773.2,1000853.8,46.53,39,4,38,1,0,0,1,37,0.0263,0.9737,19000
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Midsayap,PH1204709,195.5303,41693,23057,10357,3105360.6,2307411.2,1377096.4,117.92,67,12,55,10,5,3,2,45,0.1818,0.8182,18865
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Surallah,PH1206313,264.0435,46193,22099,9062,2985914.4,2051319.2,1189539.0,83.69,38,9,34,5,3,1,1,29,0.1471,0.8529,18848
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Bagumbayan,PH1206501,557.7653,35861,18739,7640,2027643.4,1437998.0,807495.0,33.6,25,4,23,0,0,0,0,23,0.0,1.0,18739
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Surigao City (Capital),PH1606724,282.2856,59401,24126,12370,3824918.0,2375644.6,1591040.6,85.47,86,18,71,16,5,3,8,55,0.2254,0.7746,18688
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Sultan Kudarat (Nuling),PH1908712,183.9887,30481,18945,8902,1962458.4,1550080.9,968515.0,102.97,42,8,42,2,1,0,1,40,0.0476,0.9524,18043
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Naga City,PH0501724,79.7994,75933,27037,12973,5411534.9,3382952.9,2257481.6,338.81,97,28,68,23,8,9,6,45,0.3382,0.6618,17893
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Bago City,PH0604502,406.8669,58070,18319,8644,3443141.1,1918335.8,1247785.9,45.02,46,4,42,2,1,0,1,40,0.0476,0.9524,17447
National Capital Region (NCR),PH13,Metropolitan Manila Second District,PH13074,City of Pasig,PH1307403,31.3042,132908,44377,16157,12727920.8,8566677.2,5704685.2,1417.6,229,93,131,80,16,30,34,51,0.6107,0.3893,17276
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Ormoc City,PH0803738,540.8456,87354,38127,20381,5651910.6,3864318.0,2782023.3,70.5,71,19,53,29,7,5,17,24,0.5472,0.4528,17264
Region IV-A (Calabarzon),PH04,Laguna,PH04034,San Pablo City,PH0403424,186.337,92529,34766,17271,6827974.0,4180374.1,2741712.2,186.58,131,27,114,58,7,23,28,56,0.5088,0.4912,17077
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Makilala,PH1204707,343.8747,39669,17746,6963,2399380.2,1548664.5,846557.0,51.61,44,6,44,2,2,0,0,42,0.0455,0.9545,16939
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Laak (San Vicente),PH1108202,708.5529,32450,18055,8233,1767967.4,1264568.7,727093.5,25.48,50,4,48,3,1,1,1,45,0.0625,0.9375,16927
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,San Jose City,PH0304926,191.9471,68917,17597,5538,5109748.5,2667486.2,1465340.8,91.68,66,15,52,2,2,0,0,50,0.0385,0.9615,16920
Cordillera Administrative Region (CAR),PH14,Kalinga,PH14032,City of Tabuk (Capital),PH1403213,689.8422,63910,18652,5656,3941456.2,1920389.5,832518.1,27.04,83,19,61,6,3,1,2,55,0.0984,0.9016,16817
National Capital Region (NCR),PH13,Metropolitan Manila First District,PH13039,City of Manila,PH1303901,41.9601,185176,47189,14679,16674140.3,9612258.8,5520396.1,1124.62,444,190,236,152,41,63,48,84,0.6441,0.3559,16795
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Tuguegarao City (Capital),PH0201529,119.5978,80487,26133,8849,6387946.7,3623245.0,1848244.8,218.51,101,16,64,23,11,10,2,41,0.3594,0.6406,16741
Region VII (Central Visayas),PH07,Cebu,PH07022,Toledo City,PH0702251,232.3601,62763,18256,7370,3779994.4,1972841.1,1205055.4,78.57,61,7,47,4,2,0,2,43,0.0851,0.9149,16702
Region V (Bicol Region),PH05,Sorsogon,PH05062,City of Sorsogon (Capital),PH0506216,281.4838,62278,18783,7738,3880794.9,2014448.0,1180214.5,66.73,99,15,86,10,6,4,0,76,0.1163,0.8837,16599
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Taytay,PH0405813,28.5067,89811,26380,8340,6324596.8,3636436.9,2054964.0,925.4,110,37,82,31,4,21,6,51,0.378,0.622,16408
Region II (Cagayan Valley),PH02,Isabela,PH02031,City of Santiago,PH0203135,151.8165,76003,20184,5892,5476215.4,2718024.4,1264790.4,132.95,81,16,62,12,9,1,2,50,0.1935,0.8065,16278
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Esperanza,PH1206503,223.1798,30377,16893,7867,1887162.4,1441995.5,896666.9,75.69,29,7,27,1,1,0,0,26,0.037,0.963,16268
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Alamada,PH1204701,564.0269,28872,16258,6821,1683547.8,1225906.6,681656.2,28.82,21,2,19,0,0,0,0,19,0.0,1.0,16258
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Ipil (Capital),PH0908305,158.1729,34321,19818,8989,2303031.2,1757704.8,1096548.4,125.29,37,9,27,5,3,0,2,22,0.1852,0.8148,16148
Region IV-A (Calabarzon),PH04,Batangas,PH04010,San Jose,PH0401022,58.2357,43669,18966,10597,4727723.4,3601353.0,2762282.5,325.68,39,4,33,5,2,2,1,28,0.1515,0.8485,16093
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Basilan,PH19007,City of Lamitan,PH1900702,248.625,28071,17881,8657,1710192.7,1361255.5,851412.9,71.92,52,13,50,5,2,1,2,45,0.1,0.9,16093
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Banga,PH1206302,203.1904,42010,18762,7513,2856380.2,1900224.6,1129590.5,92.34,30,6,28,4,2,2,0,24,0.1429,0.8571,16081
Region III (Central Luzon),PH03,Bulacan,PH03014,Marilao,PH0301411,28.343,71703,22566,6929,6785130.6,4419490.4,2838144.1,796.18,60,17,38,11,2,6,3,27,0.2895,0.7105,16033
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Dapitan City,PH0907201,220.2588,30478,17228,7960,1992744.9,1515368.9,958496.1,78.22,48,5,43,3,2,0,1,40,0.0698,0.9302,16025
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Tacloban City (Capital),PH0803747,105.9833,89521,34722,17105,6483926.8,4149422.5,2824727.0,327.62,93,28,63,34,13,12,9,29,0.5397,0.4603,15983
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Naujan,PH1705208,574.742,43503,16105,7442,2888967.4,1658427.3,966899.5,28.02,72,4,72,1,0,0,1,71,0.0139,0.9861,15881
Region VII (Central Visayas),PH07,Cebu,PH07022,Danao City,PH0702223,168.4806,50662,17050,7240,2876060.8,1655411.8,1018585.3,101.2,48,6,43,3,1,0,2,40,0.0698,0.9302,15860
Region III (Central Luzon),PH03,Bulacan,PH03014,San Rafael,PH0301422,101.6564,53405,18614,7132,4357893.2,2705500.8,1571308.5,183.11,38,7,32,5,1,1,3,27,0.1562,0.8438,15706
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Lambayong (Mariano Marcos),PH1206508,188.8786,29016,15635,7177,1725861.2,1278633.5,764061.6,82.78,36,8,35,0,0,0,0,35,0.0,1.0,15635
Region VII (Central Visayas),PH07,Cebu,PH07022,Consolacion,PH0702219,37.9443,52556,20550,9892,3516652.8,2314589.7,1573193.3,541.58,37,8,29,7,2,2,3,22,0.2414,0.7586,15589
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,City of Cabadbaran,PH1600203,335.2,37080,17356,9823,2335505.0,1600872.2,1122708.5,51.78,43,7,38,4,2,1,1,34,0.1053,0.8947,15528
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,City of Bayugan,PH1600301,476.3314,42924,16540,7985,2752241.9,1654175.4,1045190.4,34.72,54,7,49,3,3,0,0,46,0.0612,0.9388,15528
