iso3,year,outcome_indicator,outcome_label,outcome_value,tasmax,tr,txx,tasmax_anomaly,txx_anomaly,tr_anomaly,herfindahl_generation,herfindahl_capacity,generation_coverage,top_fuel_generation
BRN,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.54,26.63,365.0,28.74,0.3013333333333321,0.16266666666666296,-0.25600000000002865,1.0,1.0,1.0,Gas
BRN,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.52,26.72,365.0,29.09,0.391333333333332,0.5126666666666644,-0.25600000000002865,1.0,1.0,1.0,Gas
BRN,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.37,26.94,365.0,29.0,0.6113333333333344,0.4226666666666645,-0.25600000000002865,1.0,1.0,1.0,Gas
BTN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.24,9.81,44.71,17.73,0.21899999999999942,0.03166666666666629,1.9996666666666698,1.0,1.0,1.0,Hydro
BTN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.08,9.67,44.63,18.0,0.07899999999999885,0.30166666666666586,1.9196666666666715,1.0,1.0,1.0,Hydro
BTN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.61,10.4,47.1,17.97,0.8089999999999993,0.2716666666666647,4.38966666666667,1.0,1.0,1.0,Hydro
BTN,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,10.96,10.31,47.6,18.35,0.7189999999999994,0.6516666666666673,4.88966666666667,1.0,1.0,1.0,Hydro
BTN,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,5.39,9.78,44.05,18.12,0.18899999999999828,0.42166666666666686,1.3396666666666661,1.0,1.0,1.0,Hydro
BTN,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,7.08,9.82,46.02,18.21,0.2289999999999992,0.5116666666666667,3.309666666666672,1.0,1.0,1.0,Hydro
CHN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.24,7.35,78.82,24.32,0.14499999999999957,-0.01699999999999946,-0.7050000000000125,0.5905,0.4948,1.0,Coal
CHN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.35,7.35,78.82,24.32,0.14499999999999957,-0.01699999999999946,-0.7050000000000125,0.5905,0.4948,1.0,Coal
CHN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.3005,7.35,78.82,24.32,0.14499999999999957,-0.01699999999999946,-0.7050000000000125,0.5905,0.4948,1.0,Coal
CHN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.24,7.69,81.84,24.73,0.4850000000000003,0.3930000000000007,2.3149999999999977,0.5905,0.4948,1.0,Coal
CHN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.35,7.69,81.84,24.73,0.4850000000000003,0.3930000000000007,2.3149999999999977,0.5905,0.4948,1.0,Coal
CHN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.3005,7.69,81.84,24.73,0.4850000000000003,0.3930000000000007,2.3149999999999977,0.5905,0.4948,1.0,Coal
CHN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.24,7.77,83.52,24.96,0.5649999999999995,0.6230000000000011,3.9949999999999903,0.5905,0.4948,1.0,Coal
CHN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.83,7.77,83.52,24.96,0.5649999999999995,0.6230000000000011,3.9949999999999903,0.5905,0.4948,1.0,Coal
CHN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.5645,7.77,83.52,24.96,0.5649999999999995,0.6230000000000011,3.9949999999999903,0.5905,0.4948,1.0,Coal
CHN,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.22,7.8,83.15,25.26,0.5949999999999998,0.9230000000000018,3.625,0.5905,0.4948,1.0,Coal
CHN,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.49,7.8,83.15,25.26,0.5949999999999998,0.9230000000000018,3.625,0.5905,0.4948,1.0,Coal
CHN,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.3685,7.8,83.15,25.26,0.5949999999999998,0.9230000000000018,3.625,0.5905,0.4948,1.0,Coal
CHN,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.78,7.46,82.5,24.84,0.2549999999999999,0.5030000000000001,2.9749999999999943,0.5905,0.4948,1.0,Coal
CHN,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.99,7.46,82.5,24.84,0.2549999999999999,0.5030000000000001,2.9749999999999943,0.5905,0.4948,1.0,Coal
CHN,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.8955,7.46,82.5,24.84,0.2549999999999999,0.5030000000000001,2.9749999999999943,0.5905,0.4948,1.0,Coal
CHN,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.83,7.6,82.76,24.5,0.3949999999999996,0.16300000000000026,3.2349999999999994,0.5905,0.4948,1.0,Coal
CHN,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.95,7.6,82.76,24.5,0.3949999999999996,0.16300000000000026,3.2349999999999994,0.5905,0.4948,1.0,Coal
CHN,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.896,7.6,82.76,24.5,0.3949999999999996,0.16300000000000026,3.2349999999999994,0.5905,0.4948,1.0,Coal
FJI,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,10.37,24.26,353.22,27.54,-0.09099999999999753,0.23166666666666558,-2.7916666666666288,,,,
FJI,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,8.52,24.05,347.1,27.8,-0.3009999999999984,0.49166666666666714,-8.911666666666633,,,,
FJI,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,8.17,24.73,360.07,28.32,0.37900000000000134,1.0116666666666667,4.058333333333337,,,,
FJI,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,6.87,24.83,360.91,27.66,0.4789999999999992,0.35166666666666657,4.898333333333369,,,,
FJI,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,7.5,24.66,359.5,27.73,0.30900000000000105,0.42166666666666686,3.488333333333344,,,,
FJI,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,5.0,24.76,362.03,27.57,0.4090000000000025,0.2616666666666667,6.018333333333317,,,,
GEO,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,4.06,9.08,51.09,24.44,1.0203333333333333,0.7773333333333348,9.402666666666676,0.5074,0.5604,1.0,Hydro
GEO,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,3.55,9.05,54.87,25.11,0.990333333333334,1.447333333333333,13.18266666666667,0.5074,0.5604,1.0,Hydro
GEO,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,11.4,8.34,45.18,23.64,0.2803333333333331,-0.022666666666665947,3.492666666666672,0.5074,0.5604,1.0,Hydro
GEO,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,11.4,8.56,52.81,25.14,0.5003333333333337,1.477333333333334,11.122666666666674,0.5074,0.5604,1.0,Hydro
GEO,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,5.8,9.79,52.08,25.06,1.7303333333333324,1.3973333333333322,10.39266666666667,0.5074,0.5604,1.0,Hydro
GEO,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,4.69,9.12,47.82,23.77,1.0603333333333325,0.10733333333333306,6.1326666666666725,0.5074,0.5604,1.0,Hydro
HKG,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.48,23.11,252.91,30.93,-0.06599999999999895,0.013000000000001677,-7.065666666666658,,,,
HKG,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.43,23.72,262.28,32.3,0.5440000000000005,1.3829999999999991,2.304333333333318,,,,
HKG,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.39,23.2,253.9,31.28,0.02400000000000091,0.3630000000000031,-6.075666666666649,,,,
HKG,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.35,23.52,252.21,31.74,0.3440000000000012,0.8230000000000004,-7.765666666666647,,,,
HKG,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.34,23.32,270.61,31.0,0.1440000000000019,0.08300000000000196,10.634333333333359,,,,
HKG,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.46,24.01,282.95,31.37,0.8340000000000032,0.45300000000000296,22.974333333333334,,,,
IDN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,4.01,25.37,351.04,27.67,0.2190000000000012,0.32533333333333303,1.2456666666666933,0.5465,0.4408,0.972,Coal
IDN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,2.5,25.37,351.04,27.67,0.2190000000000012,0.32533333333333303,1.2456666666666933,0.5465,0.4408,0.972,Coal
IDN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,3.6778,25.37,351.04,27.67,0.2190000000000012,0.32533333333333303,1.2456666666666933,0.5465,0.4408,0.972,Coal
IDN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,3.87,25.48,351.96,27.83,0.3290000000000006,0.4853333333333296,2.1656666666666524,0.5465,0.4408,0.972,Coal
IDN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,2.41,25.48,351.96,27.83,0.3290000000000006,0.4853333333333296,2.1656666666666524,0.5465,0.4408,0.972,Coal
IDN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,3.5488,25.48,351.96,27.83,0.3290000000000006,0.4853333333333296,2.1656666666666524,0.5465,0.4408,0.972,Coal
IDN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,2.61,25.79,354.51,27.84,0.6389999999999993,0.4953333333333312,4.715666666666664,0.5465,0.4408,0.972,Coal
IDN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,2.34,25.79,354.51,27.84,0.6389999999999993,0.4953333333333312,4.715666666666664,0.5465,0.4408,0.972,Coal
IDN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,2.5506,25.79,354.51,27.84,0.6389999999999993,0.4953333333333312,4.715666666666664,0.5465,0.4408,0.972,Coal
IDN,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,4.17,25.46,352.07,27.6,0.30900000000000105,0.25533333333333275,2.275666666666666,0.5465,0.4408,0.972,Coal
IDN,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,5.66,25.46,352.07,27.6,0.30900000000000105,0.25533333333333275,2.275666666666666,0.5465,0.4408,0.972,Coal
