GID_2,GID_0GHSL,country,window_years,start_year,end_year,DEGURBA_L1_start,DEGURBA_L1_end,transition,Tot_Pop_start,Tot_Pop_end,urban_cell_pop_start,urban_cell_pop_end,embedded_start,embedded_end,embedded_change
AFG.3.3_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,12817.2519283965,21711.6823795885,2737.23773195222,8294.70053729042,2737.23773195222,8294.70053729042,5557.4628053382
AFG.3.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,57300.8040342126,73498.2560082152,50714.2470464334,70592.8315568566,0.0,0.0,0.0
AFG.3.5_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,10188.585609585,16153.1230184883,0.0,6632.18565876782,0.0,6632.18565876782,6632.18565876782
AFG.3.6_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,72039.0745867826,92627.9538590461,57725.7678634226,71418.4776669741,0.0,0.0,0.0
AFG.3.7_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,65360.3747194409,90620.0155923963,36800.3572868109,59188.9918211699,0.0,0.0,0.0
AFG.3.8_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,33985.9078386202,44311.8115807846,21069.7220492512,27842.7401527911,0.0,0.0,0.0
AFG.3.9_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,96989.7554941177,125578.638941169,68726.6190961599,105298.857470334,0.0,0.0,0.0
AFG.3.10_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,100715.623243958,130186.221130341,87513.3530083895,118470.6294373572,0.0,0.0,0.0
AFG.3.11_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,281245.161890078,361072.999019865,266553.063821971,347875.170549411,0.0,0.0,0.0
AFG.3.12_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,32128.4202114344,41670.9771758169,15631.158602953,25967.0774030685,15631.158602953,0.0,-15631.158602953
AFG.4.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,145946.364379604,177068.738186766,107171.302401284,138519.761415918,0.0,0.0,0.0
AFG.4.2_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,95954.6123552076,114582.544168086,47261.5370634757,70010.2100380058,47261.5370634757,0.0,-47261.5370634757
AFG.4.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,48369.9370465812,55869.2679554306,26844.5098600388,40054.524184823,0.0,0.0,0.0
AFG.4.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,66779.6858544606,81514.731093809,52217.8906856645,73043.6112734005,0.0,0.0,0.0
AFG.4.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,116491.436085375,141613.421974195,69975.9160564579,91770.8854303733,0.0,0.0,0.0
AFG.4.6_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,89300.6644781734,108607.133331388,72183.60416015027,93758.21277267238,0.0,0.0,0.0
AFG.4.7_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,21735.1411995003,26393.3502722969,11434.0809160704,14965.9029033436,0.0,0.0,0.0
AFG.4.8_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,94358.1115877107,107691.034315148,63516.7342901528,77407.8131721616,0.0,0.0,0.0
AFG.4.9_1,AFG,Afghanistan,10,2010,2020,2,3,remained_town_or_city,85236.2146085948,97134.5503681302,74011.6345902085,82975.1242853105,0.0,0.0,0.0
AFG.4.10_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,153.25082065491,202.761873839772,0.0,0.0,0.0,0.0,0.0
AFG.4.11_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,405073.812688337,610134.157017968,403853.5509757933,608788.172608562,0.0,0.0,0.0
AFG.4.12_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,58363.691039279,81959.8557117355,47079.7505774522,70709.4076686016,0.0,0.0,0.0
AFG.4.13_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,141016.725184426,177547.16368112,123426.609166771,163417.356331274,0.0,0.0,0.0
AFG.4.14_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,42638.077452533,51495.4375334047,22442.6205572225,34341.0725310277,0.0,0.0,0.0
AFG.5.1_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,89318.6387507915,123954.308947742,67056.91560721397,103296.6454059482,0.0,0.0,0.0
AFG.5.2_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,70941.5330200195,99986.5994262695,62382.9697875977,93624.2966918945,0.0,0.0,0.0
AFG.5.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,46654.0887804031,65346.6126711369,32499.7823061943,50915.1479263306,0.0,0.0,0.0
AFG.5.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,126203.819145203,175443.266822815,126203.819145203,175443.266822815,0.0,0.0,0.0
AFG.5.5_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,92613.7547061443,128362.357289016,42517.5218858719,81784.6520004272,42517.5218858719,0.0,-42517.5218858719
AFG.6.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,261142.062084556,353498.991683722,225165.550160646,328841.64318561536,0.0,0.0,0.0
AFG.6.2_1,AFG,Afghanistan,10,2010,2020,2,3,remained_town_or_city,72161.694062233,97573.0805979967,63978.9480366707,86510.41523075101,0.0,0.0,0.0
AFG.6.3_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,66551.4750976563,90165.7728434801,30695.4354516864,47676.5699541569,30695.4354516864,0.0,-30695.4354516864
AFG.6.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,93489.9792671204,124879.348675728,80131.0942201614,113600.2934155464,0.0,0.0,0.0
AFG.7.1_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,30088.2130869627,46011.7961680368,13201.2005006969,20125.3741268516,13201.2005006969,20125.3741268516,6924.173626154699
AFG.7.2_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,40560.6229735464,62610.1424213052,20136.7445138693,39791.6115279198,20136.7445138693,0.0,-20136.7445138693
AFG.7.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,69365.177529281,105324.824481819,52071.6939941496,82447.952449441,0.0,0.0,0.0
AFG.7.4_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,113966.368966909,175324.508395486,100846.5254300423,159724.35103327822,0.0,0.0,0.0
AFG.7.5_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,40124.2209752873,61445.9451883584,6432.68875741959,9532.63215065002,6432.68875741959,9532.63215065002,3099.943393230431
AFG.7.6_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,23505.2491671797,35987.9000391103,7612.66021794081,24919.9154522419,7612.66021794081,0.0,-7612.66021794081
AFG.7.7_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,29884.9838872887,45460.8355278447,10293.2039004564,15898.6295882463,10293.2039004564,15898.6295882463,5605.425687789901
AFG.7.8_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,54597.6682158709,83474.7160220146,36616.5520713329,66994.2398004532,0.0,0.0,0.0
AFG.7.9_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,55116.1077855639,83279.6649431959,30300.3235607538,66209.6938512102,0.0,0.0,0.0
AFG.7.10_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,34172.7357367091,52254.2077881843,0.0,13399.5390455723,0.0,13399.5390455723,13399.5390455723
AFG.7.11_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,22837.9476755783,34902.6252749637,9123.75845399499,19023.2885778993,9123.75845399499,0.0,-9123.75845399499
AFG.8.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,65010.4880117178,95868.018448472,56125.8200595677,89558.250720799,0.0,0.0,0.0
AFG.8.2_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,59736.7894773362,90230.8641777318,58443.59047501905,88617.1605350971,0.0,0.0,0.0
AFG.8.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,136696.390252262,201330.641540945,124971.720832556,185785.437821358,0.0,0.0,0.0
AFG.8.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,51634.8792254925,76075.6743924618,45675.2979027331,68131.842893213,0.0,0.0,0.0
AFG.8.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,24027.0456555132,35260.8700886145,16384.7143657357,25738.0662717354,0.0,0.0,0.0
AFG.8.6_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,209787.271995068,293243.220784799,194544.675533995,271906.3305022498,0.0,0.0,0.0
AFG.8.7_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,58188.5336074829,85700.3382081985,32854.8275823593,67028.8803062439,0.0,0.0,0.0
AFG.8.8_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,34385.6119890064,50658.7851820737,30231.2097717375,44555.1995338947,0.0,0.0,0.0
AFG.8.9_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,88461.7869377807,129197.623149334,82339.44070789962,120193.72826262812,0.0,0.0,0.0
AFG.8.10_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,54286.6572845438,77828.7640573699,50392.219928965904,73288.2178910412,0.0,0.0,0.0
AFG.8.11_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,151322.715993047,222887.667912543,125061.8014109135,206583.1598833796,0.0,0.0,0.0
AFG.8.12_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,109660.95564238,161468.086478144,101150.749331668,154923.6970235709,0.0,0.0,0.0
AFG.9.1_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,26397.8699513376,19922.4295699373,9829.95380049944,8057.25602793694,9829.95380049944,8057.25602793694,-1772.6977725624993
AFG.9.2_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,32753.9684877396,26874.8040771484,30387.3017711639,20009.4966049194,0.0,0.0,0.0
AFG.9.3_1,AFG,Afghanistan,10,2010,2020,2,1,town_or_city_to_rural,169135.500999002,137801.869371899,89610.908149302,58168.9556071982,0.0,58168.9556071982,58168.9556071982
AFG.9.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,46503.8542245328,36345.3737914935,30500.8553393185,19111.663006328,0.0,0.0,0.0
AFG.9.5_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,52923.6024465859,48996.0511033386,25811.8940979242,19073.1627700478,25811.8940979242,19073.1627700478,-6738.731327876401
AFG.9.6_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,189827.336091913,157326.334759778,174814.8264174704,147520.2979258484,0.0,0.0,0.0
AFG.9.7_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,31875.6088852435,27149.1640399024,11143.5579953492,6060.10762696713,11143.5579953492,6060.10762696713,-5083.450368382069
AFG.9.8_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,170477.178773239,174890.865924049,94390.7480196953,96848.800203681,0.0,0.0,0.0
AFG.9.9_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,205995.163869917,162023.030946776,172970.4223396181,128210.923689127,0.0,0.0,0.0
AFG.9.10_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,86302.4770736694,70865.7502317429,70772.4365024567,53823.8209810257,0.0,0.0,0.0
AFG.9.11_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,56498.6489801407,51843.0480893627,47015.9401897788,44750.9093856737,0.0,0.0,0.0
AFG.9.12_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,50848.115539901,51971.1852936968,0.0,5759.4837552309,0.0,5759.4837552309,5759.4837552309
AFG.9.13_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,116492.199994087,98248.630699873,83625.53363490105,72720.6733546257,0.0,0.0,0.0
AFG.9.14_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,181539.007924944,149244.354897611,136571.81972006,93340.1623786539,0.0,0.0,0.0
AFG.9.15_1,AFG,Afghanistan,10,2010,2020,2,1,town_or_city_to_rural,13760.9578980804,11287.4149150699,9063.76528654993,0.0,0.0,0.0,0.0
AFG.10.1_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,215129.44330278,316343.419173598,187165.16129466938,286513.768689454,0.0,0.0,0.0
AFG.10.2_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,113488.69768548,166703.573607683,104032.5912656784,152927.4547765256,0.0,0.0,0.0
AFG.10.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,99456.2764387131,146170.933021545,83920.6497268677,130122.8574638367,0.0,0.0,0.0
AFG.10.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,23251.09141922,33913.7729611397,18758.0667016506,27474.8842048645,0.0,0.0,0.0
AFG.10.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,112723.130682707,165916.857092381,81349.9077425003,133366.0457897186,0.0,0.0,0.0
AFG.10.6_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,95097.235656023,139923.791291475,69064.9990353584,113000.326190233,0.0,0.0,0.0
AFG.10.7_1,AFG,Afghanistan,10,2010,2020,2,3,remained_town_or_city,66201.8758223057,97448.0548627377,60331.4397127628,89620.4074323178,0.0,0.0,0.0
AFG.11.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,89174.9810967147,118366.643522758,59048.8355763555,82490.9134019613,0.0,0.0,0.0
AFG.11.2_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,17190.3747610301,22832.0267114043,0.0,6542.87700414658,0.0,6542.87700414658,6542.87700414658
AFG.11.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,100291.889809947,133440.174511112,60500.9192656092,98331.7237659469,0.0,0.0,0.0
AFG.11.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,74764.1064526141,99372.0605805404,46068.5761163235,65377.6637678444,0.0,0.0,0.0
AFG.11.5_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,119406.584953906,160988.864262123,114431.12692595799,155817.53182550182,0.0,0.0,0.0
AFG.11.6_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,59106.2349331342,79444.4999882281,38129.5452319048,55715.8595567346,0.0,0.0,0.0
AFG.11.7_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,99466.3900526837,129485.694810599,75540.5995080415,98273.9197868919,0.0,0.0,0.0
AFG.11.8_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,127511.143461406,169528.086000547,111586.0344259069,151480.1935878023,0.0,0.0,0.0
AFG.11.9_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,54332.2692706287,72157.3051883727,31911.6398055553,42353.7349219322,0.0,0.0,0.0
AFG.11.10_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,106417.0189192,141070.264310777,86073.0221056938,114114.78470182419,0.0,0.0,0.0
AFG.11.11_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,28060.510220021,36994.3034348339,6728.52585691214,20184.273453638,6728.52585691214,0.0,-6728.52585691214
AFG.11.12_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,75520.4695592932,99554.0394422486,54948.2464864738,73889.0529639423,0.0,0.0,0.0
AFG.11.13_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,31884.8101535365,42632.2229634225,28822.1743979678,39177.8707970269,0.0,0.0,0.0
AFG.12.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,59533.3881728053,94473.0051932894,34517.2961075008,59805.7883515954,0.0,0.0,0.0
AFG.12.2_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,24971.5689519048,39768.6458141804,13740.0803108811,34603.0001591444,0.0,0.0,0.0
AFG.12.3_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,31152.8115100861,49612.0211296082,28211.6119728088,44860.9024429321,0.0,0.0,0.0
AFG.12.4_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,93477.8527308106,148842.312166892,78542.5311842263,126539.7940443977,0.0,0.0,0.0
AFG.12.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,97238.3741290718,154795.558383532,49670.5625235438,107024.0725244284,0.0,0.0,0.0
AFG.12.6_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,151358.316593049,241837.104367428,115101.05072375012,202564.8068814424,0.0,0.0,0.0
AFG.12.7_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,291469.157159412,531244.134113127,291264.67965428665,530913.7781918512,0.0,0.0,0.0
AFG.12.8_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,449529.920023317,748224.748370105,418577.6987767015,706907.8165078519,0.0,0.0,0.0
AFG.12.9_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,67085.1614372581,106824.370425284,36569.459092617,73904.8252270222,0.0,0.0,0.0
AFG.12.10_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,59902.7899342775,95333.6253658906,46480.3120269775,74621.0811220855,0.0,0.0,0.0
AFG.12.11_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,131877.345562124,209991.818544215,118425.8151136732,196393.8686013576,0.0,0.0,0.0
AFG.12.12_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,39574.5542001203,62909.6706329621,20014.1732909679,39856.4604415894,0.0,0.0,0.0
AFG.12.13_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,73285.2194817066,116857.817896008,46487.6058794707,95247.829008773,0.0,0.0,0.0
AFG.12.14_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,111969.105676733,178050.185351044,89919.8591286615,157336.6811881364,0.0,0.0,0.0
AFG.12.15_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,199053.676164538,316260.569762632,160926.3185826206,286045.96009033953,0.0,0.0,0.0
AFG.12.16_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,51133.0929180309,81478.4861854762,26423.7234794423,51772.9334842861,0.0,0.0,0.0
AFG.13.1_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,114012.582504486,133688.748934144,85248.7605670588,113252.577304378,0.0,0.0,0.0
AFG.13.2_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,79159.4702960849,93430.3504599035,72806.8809712231,86242.35513612619,0.0,0.0,0.0
AFG.13.3_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,39669.7270836085,48102.4948893245,9775.85035037249,16345.2288060207,9775.85035037249,16345.2288060207,6569.37845564821
AFG.13.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,15328.3233947009,18087.1897376031,9874.64014971256,14804.7449560687,0.0,0.0,0.0
AFG.13.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,21502.6209241189,25119.1227336712,13167.6916925684,21520.3889309876,0.0,0.0,0.0
AFG.13.6_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,43186.5139294071,51610.6012791265,26317.8564455556,35007.4306767192,0.0,0.0,0.0
AFG.13.7_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,40683.9654562753,48252.6590242479,16136.6034601182,17652.56673868,16136.6034601182,17652.56673868,1515.9632785618014
AFG.13.8_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,27266.6614915729,32605.1045232099,23775.5424079746,27328.8160258383,0.0,0.0,0.0
AFG.13.9_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,199885.399207961,246974.535960209,159185.6982200162,205743.4493851905,0.0,0.0,0.0
AFG.14.1_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,472088.779347579,636257.37101361,464728.4628479685,626309.5556791218,0.0,0.0,0.0
AFG.14.2_1,AFG,Afghanistan,10,2010,2020,2,3,remained_town_or_city,60952.0556356823,87706.8861957807,56763.7955733007,81462.4616742004,0.0,0.0,0.0
AFG.14.3_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,721167.873183836,1015784.16297219,706236.5565504581,997838.2293412666,0.0,0.0,0.0
AFG.14.4_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,27946.7269417644,38419.9901983142,27089.7509121299,37169.9368370771,0.0,0.0,0.0
AFG.14.5_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,31577.8376659602,47545.7483059764,30411.0617106408,46275.5895374417,0.0,0.0,0.0
AFG.14.6_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,2458763.60909363,3355176.34323704,2457402.864131597,3354125.231683735,0.0,0.0,0.0
AFG.14.7_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,27610.5797610879,39759.3617765307,27027.5786594152,39322.1063072085,0.0,0.0,0.0
AFG.14.8_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,15801.325397782,22615.1696438193,6509.73799711466,15332.9943416119,6509.73799711466,0.0,-6509.73799711466
AFG.14.9_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,54929.8819517344,77296.1651487052,53092.9093622714,75101.604956001,0.0,0.0,0.0
AFG.14.10_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,31809.8153441846,44170.9309375063,27781.8104774207,41963.0877013877,0.0,0.0,0.0
AFG.14.11_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,194604.562227943,277612.00325093,184133.27600608388,271047.33200484316,0.0,0.0,0.0
AFG.14.12_1,AFG,Afghanistan,10,2010,2020,2,3,remained_town_or_city,74968.9036499299,108515.918736801,70439.0409766138,101113.3560934067,0.0,0.0,0.0
AFG.14.13_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,118077.303160622,172832.010437768,105765.7838518973,159839.08039302,0.0,0.0,0.0
AFG.14.14_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,58118.780667372,84105.0986405015,31460.8569516093,56586.4035131931,0.0,0.0,0.0
AFG.15.1_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,18528.359498281,25913.1798094325,8608.22755650338,16108.359549198321,8608.22755650338,0.0,-8608.22755650338
AFG.15.2_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,34003.0412520207,48885.7015178576,0.0,5994.34379442036,0.0,5994.34379442036,5994.34379442036
AFG.15.3_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,153203.364650355,180095.070273871,142212.937718431,168817.4786592743,0.0,0.0,0.0
AFG.15.4_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,8591.74887865782,12426.6032536328,0.0,0.0,0.0,0.0,0.0
AFG.15.5_1,AFG,Afghanistan,10,2010,2020,3,3,remained_town_or_city,517427.028306577,795114.418068526,501016.98729860067,781602.9776604752,0.0,0.0,0.0
AFG.15.6_1,AFG,Afghanistan,10,2010,2020,1,2,rural_to_town_or_city,22691.8000320196,32969.8691859841,8665.40376389027,19907.824963212,8665.40376389027,0.0,-8665.40376389027
AFG.15.7_1,AFG,Afghanistan,10,2010,2020,1,1,remained_rural,39067.0129572302,56935.714976294,0.0,0.0,0.0,0.0,0.0
AFG.15.8_1,AFG,Afghanistan,10,2010,2020,2,2,remained_town_or_city,59382.1544224024,86758.3651069999,47251.355784893,76013.3196078539,0.0,0.0,0.0
