id,code,name,facility_type_name,facility_function_name,facility_level_name,facility_healthcare_level_name,is_active,is_private,division_name,district_name,city_corporation_name,upazila_name,division_code,district_code,city_corporation_code,upazila_code,latitude,longitude,has_valid_coordinate,catchment_count,is_principal_tier,is_clinical_tier,approved_bed_number,has_emergency,has_opd,has_ipd,has_pharmacy,has_pathology,has_ambulance,buildings_nearest_1km_all,buildings_nearest_3km_all,buildings_nearest_5km_all,buildings_nearest_1km_p85,buildings_nearest_3km_p85,buildings_nearest_5km_p85,buildings_nearest_1km_p90,buildings_nearest_3km_p90,buildings_nearest_5km_p90
42,10000046.0,Motijheel Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,30,26.0,20.0,54.0,26.63,88.2,1,1,0,1,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
45,10000049.0,Palashi Barac Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,30,26.0,25.0,48.0,23.831574,90.371349,1,1,0,1,0.0,0,0,0,0,0,0,862,862,862,475,475,475,278,278,278
46,10000050.0,Shaheed Suhrawardy Medical College,Medical College,Academic,Regional,,1,0,Dhaka,Dhaka,,,30,26.0,,,23.76857,90.3713,1,1,1,1,0.0,0,0,0,0,0,0,136,136,136,84,84,84,64,64,64
47,10000051.0,Shaheed Suhrawardy Medical College Hospital,Medical College Hospital,Hospital/Clinic,National,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,30,26.0,20.0,80.0,23.769396359999288,90.37136237811148,1,1,1,1,1350.0,1,1,1,1,1,1,103,103,103,73,73,73,55,55,55
49,10000053.0,Sher-e-bangla Nagor Urban Dispensary,Urban Dispensary,Outpatient Clinic,Regional,,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,30,26.0,20.0,80.0,23.7747014,90.3792852,1,1,0,1,0.0,0,0,0,0,0,0,451,451,451,206,206,206,137,137,137
50,10000054.0,Shyamoli 250 bed TB Hospital (National TB Control Project),Specialized Hospital,Hospital/Clinic,District,Tertiary,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Sher-e-bangla Nagar,30,26.0,25.0,80.0,23.7744121,90.3686419,1,1,1,1,150.0,1,1,1,1,1,1,105,105,105,71,71,71,41,41,41
51,10000055.0,Sir Salimullah Medical College,Medical College,Academic,Regional,,1,0,Dhaka,Dhaka,,,30,26.0,,,23.710729980309893,90.40219281788043,1,1,1,1,0.0,0,0,0,0,1,0,13,13,13,8,8,8,3,3,3
52,10000056.0,Sir Salimullah Medical College Hospital,Medical College Hospital,Hospital/Clinic,Divisional,Tertiary,1,0,Dhaka,Dhaka,Dhaka South City Corporation,Kotwali,30,26.0,20.0,40.0,23.71025497948997,90.4014350819704,1,1,1,1,900.0,1,1,1,1,1,1,417,417,417,224,224,224,131,131,131
53,10000057.0,"Tejgaon Health Complex, Dhaka",31-bed Hospital,Hospital/Clinic,National,,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,30,26.0,25.0,90.0,23.765729,90.40545,1,1,1,1,0.0,1,1,0,1,1,0,174,174,174,121,121,121,82,82,82
58,10000062.0,Gangutia Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26.0,0.0,14.0,23.8851655,90.0698054,1,1,0,1,0.0,0,0,0,0,0,0,1658,6580,7678,703,2890,3426,312,1324,1580
60,10000064.0,Dhamrai Upazila Health Complex,Upazila Health Complex,,,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26.0,0.0,14.0,23.91360935910349,90.22755482615132,1,1,0,0,50.0,1,1,1,1,1,1,541,541,541,254,254,254,140,140,140
62,10000066.0,Suapur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dhamrai,30,26.0,0.0,14.0,23.87745,90.1373093,1,1,0,1,0.0,0,1,0,0,0,0,664,837,837,420,540,540,251,324,324
63,10000067.0,Malikanda(narisha) Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dohar,30,26.0,0.0,18.0,23.596963,90.1349445,1,1,0,1,0.0,0,0,0,0,0,0,1545,2398,2398,748,1157,1157,363,546,546
65,10000069.0,Dohar Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Dohar,30,26.0,0.0,18.0,23.62928229222792,90.12472402606558,1,1,1,1,50.0,1,1,1,1,1,1,1818,2960,2960,894,1444,1444,434,698,698
66,10000070.0,Dhaka Infectious Disease Hospital,Infectious Disease Hospital,Hospital/Clinic,"Other, not classified elsewhere",,1,0,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,30,26.0,25.0,26.0,23.7785805617504,90.40622280655784,1,1,1,1,100.0,1,0,1,1,1,1,146,146,146,79,79,79,47,47,47
69,10000073.0,Jinjira 20 bed Hospital,20-bed Hospital,Hospital/Clinic,Upazila,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26.0,0.0,38.0,23.706233231491247,90.390524946578,1,1,1,1,20.0,0,0,0,0,0,0,1074,1074,1074,559,559,559,283,283,283
70,10000074.0,Keraniganj Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26.0,0.0,38.0,23.70717113164921,90.3471905153422,1,1,1,1,50.0,1,1,1,1,1,1,1882,2827,2827,1081,1511,1511,644,847,847
71,10000075.0,Talepur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Keraniganj,30,26.0,0.0,38.0,23.73271,90.4343,1,1,0,1,0.0,0,0,0,0,0,0,183,183,183,115,115,115,84,84,84
73,10000077.0,Barua Khali Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Nawabganj,30,26.0,0.0,62.0,23.682133,90.0664996,1,1,0,1,0.0,0,1,0,1,0,0,1492,2745,2745,692,1333,1333,331,658,658
76,10000080.0,Nawabganj Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Nawabganj,30,26.0,0.0,62.0,25.25039,89.04543,1,1,1,1,50.0,1,1,1,1,1,1,299,309,309,150,159,159,78,80,80
79,10000083.0,Savar Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Secondary,1,0,Dhaka,Dhaka,Upazilas of Dhaka,Savar,30,26.0,0.0,72.0,23.83945301517133,90.247844476711,1,1,1,1,50.0,1,1,1,1,1,1,1731,1796,1796,849,878,878,462,476,476
81,10000085.0,Alfadanga Upazila Health Complex,Upazila Health Complex,,,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Alfadanga,30,29.0,0.0,3.0,23.294855518776764,89.70730923141244,1,1,0,0,50.0,1,1,1,1,1,1,180,251,251,87,121,121,40,59,59
85,10000089.0,Bhanga Upazila Health Complex,Upazila Health Complex,Administration,Upazila,Not Applicable,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Bhanga,30,29.0,0.0,10.0,23.382903555065823,89.98103938196519,1,1,0,0,50.0,1,1,1,1,1,1,795,943,943,423,501,501,265,310,310
91,10000095.0,Boalmari Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Boalmari,30,29.0,0.0,18.0,23.391756949445625,89.68523603963648,1,1,1,1,50.0,1,1,1,1,1,1,23,23,23,13,13,13,9,9,9
92,10000096.0,Rupapath Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Boalmari,30,29.0,0.0,18.0,23.3917,89.6833,1,1,0,1,0.0,0,0,0,0,0,0,66,66,66,34,34,34,20,20,20
94,10000098.0,Charbhadrason Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Char Bhadrasan,30,29.0,0.0,21.0,23.5966566,89.9813445,1,1,1,1,50.0,1,1,1,1,1,1,13,344,358,11,229,235,6,149,150
100,10000104.0,Faridpur Civil Surgeon Office,District Level Office,Administration,District,Not Applicable,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29.0,0.0,47.0,23.603778,89.840026,1,1,0,0,0.0,0,0,0,0,0,0,26,26,26,17,17,17,8,8,8
101,10000105.0,Faridpur General Hospital,District/General Hospital,Hospital/Clinic,District,,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29.0,0.0,47.0,23.6203524,89.8130355999999,1,1,1,1,100.0,1,1,1,1,1,1,998,3074,3215,458,1445,1505,233,753,777
104,10000108.0,Faridpur Medical College Hospital,Medical College Hospital,Hospital/Clinic,District,Tertiary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Faridpur Sadar,30,29.0,0.0,47.0,23.5878294,89.835176,1,1,1,1,1000.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
109,10000113.0,Modhukhali Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Madhukhali,30,29.0,0.0,56.0,23.5485461,89.6063278,1,1,1,1,31.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
116,10000120.0,Nagarkanda Upazila Health Complex,Upazila Health Complex,Public Health,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Nagarkanda,30,29.0,0.0,62.0,23.4537695,89.9066313999999,1,1,0,0,50.0,1,1,1,1,1,1,478,1125,1125,232,527,527,97,256,256
124,10000128.0,Sadarpur Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Faridpur,Upazilas of Faridpur,Sadarpur,30,29.0,0.0,84.0,23.47147,90.028442,1,1,1,1,50.0,1,1,1,1,1,1,458,458,458,227,227,227,127,127,127
125,10000129.0,Shaheed Ahsan Ullah Master General Hospital,General Hospital (Non District Hospital),Hospital/Clinic,District,Secondary,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,23.89,90.4058333,1,1,1,1,250.0,1,1,1,1,1,1,1986,1986,1986,1098,1098,1098,634,634,634
126,10000130.0,Azampur Union Health Sub Center,Union Health Sub Center,Hospital/Clinic,"Other, not classified elsewhere",Primary,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,23.8675402,90.4013369,1,1,0,1,0.0,0,1,0,0,0,0,87,87,87,58,58,58,38,38,38
127,10000131.0,Datta Para Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,Not Applicable,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,23.90959,90.40051,1,1,0,1,0.0,0,1,0,0,0,0,979,979,979,648,648,648,440,440,440
128,10000132.0,Kadda(bashan) Union Health Sub Center,Union Health Sub Center,Administration,Union,Not Applicable,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,23.99966,90.34346,1,1,0,1,0.0,0,1,0,0,0,0,1432,2563,2563,721,1312,1312,412,728,728
129,10000133.0,Mirzapur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,Not Applicable,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,24.062988,90.053012,1,1,0,1,0.0,0,1,0,0,0,0,963,1335,1335,421,616,616,198,302,302
130,10000134.0,Gazipur (sadar) Upazila Health Office,Upazila Level Office,Administration,"Other, not classified elsewhere",Not Applicable,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,24.005898,90.430223,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,10000135.0,Salna(kawaltia) Union Health Sub Center,Union Health Sub Center,Hospital/Clinic,Union,Not Applicable,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,23.999941,90.420273,1,1,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,10000136.0,Gazipur Civil Surgeon Office,District Level Office,Administrative,District,Not Applicable,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,23.99136,90.42407,1,1,0,0,0.0,0,0,0,0,0,0,31,31,31,20,20,20,16,16,16
133,10000137.0,Gazipur District Hospital,Other,Hospital/Clinic,District,Secondary,1,0,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,30,33.0,33.0,30.0,24.0958171,90.4125180999999,1,1,1,1,100.0,0,0,0,0,0,0,6,15,15,3,4,4,1,1,1
134,10000138.0,Benupur Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kaliakair,30,33.0,0.0,32.0,26.4142149,88.002549,1,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,10000139.0,Chabagan Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kaliakair,30,33.0,0.0,32.0,26.4142148,88.002588,1,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,10000140.0,Kaliakair Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kaliakair,30,33.0,0.0,32.0,26.4142148,88.002548,1,1,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,10000141.0,Kaliakair Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kaliakair,30,33.0,0.0,32.0,24.067436,90.211731,1,1,1,1,50.0,1,1,1,1,1,1,1135,1306,1306,619,705,705,341,390,390
138,10000142.0,Shakershar Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kaliakair,30,33.0,0.0,32.0,26.4142145,88.002548,1,1,0,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
139,10000143.0,Kaliganj Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,Primary,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kaliganj,30,33.0,0.0,34.0,23.918306,90.564096,1,1,0,1,0.0,0,1,0,1,0,0,1796,1830,1830,761,770,770,364,368,368
140,10000144.0,Kaliganj Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kaliganj,30,33.0,0.0,34.0,23.92386,90.570148,1,1,1,1,50.0,1,1,1,1,1,1,926,929,929,466,468,468,264,265,265
141,10000145.0,Kapasia Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,Primary,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kapasia,30,33.0,0.0,36.0,24.10731,90.56791,1,1,0,1,0.0,0,1,0,1,0,0,517,517,517,255,255,255,130,130,130
142,10000146.0,Kapasia Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Kapasia,30,33.0,0.0,36.0,24.121496,90.568463,1,1,1,1,50.0,1,1,1,1,1,1,310,379,379,163,196,196,97,115,115
144,10000148.0,Barmi Union Health Sub Center,Union Health Sub Center,,,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Sreepur,30,33.0,0.0,86.0,24.24612,90.56281,1,1,0,1,0.0,0,1,0,1,0,0,570,1864,1864,318,1027,1027,166,523,523
145,10000149.0,Kaoraid Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Sreepur,30,33.0,0.0,86.0,24.29131,90.53642,1,1,0,1,0.0,0,1,0,1,0,0,439,1212,1212,222,624,624,106,304,304
146,10000150.0,Mawna Union Health Sub Center,Union Health Sub Center,,,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Sreepur,30,33.0,0.0,86.0,24.23412,90.36119,1,1,0,1,0.0,0,1,0,1,0,0,277,277,277,153,153,153,82,82,82
147,10000151.0,Sreepur Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Sreepur,30,33.0,0.0,86.0,24.20028,90.47254,1,1,1,1,50.0,1,1,1,1,1,1,1246,1399,1399,710,790,790,380,420,420
148,10000152.0,Rajendrapur(rajabari) Union Health Sub Center,Union Health Sub Center,,,,1,0,Dhaka,Gazipur,Upazilas of Gazipur,Sreepur,30,33.0,0.0,86.0,24.12456,90.48431,1,1,0,1,0.0,0,1,0,1,0,0,723,1652,1652,389,875,875,188,454,454
151,10000155.0,Gopalganj (sadar) Upazila Health Office,Upazila Level Office,,Upazila,Primary,1,0,Dhaka,Gopalganj,Upazilas of Gopalganj,Gopalganj Sadar,30,35.0,0.0,32.0,23.013,89.822,1,1,0,0,0.0,0,0,0,0,0,0,206,454,454,127,252,252,83,148,148
155,10000160.0,Gopalganj Civil Surgeon Office,District Level Office,Administrative,District,Not Applicable,1,0,Dhaka,Gopalganj,Upazilas of Gopalganj,Gopalganj Sadar,30,35.0,0.0,32.0,23.0111,89.8185,1,1,0,0,0.0,0,0,0,0,0,0,791,2196,2204,412,1112,1118,239,627,630
162,10000167.0,Kashiani Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Gopalganj,Upazilas of Gopalganj,Kashiani,30,35.0,0.0,43.0,23.236841171839348,89.71893032472035,1,1,1,1,100.0,1,1,1,1,1,1,391,1051,1051,192,498,498,99,273,273
168,10000173.0,Kotalipara Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,Primary,1,0,Dhaka,Gopalganj,Upazilas of Gopalganj,Kotalipara,30,35.0,0.0,51.0,23.0488497,90.0373201,1,1,1,1,100.0,1,1,0,1,1,1,513,2176,2176,239,1138,1138,143,665,665
176,10000181.0,Muksudpur Upazila Health Complex,Upazila Health Complex,Other/Not elsewhere classified,Upazila,Primary,1,0,Dhaka,Gopalganj,Upazilas of Gopalganj,Muksudpur,30,35.0,0.0,58.0,23.3197792,89.8668809000001,1,1,0,0,100.0,1,1,1,1,1,1,89,89,89,38,38,38,24,24,24
177,10000182.0,Tungipara Upazila Health Complex,Upazila Health Complex,Hospital/Clinic,Upazila,,1,0,Dhaka,Gopalganj,Upazilas of Gopalganj,Tungipara,30,35.0,0.0,91.0,22.8820217,89.9066313999999,1,1,1,1,100.0,1,1,1,1,1,1,415,1761,2848,177,856,1366,97,429,692
180,10000185.0,Ghashirpara Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Mymensingh,Jamalpur,Upazilas of Jamalpur,Bakshiganj,45,39.0,0.0,7.0,24.01,89.01,1,1,0,1,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
181,10000186.0,Marurchar Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Mymensingh,Jamalpur,Upazilas of Jamalpur,Bakshiganj,45,39.0,0.0,7.0,24.01,89.01,1,1,0,1,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
182,10000187.0,Nilakhia Union Health Sub Center,Union Health Sub Center,Outpatient Clinic,Union,,1,0,Mymensingh,Jamalpur,Upazilas of Jamalpur,Bakshiganj,45,39.0,0.0,7.0,24.01,89.01,1,1,0,1,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
