origin_iso3,origin_country,asylum_iso3,asylum_country,forced_displacement_abroad,refugees,asylum_seekers,other_people_in_need_protection
ARM,Armenia,USA,United States of America,15723,1812,13911,0
PAK,Pakistan,CAN,Canada,15513,6693,8820,0
CHN,China,AUS,Australia,14850,847,14003,0
CHN,China,FRA,France,14669,14101,568,0
LKA,Sri Lanka,CAN,Canada,14612,2789,11823,0
PAK,Pakistan,DEU,Germany,12933,9249,3684,0
AFG,Afghanistan,TJK,Tajikistan,12931,9902,3029,0
IND,India,AUS,Australia,12400,122,12278,0
BGD,Bangladesh,GBR,United Kingdom of Great Britain and Northern Ireland,11704,3681,8023,0
IDN,Indonesia,USA,United States of America,11286,872,10414,0
KGZ,Kyrgyzstan,USA,United States of America,11239,1666,9573,0
MMR,Myanmar,USA,United States of America,10989,1363,9626,0
IDN,Indonesia,PNG,Papua New Guinea,10930,7700,3230,0
KHM,Cambodia,FRA,France,10613,10550,63,0
MYS,Malaysia,AUS,Australia,10407,471,9936,0
CHN,China,CAN,Canada,9917,4958,4959,0
AZE,Azerbaijan,DEU,Germany,9870,7275,2595,0
AFG,Afghanistan,IND,India,9764,8671,1093,0
BGD,Bangladesh,ZAF,South Africa,9571,175,9396,0
AFG,Afghanistan,NLD,Netherlands (Kingdom of the),9421,8714,707,0
KAZ,Kazakhstan,USA,United States of America,9100,1337,7763,0
GEO,Georgia,FRA,France,9013,7238,1775,0
VNM,Viet Nam,GBR,United Kingdom of Great Britain and Northern Ireland,8712,4347,4365,0
AFG,Afghanistan,UZB,Uzbekistan,8505,8505,0,0
ARM,Armenia,DEU,Germany,8176,4834,3342,0
VNM,Viet Nam,USA,United States of America,8047,568,7479,0
LKA,Sri Lanka,GBR,United Kingdom of Great Britain and Northern Ireland,7839,3980,3859,0
ARM,Armenia,FRA,France,7827,6567,1260,0
VNM,Viet Nam,FRA,France,7684,7669,15,0
VNM,Viet Nam,AUS,Australia,7635,277,7358,0
GEO,Georgia,DEU,Germany,7411,3338,4073,0
AFG,Afghanistan,BRA,Brazil,7267,7170,97,0
IND,India,ITA,Italy,6662,271,6391,0
BTN,Bhutan,NPL,Nepal,6365,6365,0,0
AFG,Afghanistan,AUS,Australia,6335,4885,1450,0
LAO,Lao PDR,FRA,France,6199,6199,0,0
LKA,Sri Lanka,CHE,Switzerland,6186,5674,512,0
AFG,Afghanistan,CAN,Canada,6147,3563,2584,0
IND,India,GBR,United Kingdom of Great Britain and Northern Ireland,6036,657,5379,0
GEO,Georgia,ITA,Italy,5922,748,5174,0
PAK,Pakistan,MYS,Malaysia,5709,4135,1574,0
LKA,Sri Lanka,ITA,Italy,5709,453,5256,0
AFG,Afghanistan,ESP,Spain,5530,4575,955,0
AFG,Afghanistan,DNK,Denmark,5327,5176,151,0
AZE,Azerbaijan,FRA,France,5205,4883,322,0
AFG,Afghanistan,IDN,Indonesia,5198,4350,848,0
LKA,Sri Lanka,AUS,Australia,4877,2599,2278,0
PAK,Pakistan,FRA,France,4630,3631,999,0
MNG,Mongolia,USA,United States of America,4568,621,3947,0
PAK,Pakistan,AUS,Australia,4452,1773,2679,0
LKA,Sri Lanka,DEU,Germany,4438,3330,1108,0
AFG,Afghanistan,NOR,Norway,4328,4136,192,0
AFG,Afghanistan,FIN,Finland,4198,3939,259,0
TJK,Tajikistan,USA,United States of America,4000,396,3604,0
AFG,Afghanistan,IRL,Ireland,3965,2705,1260,0
IDN,Indonesia,AUS,Australia,3849,130,3719,0
LKA,Sri Lanka,USA,United States of America,3834,886,2948,0
VNM,Viet Nam,DEU,Germany,3825,3619,206,0
AZE,Azerbaijan,USA,United States of America,3620,710,2910,0
CHN,China,DEU,Germany,3563,2325,1238,0
CHN,China,GBR,United Kingdom of Great Britain and Northern Ireland,3552,1081,2471,0
IND,India,KOR,Rep. of Korea,3492,0,3492,0
AFG,Afghanistan,TKM,Turkmenistan,3409,3409,0,0
PHL,Philippines,AUS,Australia,3350,21,3329,0
CHN,China,ITA,Italy,3226,585,2641,0
TJK,Tajikistan,DEU,Germany,3137,2118,1019,0
PAK,Pakistan,ZAF,South Africa,3119,7,3112,0
AFG,Afghanistan,IRQ,Iraq,3048,22,3026,0
GEO,Georgia,IRL,Ireland,3024,687,2337,0
PAK,Pakistan,NLD,Netherlands (Kingdom of the),2943,2040,903,0
KAZ,Kazakhstan,KOR,Rep. of Korea,2939,6,2933,0
AFG,Afghanistan,MYS,Malaysia,2748,1193,1555,0
MMR,Myanmar,IDN,Indonesia,2679,817,1862,0
FJI,Fiji,AUS,Australia,2646,136,2510,0
IND,India,DEU,Germany,2575,874,1701,0
THA,Thailand,AUS,Australia,2550,14,2536,0
CHN,China,KOR,Rep. of Korea,2496,55,2441,0
PAK,Pakistan,IRL,Ireland,2468,427,2041,0
MMR,Myanmar,AUS,Australia,2408,1760,648,0
AFG,Afghanistan,MEX,Mexico,2191,12,2179,0
VNM,Viet Nam,THA,Thailand,2177,899,1278,0
PAK,Pakistan,ESP,Spain,2170,505,1665,0
CHN,China,CHE,Switzerland,2026,1921,105,0
TKM,Turkmenistan,USA,United States of America,1951,241,1710,0
PAK,Pakistan,THA,Thailand,1867,1157,710,0
GEO,Georgia,GBR,United Kingdom of Great Britain and Northern Ireland,1842,134,1708,0
TKM,Turkmenistan,DEU,Germany,1812,1593,219,0
IND,India,ZAF,South Africa,1800,5,1795,0
PHL,Philippines,USA,United States of America,1793,158,1635,0
NPL,Nepal,CAN,Canada,1788,763,1025,0
BGD,Bangladesh,AUS,Australia,1779,165,1614,0
GEO,Georgia,ESP,Spain,1744,384,1360,0
AFG,Afghanistan,CYP,Cyprus,1739,360,1379,0
MYS,Malaysia,KOR,Rep. of Korea,1731,0,1731,0
TON,Tonga,AUS,Australia,1723,32,1691,0
MMR,Myanmar,DEU,Germany,1676,1305,371,0
MNG,Mongolia,KOR,Rep. of Korea,1652,0,1652,0
BGD,Bangladesh,IRL,Ireland,1609,103,1506,0
AFG,Afghanistan,BGR,Bulgaria,1606,311,1295,0
IND,India,NZL,New Zealand,1524,72,1452,0
PAK,Pakistan,KOR,Rep. of Korea,1521,146,1375,0
AFG,Afghanistan,HUN,Hungary,1437,1437,0,0
PNG,Papua New Guinea,AUS,Australia,1423,479,944,0
CHN,China,NLD,Netherlands (Kingdom of the),1419,910,509,0
AFG,Afghanistan,SYR,Syrian Arab Rep.,1408,1228,180,0
NPL,Nepal,AUS,Australia,1394,41,1353,0
TJK,Tajikistan,KGZ,Kyrgyzstan,1390,0,1390,0
AFG,Afghanistan,PRT,Portugal,1302,916,386,0
CHN,China,BRA,Brazil,1263,43,1220,0
ARM,Armenia,BEL,Belgium,1256,309,947,0
KAZ,Kazakhstan,FRA,France,1216,1134,82,0
MMR,Myanmar,DNK,Denmark,1210,1178,32,0
PAK,Pakistan,MDG,Madagascar,1202,71,1131,0
MMR,Myanmar,KOR,Rep. of Korea,1194,529,665,0
PAK,Pakistan,GRC,Greece,1188,504,684,0
UZB,Uzbekistan,DEU,Germany,1184,1047,137,0
GEO,Georgia,CAN,Canada,1180,507,673,0
TLS,Timor-Leste,AUS,Australia,1176,0,1176,0
AFG,Afghanistan,RUS,Russian Federation,1175,996,179,0
MNG,Mongolia,FRA,France,1174,931,243,0
AFG,Afghanistan,POL,Poland,1168,893,275,0
VNM,Viet Nam,CAN,Canada,1160,509,651,0
GEO,Georgia,BEL,Belgium,1159,375,784,0
BGD,Bangladesh,KOR,Rep. of Korea,1140,132,1008,0
LKA,Sri Lanka,MYS,Malaysia,1105,660,445,0
NPL,Nepal,GBR,United Kingdom of Great Britain and Northern Ireland,1100,102,998,0
AFG,Afghanistan,AZE,Azerbaijan,1080,1080,0,0
VUT,Vanuatu,AUS,Australia,1048,0,1048,0
MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,1042,505,537,0
BGD,Bangladesh,DEU,Germany,1022,754,268,0
IND,India,ISR,Israel,1016,0,1016,0
UZB,Uzbekistan,GBR,United Kingdom of Great Britain and Northern Ireland,1003,130,873,0
CHN,China,NZL,New Zealand,962,388,574,0
CHN,China,AUT,Austria,939,664,275,0
LKA,Sri Lanka,ISR,Israel,932,0,932,0
AFG,Afghanistan,UKR,Ukraine,917,912,5,0
AZE,Azerbaijan,CAN,Canada,904,289,615,0
AFG,Afghanistan,JPN,Japan,873,873,0,0
KHM,Cambodia,AUS,Australia,873,73,800,0
TJK,Tajikistan,GBR,United Kingdom of Great Britain and Northern Ireland,856,187,669,0
NPL,Nepal,GRC,Greece,851,23,828,0
SLB,Solomon Islands,AUS,Australia,851,28,823,0
CHN,China,BEL,Belgium,841,831,10,0
MYS,Malaysia,GBR,United Kingdom of Great Britain and Northern Ireland,841,428,413,0
IND,India,PRT,Portugal,832,785,47,0
PAK,Pakistan,UGA,Uganda,804,648,156,0
KAZ,Kazakhstan,GBR,United Kingdom of Great Britain and Northern Ireland,803,130,673,0
AFG,Afghanistan,LUX,Luxembourg,777,562,215,0
VNM,Viet Nam,CHE,Switzerland,731,726,5,0
MNG,Mongolia,DEU,Germany,726,257,469,0
BTN,Bhutan,DNK,Denmark,719,719,0,0
UZB,Uzbekistan,KOR,Rep. of Korea,693,0,693,0
NPL,Nepal,ITA,Italy,686,91,595,0
UZB,Uzbekistan,SWE,Sweden,685,518,167,0
FJI,Fiji,USA,United States of America,680,64,616,0
MNG,Mongolia,AUS,Australia,666,11,655,0
KGZ,Kyrgyzstan,KOR,Rep. of Korea,658,0,658,0
IND,India,BRA,Brazil,651,26,625,0
PAK,Pakistan,PRT,Portugal,631,558,73,0
ARM,Armenia,ESP,Spain,626,306,320,0
KGZ,Kyrgyzstan,DEU,Germany,607,491,116,0
IND,India,FRA,France,604,398,206,0
CHN,China,CRI,Costa Rica,587,0,587,0
NPL,Nepal,KOR,Rep. of Korea,579,0,579,0
CHN,China,ESP,Spain,577,197,380,0
THA,Thailand,USA,United States of America,577,29,548,0
KGZ,Kyrgyzstan,FRA,France,568,545,23,0
GEO,Georgia,CHE,Switzerland,565,347,218,0
VNM,Viet Nam,DNK,Denmark,564,559,5,0
KAZ,Kazakhstan,DEU,Germany,557,409,148,0
PAK,Pakistan,IRQ,Iraq,554,7,547,0
AZE,Azerbaijan,SWE,Sweden,546,430,116,0
PAK,Pakistan,AUT,Austria,545,380,165,0
GEO,Georgia,AUT,Austria,540,395,145,0
AZE,Azerbaijan,NLD,Netherlands (Kingdom of the),528,374,154,0
BTN,Bhutan,USA,United States of America,526,42,484,0
MMR,Myanmar,FRA,France,522,474,48,0
BGD,Bangladesh,AUT,Austria,515,366,149,0
LKA,Sri Lanka,DNK,Denmark,505,492,13,0
BGD,Bangladesh,ESP,Spain,503,43,460,0
PAK,Pakistan,BRA,Brazil,497,366,131,0
BGD,Bangladesh,BRA,Brazil,496,47,449,0
MMR,Myanmar,NPL,Nepal,493,427,66,0
MMR,Myanmar,NLD,Netherlands (Kingdom of the),483,391,92,0
TJK,Tajikistan,KOR,Rep. of Korea,483,0,483,0
PHL,Philippines,GBR,United Kingdom of Great Britain and Northern Ireland,480,137,343,0
WSM,Samoa,AUS,Australia,477,8,469,0
BGD,Bangladesh,GRC,Greece,470,176,294,0
MYS,Malaysia,USA,United States of America,468,71,397,0
UZB,Uzbekistan,CAN,Canada,463,117,346,0
AFG,Afghanistan,KEN,Kenya,459,87,372,0
AFG,Afghanistan,EGY,Egypt,453,45,408,0
KGZ,Kyrgyzstan,GBR,United Kingdom of Great Britain and Northern Ireland,453,71,382,0
TJK,Tajikistan,POL,Poland,452,210,242,0
GEO,Georgia,POL,Poland,452,360,92,0
ARM,Armenia,AUT,Austria,438,279,159,0
AFG,Afghanistan,SVK,Slovakia,437,423,14,0
PAK,Pakistan,SWE,Sweden,433,356,77,0
NPL,Nepal,FRA,France,430,270,160,0
AZE,Azerbaijan,GBR,United Kingdom of Great Britain and Northern Ireland,428,231,197,0
PAK,Pakistan,BEL,Belgium,426,238,188,0
IDN,Indonesia,GBR,United Kingdom of Great Britain and Northern Ireland,423,127,296,0
PAK,Pakistan,CHE,Switzerland,419,336,83,0
KHM,Cambodia,THA,Thailand,419,269,150,0
LAO,Lao PDR,USA,United States of America,419,55,364,0
MMR,Myanmar,CAN,Canada,417,123,294,0
PHL,Philippines,ITA,Italy,404,37,367,0
IND,India,AUT,Austria,400,44,356,0
LKA,Sri Lanka,KOR,Rep. of Korea,395,0,395,0
LKA,Sri Lanka,IDN,Indonesia,392,370,22,0
PHL,Philippines,CAN,Canada,380,161,219,0
HKG,Hong Kong SAR,USA,United States of America,376,29,347,0
THA,Thailand,GBR,United Kingdom of Great Britain and Northern Ireland,375,50,325,0
AFG,Afghanistan,ISL,Iceland,373,356,17,0
AFG,Afghanistan,KGZ,Kyrgyzstan,360,183,177,0
AZE,Azerbaijan,CHE,Switzerland,359,292,67,0
PAK,Pakistan,NPL,Nepal,354,190,164,0
KAZ,Kazakhstan,CAN,Canada,353,119,234,0
LAO,Lao PDR,AUS,Australia,351,0,351,0
GEO,Georgia,GRC,Greece,344,31,313,0
AFG,Afghanistan,LVA,Latvia,342,306,36,0
KGZ,Kyrgyzstan,ITA,Italy,342,58,284,0
AZE,Azerbaijan,BEL,Belgium,341,101,240,0
IDN,Indonesia,KOR,Rep. of Korea,335,0,335,0
IND,India,IRL,Ireland,329,45,284,0
VNM,Viet Nam,KOR,Rep. of Korea,328,0,328,0
TJK,Tajikistan,AUT,Austria,327,304,23,0
UZB,Uzbekistan,FRA,France,325,306,19,0
AFG,Afghanistan,KAZ,Kazakhstan,320,202,118,0
AFG,Afghanistan,UGA,Uganda,315,234,81,0
VNM,Viet Nam,IRL,Ireland,312,23,289,0
LKA,Sri Lanka,NLD,Netherlands (Kingdom of the),310,234,76,0
LKA,Sri Lanka,NZL,New Zealand,309,58,251,0
PHL,Philippines,BRA,Brazil,307,17,290,0
AFG,Afghanistan,ROU,Romania,305,300,5,0
HKG,Hong Kong SAR,AUS,Australia,301,0,301,0
AZE,Azerbaijan,POL,Poland,296,267,29,0
AFG,Afghanistan,LTU,Lithuania,283,278,5,0
PAK,Pakistan,SYR,Syrian Arab Rep.,271,246,25,0
ARM,Armenia,ITA,Italy,265,206,59,0
BGD,Bangladesh,LBN,Lebanon,263,0,263,0
ARM,Armenia,SWE,Sweden,263,218,45,0
CHN,China,NOR,Norway,262,202,60,0
AFG,Afghanistan,CZE,Czechia,262,262,0,0
MNG,Mongolia,CAN,Canada,262,92,170,0
TJK,Tajikistan,FRA,France,260,227,33,0
ARM,Armenia,NLD,Netherlands (Kingdom of the),258,213,45,0
BGD,Bangladesh,MEX,Mexico,255,9,246,0
VNM,Viet Nam,ESP,Spain,252,167,85,0
CHN,China,FIN,Finland,251,199,52,0
KHM,Cambodia,CHE,Switzerland,247,247,0,0
KHM,Cambodia,CAN,Canada,245,43,202,0
ARM,Armenia,POL,Poland,244,190,54,0
MMR,Myanmar,ISR,Israel,238,0,238,0
UZB,Uzbekistan,ISR,Israel,238,0,238,0
CHN,China,GRC,Greece,235,63,172,0
PAK,Pakistan,LKA,Sri Lanka,234,88,146,0
PHL,Philippines,KOR,Rep. of Korea,233,0,233,0
AFG,Afghanistan,HRV,Croatia,230,102,128,0
MMR,Myanmar,LKA,Sri Lanka,229,112,117,0
TLS,Timor-Leste,GBR,United Kingdom of Great Britain and Northern Ireland,229,0,229,0
AFG,Afghanistan,CHL,Chile,228,218,10,0
MMR,Myanmar,CZE,Czechia,228,219,9,0
PAK,Pakistan,SEN,Senegal,225,0,225,0
MNG,Mongolia,SWE,Sweden,221,199,22,0
MMR,Myanmar,SWE,Sweden,213,207,6,0
CHN,China,SWE,Sweden,210,191,19,0
IDN,Indonesia,CAN,Canada,210,122,88,0
IND,India,POL,Poland,206,70,136,0
LKA,Sri Lanka,BEL,Belgium,206,107,99,0
BGD,Bangladesh,SWE,Sweden,201,158,43,0
ARM,Armenia,CHE,Switzerland,201,175,26,0
THA,Thailand,KOR,Rep. of Korea,199,10,189,0
UZB,Uzbekistan,NLD,Netherlands (Kingdom of the),196,115,81,0
HKG,Hong Kong SAR,CAN,Canada,196,116,80,0
GEO,Georgia,NLD,Netherlands (Kingdom of the),196,157,39,0
UZB,Uzbekistan,POL,Poland,195,167,28,0
TKM,Turkmenistan,KOR,Rep. of Korea,194,0,194,0
CHN,China,THA,Thailand,192,128,64,0
KHM,Cambodia,USA,United States of America,192,67,125,0
AZE,Azerbaijan,AUT,Austria,191,158,33,0
UZB,Uzbekistan,RUS,Russian Federation,190,172,18,0
AZE,Azerbaijan,ITA,Italy,190,128,62,0
BTN,Bhutan,FRA,France,190,180,10,0
PAK,Pakistan,NZL,New Zealand,188,73,115,0
ARM,Armenia,DNK,Denmark,188,169,19,0
THA,Thailand,ISR,Israel,187,0,187,0
AFG,Afghanistan,THA,Thailand,186,95,91,0
PAK,Pakistan,IDN,Indonesia,186,160,26,0
MNG,Mongolia,CHE,Switzerland,186,171,15,0
TJK,Tajikistan,CAN,Canada,181,74,107,0
NPL,Nepal,DEU,Germany,179,73,106,0
IND,India,ESP,Spain,177,107,70,0
AFG,Afghanistan,KOR,Rep. of Korea,177,79,98,0
AZE,Azerbaijan,ESP,Spain,173,118,55,0
MYS,Malaysia,NZL,New Zealand,172,39,133,0
LKA,Sri Lanka,NOR,Norway,170,164,6,0
AFG,Afghanistan,NZL,New Zealand,169,104,65,0
MMR,Myanmar,NOR,Norway,167,153,14,0
PAK,Pakistan,CYP,Cyprus,162,49,113,0
KAZ,Kazakhstan,SWE,Sweden,162,126,36,0
TKM,Turkmenistan,POL,Poland,162,130,32,0
CHN,China,ISR,Israel,159,0,159,0
NPL,Nepal,BRA,Brazil,159,8,151,0
BGD,Bangladesh,PRT,Portugal,158,144,14,0
CHN,China,IRL,Ireland,156,64,92,0
TKM,Turkmenistan,RUS,Russian Federation,152,139,13,0
PAK,Pakistan,FIN,Finland,150,83,67,0
NPL,Nepal,PRT,Portugal,150,145,5,0
PAK,Pakistan,DNK,Denmark,146,123,23,0
KAZ,Kazakhstan,POL,Poland,146,109,37,0
ARM,Armenia,ARG,Argentina,145,77,68,0
VNM,Viet Nam,BEL,Belgium,144,20,124,0
KGZ,Kyrgyzstan,SWE,Sweden,140,111,29,0
AFG,Afghanistan,SVN,Slovenia,139,114,25,0
NPL,Nepal,ISR,Israel,139,0,139,0
PAK,Pakistan,PHL,Philippines,138,100,38,0
UZB,Uzbekistan,NOR,Norway,132,115,17,0
GEO,Georgia,CYP,Cyprus,132,100,32,0
KAZ,Kazakhstan,RUS,Russian Federation,131,114,17,0
MNG,Mongolia,MEX,Mexico,130,0,130,0
PAK,Pakistan,MEX,Mexico,129,7,122,0
PAK,Pakistan,NOR,Norway,129,108,21,0
KAZ,Kazakhstan,NLD,Netherlands (Kingdom of the),127,71,56,0
MNG,Mongolia,AUT,Austria,126,73,53,0
CHN,China,PRT,Portugal,125,57,68,0
IND,India,GRC,Greece,124,36,88,0
PAK,Pakistan,GEO,Georgia,124,9,115,0
VNM,Viet Nam,CZE,Czechia,124,82,42,0
VNM,Viet Nam,POL,Poland,124,112,12,0
UZB,Uzbekistan,AUT,Austria,123,53,70,0
HKG,Hong Kong SAR,GBR,United Kingdom of Great Britain and Northern Ireland,123,81,42,0
AZE,Azerbaijan,CZE,Czechia,123,104,19,0
GEO,Georgia,SWE,Sweden,123,98,25,0
AFG,Afghanistan,BLR,Belarus,121,115,6,0
AZE,Azerbaijan,DNK,Denmark,121,116,5,0
TJK,Tajikistan,LTU,Lithuania,121,112,9,0
MNG,Mongolia,GBR,United Kingdom of Great Britain and Northern Ireland,121,49,72,0
IND,India,MEX,Mexico,120,5,115,0
KAZ,Kazakhstan,ESP,Spain,118,68,50,0
BGD,Bangladesh,NLD,Netherlands (Kingdom of the),117,69,48,0
AFG,Afghanistan,PER,Peru,117,0,117,0
KHM,Cambodia,MYS,Malaysia,117,74,43,0
GEO,Georgia,RUS,Russian Federation,117,112,5,0
KAZ,Kazakhstan,AUT,Austria,112,91,21,0
MYS,Malaysia,CAN,Canada,112,53,59,0
PAK,Pakistan,POL,Poland,110,33,77,0
LAO,Lao PDR,ESP,Spain,110,110,0,0
TKM,Turkmenistan,NLD,Netherlands (Kingdom of the),110,90,20,0
AFG,Afghanistan,SRB,Serbia and Kosovo: S/RES/1244 (1999),109,101,8,0
MMR,Myanmar,CHE,Switzerland,106,73,33,0
BGD,Bangladesh,PER,Peru,105,26,79,0
KAZ,Kazakhstan,BEL,Belgium,105,39,66,0
VNM,Viet Nam,BRA,Brazil,104,0,104,0
PHL,Philippines,DEU,Germany,103,76,27,0
UZB,Uzbekistan,CHE,Switzerland,103,86,17,0
LKA,Sri Lanka,AUT,Austria,103,74,29,0
LKA,Sri Lanka,THA,Thailand,103,67,36,0
AZE,Azerbaijan,FIN,Finland,103,95,8,0
KHM,Cambodia,DEU,Germany,102,33,69,0
TJK,Tajikistan,NLD,Netherlands (Kingdom of the),102,56,46,0
PAK,Pakistan,AZE,Azerbaijan,101,45,56,0
VNM,Viet Nam,NLD,Netherlands (Kingdom of the),101,93,8,0
LAO,Lao PDR,CHE,Switzerland,98,98,0,0
CHN,China,JPN,Japan,97,97,0,0
MMR,Myanmar,NZL,New Zealand,96,58,38,0
LKA,Sri Lanka,SWE,Sweden,96,91,5,0
KGZ,Kyrgyzstan,AUT,Austria,96,88,8,0
LKA,Sri Lanka,ESP,Spain,95,65,30,0
NPL,Nepal,NZL,New Zealand,94,5,89,0
ARM,Armenia,CAN,Canada,92,31,61,0
CHN,China,CZE,Czechia,90,85,5,0
CHN,China,DNK,Denmark,90,80,10,0
CHN,China,MEX,Mexico,90,0,90,0
BGD,Bangladesh,CYP,Cyprus,90,20,70,0
IDN,Indonesia,DNK,Denmark,90,90,0,0
VNM,Viet Nam,SWE,Sweden,89,69,20,0
NPL,Nepal,CRI,Costa Rica,89,0,89,0
IND,India,CYP,Cyprus,88,12,76,0
KAZ,Kazakhstan,CZE,Czechia,86,59,27,0
GEO,Georgia,DNK,Denmark,86,71,15,0
AFG,Afghanistan,GEO,Georgia,85,76,9,0
PAK,Pakistan,HUN,Hungary,85,85,0,0
KGZ,Kyrgyzstan,BEL,Belgium,85,60,25,0
IND,India,NLD,Netherlands (Kingdom of the),84,32,52,0
PAK,Pakistan,MLT,Malta,84,44,40,0
AZE,Azerbaijan,NOR,Norway,84,64,20,0
UZB,Uzbekistan,CZE,Czechia,81,57,24,0
TJK,Tajikistan,UKR,Ukraine,81,19,62,0
TKM,Turkmenistan,GBR,United Kingdom of Great Britain and Northern Ireland,81,63,18,0
MMR,Myanmar,ITA,Italy,80,53,27,0
UZB,Uzbekistan,MEX,Mexico,79,0,79,0
LKA,Sri Lanka,FIN,Finland,78,28,50,0
LKA,Sri Lanka,GRC,Greece,77,20,57,0
KAZ,Kazakhstan,MEX,Mexico,75,0,75,0
HKG,Hong Kong SAR,BEL,Belgium,75,0,75,0
AZE,Azerbaijan,ROU,Romania,75,75,0,0
AFG,Afghanistan,ECU,Ecuador,74,68,6,0
UZB,Uzbekistan,ESP,Spain,74,49,25,0
ARM,Armenia,GBR,United Kingdom of Great Britain and Northern Ireland,74,48,26,0
BGD,Bangladesh,MYS,Malaysia,72,47,25,0
BGD,Bangladesh,NRU,Nauru,72,0,72,0
VNM,Viet Nam,PER,Peru,72,0,72,0
NPL,Nepal,IRL,Ireland,72,10,62,0
TJK,Tajikistan,LVA,Latvia,72,12,60,0
THA,Thailand,DEU,Germany,71,37,34,0
BRN,Brunei Darussalam,AUS,Australia,71,0,71,0
IND,India,PER,Peru,70,6,64,0
PAK,Pakistan,HRV,Croatia,70,13,57,0
LKA,Sri Lanka,CYP,Cyprus,70,32,38,0
PAK,Pakistan,ROU,Romania,69,56,13,0
NPL,Nepal,NLD,Netherlands (Kingdom of the),69,56,13,0
LKA,Sri Lanka,JPN,Japan,69,69,0,0
ARM,Armenia,RUS,Russian Federation,69,50,19,0
PAK,Pakistan,GHA,Ghana,68,68,0,0
VNM,Viet Nam,ISR,Israel,68,0,68,0
VNM,Viet Nam,ITA,Italy,68,56,12,0
KGZ,Kyrgyzstan,POL,Poland,68,25,43,0
BGD,Bangladesh,NZL,New Zealand,67,16,51,0
UZB,Uzbekistan,BEL,Belgium,67,44,23,0
MMR,Myanmar,FIN,Finland,65,45,20,0
TJK,Tajikistan,SWE,Sweden,65,51,14,0
CHN,China,POL,Poland,64,59,5,0
ARM,Armenia,SVK,Slovakia,64,64,0,0
GEO,Georgia,HUN,Hungary,64,64,0,0
UZB,Uzbekistan,AUS,Australia,63,11,52,0
LKA,Sri Lanka,IRL,Ireland,63,19,44,0
KGZ,Kyrgyzstan,ISR,Israel,62,0,62,0
GEO,Georgia,CZE,Czechia,62,52,10,0
FJI,Fiji,CAN,Canada,62,25,37,0
AFG,Afghanistan,RWA,Rwanda,61,61,0,0
THA,Thailand,CAN,Canada,61,22,39,0
PAK,Pakistan,BGR,Bulgaria,60,37,23,0
MMR,Myanmar,PAK,Pakistan,60,28,32,0
GEO,Georgia,NOR,Norway,59,51,8,0
PHL,Philippines,PER,Peru,58,5,53,0
THA,Thailand,ITA,Italy,58,0,58,0
ARM,Armenia,ROU,Romania,58,58,0,0
BGD,Bangladesh,CHE,Switzerland,57,44,13,0
IND,India,SWE,Sweden,56,29,27,0
AFG,Afghanistan,PHL,Philippines,56,50,6,0
TJK,Tajikistan,ITA,Italy,56,17,39,0
UZB,Uzbekistan,DNK,Denmark,54,48,6,0
