division_name,district_name,upazila_name,facilities,active_facilities,coordinate_facilities,catchment_facilities,principal_tier_facilities,clinical_tier_facilities,emergency_facilities,opd_facilities,ipd_facilities,approved_beds,coordinate_coverage_pct,catchment_coverage_pct
Sylhet,Sunamganj,,1,1,0,1,0,0,0,0,0,0,0.0,100.0
Sylhet,Sylhet,,28,28,1,28,10,10,0,0,0,0,3.57,100.0
Chattogram,Bandarban,Ruma,20,20,1,20,2,17,1,1,1,10,5.0,100.0
Dhaka,Dhaka,,122,122,11,122,86,86,6,6,5,2575,9.02,100.0
Chattogram,Cumilla,,11,11,1,11,5,5,1,1,1,500,9.09,100.0
Rangpur,Rangpur,,17,17,2,17,8,8,1,1,1,1000,11.76,100.0
Khulna,Khulna,,16,16,2,16,11,11,1,1,1,250,12.5,100.0
Dhaka,Tangail,,8,8,1,8,5,5,1,1,1,500,12.5,100.0
Dhaka,Kishoreganj,,6,6,1,6,1,1,1,1,1,500,16.67,100.0
Khulna,Kushtia,,6,6,1,6,1,1,0,0,0,500,16.67,100.0
Barishal,Patuakhali,Rangabali,17,17,3,17,0,14,0,0,0,31,17.65,100.0
Khulna,Khulna,Daulatpur,22,22,4,22,11,11,0,0,0,20,18.18,100.0
Chattogram,Khagrachari,Lakshmichari,21,21,4,21,1,15,2,2,1,31,19.05,100.0
Chattogram,Bandarban,Lama,46,46,9,46,4,40,2,2,1,60,19.57,100.0
Chattogram,Bandarban,Thanchi,17,17,4,17,3,14,2,3,2,31,23.53,100.0
Sylhet,Sunamganj,Sulla,23,23,6,23,2,23,1,1,1,31,26.09,100.0
Chattogram,Chattogram,,68,68,19,68,9,9,1,1,0,0,27.94,100.0
Chattogram,Khagrachari,Matiranga,44,44,13,44,3,34,1,1,1,47,29.55,100.0
Chattogram,Rangamati,Belaichari,19,19,6,19,3,15,1,3,1,50,31.58,100.0
Barishal,Barishal,Mehendiganj,66,66,23,66,5,52,16,14,1,90,34.85,100.0
Mymensingh,Netrakona,Madan,37,37,13,37,4,32,1,2,1,53,35.14,100.0
Rajshahi,Rajshahi,Matihar,8,8,3,8,6,6,0,0,0,20,37.5,100.0
Chattogram,Khagrachari,Dighinala,37,37,14,37,2,31,2,3,0,31,37.84,100.0
Dhaka,Tangail,Delduar,42,42,16,42,4,37,2,11,1,31,38.1,100.0
Chattogram,Bandarban,Rowangchari,23,23,9,23,3,19,2,10,1,31,39.13,100.0
Chattogram,Chandpur,Haimchar,23,23,9,23,3,20,2,2,1,41,39.13,100.0
Dhaka,Dhaka,Shyampur,55,55,22,55,43,44,0,0,0,580,40.0,100.0
Mymensingh,Netrakona,Purbadhala,50,50,20,50,5,49,1,4,1,56,40.0,100.0
Dhaka,Manikganj,Shibalaya,45,45,18,45,6,41,14,11,4,102,40.0,100.0
Khulna,Khulna,Khalishpur,30,30,12,30,14,15,0,0,0,80,40.0,100.0
Chattogram,Bandarban,Naikhongchari,25,25,10,25,2,23,1,3,1,50,40.0,100.0
Chattogram,Rangamati,Juraichari,20,20,8,20,2,17,1,2,1,10,40.0,100.0
Dhaka,Gopalganj,Muksudpur,97,97,40,97,14,82,4,1,1,210,41.24,100.0
Sylhet,Sunamganj,Dharampasha,48,48,20,48,4,39,1,1,1,70,41.67,100.0
Chattogram,Khagrachari,Manikchari,26,26,11,26,2,20,1,1,1,60,42.31,100.0
Mymensingh,Jamalpur,Islampur,89,89,38,89,4,80,1,1,1,70,42.7,100.0
Chattogram,Rangamati,Rajasthali,23,23,10,23,3,18,1,4,1,50,43.48,100.0
Chattogram,Cox's Bazar,Teknaf,41,41,18,41,3,24,2,8,2,70,43.9,100.0
Dhaka,Gopalganj,Kashiani,89,89,40,89,14,66,5,5,2,220,44.94,100.0
Dhaka,Kishoreganj,Bajitpur,55,55,25,55,4,43,1,1,1,550,45.45,100.0
Khulna,Khulna,Koyra,55,55,25,55,4,50,3,4,1,92,45.45,100.0
Dhaka,Kishoreganj,Itna,41,41,19,41,4,39,2,16,1,50,46.34,100.0
Chattogram,Bandarban,Alikadam,15,15,7,15,3,11,3,6,1,31,46.67,100.0
Dhaka,Shariatpur,Zanjira,49,49,23,49,6,42,2,2,1,60,46.94,100.0
Mymensingh,Mymensingh,Gouripur,48,48,23,48,1,47,2,35,1,50,47.92,100.0
Chattogram,Khagrachari,Panchhari,29,29,14,29,1,19,2,7,1,10,48.28,100.0
Mymensingh,Netrakona,Mohanganj,41,41,20,41,5,26,1,1,1,110,48.78,100.0
Chattogram,Cox's Bazar,Ramu,57,57,28,57,8,47,1,3,1,80,49.12,100.0
Sylhet,Sunamganj,Sunamganj Sadar,98,98,49,98,18,62,2,3,1,420,50.0,100.0
Dhaka,Dhaka,Kamrangir Char,50,50,25,50,33,33,1,1,1,161,50.0,100.0
Dhaka,Dhaka,Lalbag,42,42,21,42,17,18,0,0,0,70,50.0,100.0
Mymensingh,Netrakona,Barhatta,30,30,15,30,2,28,1,2,1,50,50.0,100.0
Chattogram,Cox's Bazar,Kutubdia,24,24,12,24,4,22,1,1,1,50,50.0,100.0
Rangpur,Dinajpur,Hakimpur,20,20,10,20,2,13,1,1,1,50,50.0,100.0
Rajshahi,Rajshahi,Shah Makhdum,10,10,5,10,6,8,0,0,0,500,50.0,100.0
Mymensingh,Mymensingh,Haluaghat,57,57,29,57,6,46,1,5,1,120,50.88,100.0
Barishal,Barishal,Hizla,39,39,20,39,6,32,7,5,1,90,51.28,100.0
Dhaka,Gopalganj,Tungipara,39,39,20,39,8,30,2,1,1,130,51.28,100.0
Rangpur,Rangpur,Kaunia,35,35,18,35,5,32,3,3,2,81,51.43,100.0
Chattogram,Chattogram,Chittogram Port,33,33,17,33,9,17,0,0,0,80,51.52,100.0
Dhaka,Dhaka,Sabujbag,33,33,17,33,23,23,0,0,0,96,51.52,100.0
Sylhet,Sylhet,Osmaninagar,33,33,17,33,2,33,0,0,0,10,51.52,100.0
Rangpur,Gaibandha,Sundarganj,98,98,51,98,5,83,2,11,1,70,52.04,100.0
Barishal,Bhola,Daulatkhan,46,46,24,46,6,38,1,1,1,90,52.17,100.0
Barishal,Bhola,Manpura,23,23,12,23,3,22,3,10,1,50,52.17,100.0
Dhaka,Dhaka,Khilgaon,63,63,33,63,41,44,0,0,0,928,52.38,100.0
Sylhet,Sylhet,Dakshin Surma,38,38,20,38,6,35,1,3,1,885,52.63,100.0
Mymensingh,Sherpur,Nakla,53,53,28,53,2,43,1,1,1,50,52.83,100.0
Chattogram,Khagrachari,Khagrachari Sadar,51,51,27,51,9,35,2,2,2,203,52.94,100.0
Chattogram,Rangamati,Kaptai,26,26,14,26,7,19,1,8,1,120,53.85,100.0
Chattogram,Brahmanbaria,Sarail,46,46,25,46,5,39,2,1,1,80,54.35,100.0
Dhaka,Kishoreganj,Karimganj,62,62,34,62,6,52,1,2,1,550,54.84,100.0
Chattogram,Khagrachari,Mahalchari,29,29,16,29,2,24,2,6,1,31,55.17,100.0
Barishal,Jhalokathi,Nalchity,52,52,29,52,6,46,2,6,1,90,55.77,100.0
Dhaka,Rajbari,Goalanda,34,34,19,34,3,26,2,19,1,50,55.88,100.0
Chattogram,Chattogram,Sandwip,66,66,37,66,8,61,4,6,1,140,56.06,100.0
Mymensingh,Netrakona,Khaliajuri,16,16,9,16,0,15,1,1,1,31,56.25,100.0
Chattogram,Bandarban,Bandarban Sadar,46,46,26,46,6,37,3,4,2,150,56.52,100.0
Dhaka,Manikganj,Harirampur,53,53,30,53,5,46,3,21,1,60,56.6,100.0
Sylhet,Sylhet,Jaintiapur,30,30,17,30,3,24,1,1,1,70,56.67,100.0
Rangpur,Thakurgaon,Haripur,28,28,16,28,3,27,16,17,1,50,57.14,100.0
Dhaka,Madaripur,Shibchar,122,122,70,122,22,100,2,5,1,301,57.38,100.0
Rangpur,Thakurgaon,Baliadangi,40,40,23,40,2,38,1,1,1,60,57.5,100.0
Chattogram,Cox's Bazar,Pekua,33,33,19,33,6,28,1,10,1,71,57.58,100.0
Chattogram,Rangamati,Baghaichari,33,33,19,33,2,28,1,12,1,31,57.58,100.0
Rajshahi,Sirajganj,Chauhali,33,33,19,33,5,29,7,7,0,651,57.58,100.0
Chattogram,Feni,Parshuram,26,26,15,26,4,20,1,2,1,50,57.69,100.0
Rangpur,Kurigram,Phulbari,45,45,26,45,3,40,1,1,1,60,57.78,100.0
Dhaka,Munshiganj,Tongibari,57,57,33,57,9,41,1,1,1,130,57.89,100.0
Mymensingh,Mymensingh,Bhaluka,112,112,65,112,22,84,2,4,1,241,58.04,100.0
Rangpur,Thakurgaon,Pirganj,55,55,32,55,4,51,1,4,1,80,58.18,100.0
Dhaka,Gopalganj,Gopalganj Sadar,178,178,104,178,51,123,6,7,2,1315,58.43,100.0
Rangpur,Lalmonirhat,Patgram,58,58,34,58,5,48,2,2,1,80,58.62,100.0
Chattogram,Brahmanbaria,Nasirnagar,46,46,27,46,5,38,2,3,1,80,58.7,100.0
Rajshahi,Pabna,Sujanagar,61,61,36,61,5,48,2,3,2,80,59.02,100.0
Rangpur,Kurigram,Rajarhat,49,49,29,49,3,42,3,3,1,55,59.18,100.0
Sylhet,Habiganj,Baniachong,49,49,29,49,2,41,1,4,1,52,59.18,100.0
Barishal,Jhalokathi,Rajapur,37,37,22,37,8,33,3,5,2,100,59.46,100.0
Rangpur,Rangpur,Badarganj,52,52,31,52,8,48,3,11,2,70,59.62,100.0
Sylhet,Maulvibazar,Barlekha,52,52,31,52,6,38,1,1,1,96,59.62,100.0
Dhaka,Tangail,Gopalpur,57,57,34,57,8,45,2,1,1,112,59.65,100.0
Mymensingh,Jamalpur,Dewanganj,53,53,32,53,5,44,2,4,2,72,60.38,100.0
Barishal,Barishal,Muladi,48,48,29,48,4,38,1,3,1,81,60.42,100.0
Sylhet,Habiganj,Nabiganj,71,71,43,71,4,56,2,13,1,60,60.56,100.0
Chattogram,Chattogram,Sitakunda,66,66,40,66,13,45,2,4,3,370,60.61,100.0
Rangpur,Panchagarh,Tentulia,28,28,17,28,4,25,2,1,1,50,60.71,100.0
Sylhet,Sunamganj,Tahirpur,36,36,22,36,2,27,4,3,2,50,61.11,100.0
Sylhet,Sunamganj,Chhatak,67,67,41,67,7,54,2,6,1,105,61.19,100.0
Khulna,Jhenaidah,Kotchandpur,44,44,27,44,11,32,2,3,1,131,61.36,100.0
Dhaka,Manikganj,Saturia,57,57,35,57,7,49,3,6,1,104,61.4,100.0
Sylhet,Sylhet,Golapganj,57,57,35,57,4,48,1,3,1,68,61.4,100.0
Dhaka,Manikganj,Daulatpur,39,39,24,39,3,35,1,2,1,62,61.54,100.0
Sylhet,Maulvibazar,Kulaura,94,94,58,94,14,68,3,2,2,182,61.7,100.0
Mymensingh,Sherpur,Sherpur Sadar,196,196,121,196,39,120,1,1,1,720,61.73,100.0
Dhaka,Dhaka,Kotwali,34,34,21,34,20,20,1,1,1,1670,61.76,100.0
Dhaka,Manikganj,Ghior,42,42,26,42,4,37,1,15,2,60,61.9,100.0
Mymensingh,Netrakona,Kalmakanda,50,50,31,50,2,43,1,2,1,60,62.0,100.0
Mymensingh,Sherpur,Nalitabari,64,64,40,64,2,54,3,33,2,60,62.5,100.0
Dhaka,Shariatpur,Damudya,32,32,20,32,7,27,2,2,0,80,62.5,100.0
Rangpur,Dinajpur,Khansama,32,32,20,32,6,31,3,3,1,50,62.5,100.0
Sylhet,Sylhet,Kotwali,8,8,5,8,4,4,3,3,2,1056,62.5,100.0
Mymensingh,Sherpur,Sreebardi,67,67,42,67,4,58,3,4,1,60,62.69,100.0
Dhaka,Kishoreganj,Nikli,35,35,22,35,5,31,1,24,1,60,62.86,100.0
Mymensingh,Mymensingh,Dhobaura,38,38,24,38,1,33,1,3,1,50,63.16,100.0
Dhaka,Tangail,Bhuapur,55,55,35,55,9,40,2,16,1,80,63.64,100.0
Sylhet,Sylhet,Fenchuganj,22,22,14,22,3,17,1,2,1,60,63.64,100.0
Dhaka,Narayanganj,Bandar,47,47,30,47,14,37,1,5,1,270,63.83,100.0
Dhaka,Shariatpur,Naria,72,72,46,72,14,60,1,30,1,150,63.89,100.0
Dhaka,Faridpur,Nagarkanda,36,36,23,36,2,31,1,1,2,60,63.89,100.0
Chattogram,Brahmanbaria,Banchharampur,61,61,39,61,7,51,3,20,12,140,63.93,100.0
Sylhet,Sylhet,Beanibazar,61,61,39,61,10,47,3,7,1,187,63.93,100.0
Rajshahi,Pabna,Bera,78,78,50,78,18,55,6,10,5,200,64.1,100.0
Mymensingh,Sherpur,Jhenaigati,39,39,25,39,2,37,3,14,1,52,64.1,100.0
Dhaka,Dhaka,Pallabi,56,56,36,56,29,29,0,0,0,626,64.29,100.0
Barishal,Bhola,Bhola Sadar,118,118,76,118,29,84,1,3,1,720,64.41,100.0
Chattogram,Cumilla,Muradnagar,118,118,76,118,12,93,4,10,2,140,64.41,100.0
Khulna,Jashore,Abhaynagar,68,68,44,68,12,57,8,8,3,151,64.71,100.0
Rangpur,Thakurgaon,Ranisankail,51,51,33,51,5,46,4,11,1,81,64.71,100.0
Dhaka,Faridpur,Sadarpur,37,37,24,37,5,27,1,3,2,70,64.86,100.0
Khulna,Jashore,Monirampur,107,107,70,107,10,91,1,20,1,140,65.42,100.0
Chattogram,Rangamati,Rangamati Sadar,61,61,40,61,11,37,3,14,1,672,65.57,100.0
Rangpur,Gaibandha,Saghata,70,70,46,70,6,58,1,3,1,70,65.71,100.0
Barishal,Patuakhali,Dumki,35,35,23,35,7,26,1,8,2,71,65.71,100.0
Dhaka,Kishoreganj,Austagram,35,35,23,35,3,31,6,5,1,51,65.71,100.0
Sylhet,Habiganj,Bahubal,35,35,23,35,4,28,1,17,2,60,65.71,100.0
Chattogram,Chattogram,Kotwali,41,41,27,41,16,18,1,2,1,330,65.85,100.0
Dhaka,Narsingdi,Belabo,53,53,35,53,7,46,2,22,1,110,66.04,100.0
Mymensingh,Netrakona,Durgapur,62,62,41,62,8,47,2,9,1,110,66.13,100.0
Khulna,Narail,Lohagara,89,89,59,89,23,69,6,5,1,245,66.29,100.0
Chattogram,Cox's Bazar,Cox's Bazar Sadar,107,107,71,107,29,71,1,1,1,685,66.36,100.0
Dhaka,Rajbari,Rajbari Sadar,119,119,79,119,22,85,1,9,1,390,66.39,100.0
Chattogram,Chandpur,Kachua,93,93,62,93,19,67,3,3,1,200,66.67,100.0
Dhaka,Munshiganj,Munshiganj Sadar,93,93,62,93,18,52,5,9,1,385,66.67,100.0
Dhaka,Dhaka,Tejgaon,81,81,54,81,38,42,1,1,0,1151,66.67,100.0
Chattogram,Noakhali,Hatiya,75,75,50,75,6,59,1,1,1,70,66.67,100.0
Sylhet,Habiganj,Chunarughat,57,57,38,57,3,47,3,26,2,70,66.67,100.0
Rangpur,Gaibandha,Fulchhari,36,36,24,36,3,33,1,2,1,50,66.67,100.0
Barishal,Bhola,Tazumuddin,30,30,20,30,4,27,16,2,2,50,66.67,100.0
Barishal,Pirojpur,Indurkani,27,27,18,27,4,21,1,1,0,61,66.67,100.0
Chattogram,Chattogram,Khulshi,21,21,14,21,16,16,0,0,0,1332,66.67,100.0
Dhaka,Faridpur,Char Bhadrasan,18,18,12,18,3,17,4,1,1,50,66.67,100.0
Dhaka,Dhaka,Sutrapur,15,15,10,15,10,10,0,0,0,140,66.67,100.0
Chattogram,Chattogram,Patenga,9,9,6,9,4,4,0,0,0,30,66.67,100.0
Dhaka,Gopalganj,Kotalipara,94,94,63,94,24,74,15,14,0,280,67.02,100.0
Dhaka,Shariatpur,Bhedarganj,70,70,47,70,9,60,2,3,1,350,67.14,100.0
Chattogram,Cox's Bazar,Chakaria,113,113,76,113,18,82,1,1,1,308,67.26,100.0
Dhaka,Madaripur,Madaripur Sadar,107,107,72,107,20,80,5,6,4,582,67.29,100.0
Chattogram,Lakshmipur,Ramgati,46,46,31,46,6,35,1,11,1,71,67.39,100.0
Sylhet,Maulvibazar,Juri,37,37,25,37,6,29,1,2,1,100,67.57,100.0
Khulna,Narail,Kalia,62,62,42,62,9,54,1,8,1,120,67.74,100.0
Khulna,Jashore,Jhikargacha,90,90,61,90,20,74,6,11,3,263,67.78,100.0
Rajshahi,Rajshahi,Baghmara,109,109,74,109,26,81,3,5,2,297,67.89,100.0
Rangpur,Nilphamari,Dimla,53,53,36,53,9,48,2,3,1,100,67.92,100.0
Chattogram,Feni,Chhagalnaiya,50,50,34,50,9,43,3,30,1,110,68.0,100.0
Khulna,Satkhira,Assasuni,72,72,49,72,7,67,5,14,6,81,68.06,100.0
Dhaka,Narayanganj,Rupganj,110,110,75,110,29,84,2,7,1,853,68.18,100.0
Barishal,Patuakhali,Galachipa,85,85,58,85,7,61,6,6,1,90,68.24,100.0
Khulna,Kushtia,Daulatpur,120,120,82,120,32,103,6,4,1,339,68.33,100.0
Chattogram,Feni,Sonagazi,54,54,37,54,2,45,4,40,3,60,68.52,100.0
Dhaka,Dhaka,Motijheel,54,54,37,54,13,16,0,2,1,224,68.52,100.0
Dhaka,Tangail,Madhupur,86,86,59,86,14,55,2,13,1,237,68.6,100.0
Chattogram,Cumilla,Titas,48,48,33,48,6,40,2,10,4,80,68.75,100.0
Dhaka,Faridpur,Saltha,32,32,22,32,1,28,2,4,0,50,68.75,100.0
Rangpur,Rangpur,Pirganj,93,93,64,93,2,85,2,9,1,55,68.82,100.0
Chattogram,Khagrachari,Ramgarh,29,29,20,29,3,21,1,7,1,60,68.97,100.0
Sylhet,Sylhet,Balaganj,29,29,20,29,4,24,13,20,1,31,68.97,100.0
Dhaka,Narsingdi,Roypura,100,100,69,100,5,86,3,4,1,80,69.0,100.0
Dhaka,Munshiganj,Serajdikhan,113,113,78,113,18,81,11,25,17,240,69.03,100.0
Dhaka,Faridpur,Bhanga,78,78,54,78,10,58,1,1,2,185,69.23,100.0
Rangpur,Panchagarh,Panchagarh Sadar,65,65,45,65,18,54,1,1,1,220,69.23,100.0
Chattogram,Rangamati,Langadu,52,52,36,52,5,46,10,33,1,53,69.23,100.0
Khulna,Kushtia,Kumarkhali,75,75,52,75,11,64,5,38,1,182,69.33,100.0
Dhaka,Kishoreganj,Kuliarchar,36,36,25,36,5,29,3,2,2,83,69.44,100.0
Rajshahi,Rajshahi,Boalia,46,46,32,46,24,27,0,0,0,620,69.57,100.0
Khulna,Khulna,Khulna Sadar,172,172,120,172,77,80,1,1,1,2205,69.77,100.0
Chattogram,Chattogram,Rangunia,73,73,51,73,3,59,1,31,1,109,69.86,100.0
Rangpur,Nilphamari,Nilphamari Sadar,93,93,65,93,17,80,5,3,1,880,69.89,100.0
Mymensingh,Jamalpur,Sarishabari,80,80,56,80,6,65,2,10,1,100,70.0,100.0
Khulna,Magura,Mohammadpur,50,50,35,50,9,40,5,6,1,120,70.0,100.0
Sylhet,Sylhet,Zakiganj,50,50,35,50,5,43,1,27,1,70,70.0,100.0
Chattogram,Chattogram,Chandgaon,30,30,21,30,10,10,0,0,0,568,70.0,100.0
Sylhet,Sunamganj,Bishwambarpur,30,30,21,30,2,24,1,2,1,50,70.0,100.0
Dhaka,Dhaka,Uttar Khan,10,10,7,10,4,5,0,0,0,60,70.0,100.0
Khulna,Khulna,Khan Jahan Ali,10,10,7,10,6,6,2,0,2,150,70.0,100.0
Chattogram,Chandpur,Matlab Dakshin,67,67,47,67,17,47,2,5,1,180,70.15,100.0
Rangpur,Kurigram,Kurigram Sadar,101,101,71,101,22,72,5,6,2,472,70.3,100.0
Rangpur,Kurigram,Rajibpur,27,27,19,27,3,19,1,4,1,60,70.37,100.0
Rangpur,Rangpur,Mithapukur,98,98,69,98,8,89,6,20,11,90,70.41,100.0
Rajshahi,Rajshahi,Godagari,68,68,48,68,11,56,2,2,1,137,70.59,100.0
Rajshahi,Sirajganj,Sirajganj Sadar,167,167,118,167,51,110,4,6,3,1816,70.66,100.0
Dhaka,Kishoreganj,Pakundia,58,58,41,58,7,49,28,6,3,97,70.69,100.0
Khulna,Jashore,Bagherpara,58,58,41,58,10,48,3,8,1,120,70.69,100.0
Rangpur,Lalmonirhat,Kaliganj,58,58,41,58,5,48,2,4,2,50,70.69,100.0
Dhaka,Faridpur,Alfadanga,41,41,29,41,10,29,2,12,2,100,70.73,100.0
Rangpur,Dinajpur,Chirirbandar,65,65,46,65,11,60,23,3,2,80,70.77,100.0
Khulna,Satkhira,Tala,72,72,51,72,8,66,2,2,2,100,70.83,100.0
Mymensingh,Mymensingh,Tarakanda,55,55,39,55,2,49,3,3,0,63,70.91,100.0
Rajshahi,Rajshahi,Durgapur,38,38,27,38,4,30,1,13,0,80,71.05,100.0
Barishal,Bhola,Charfession,135,135,96,135,18,101,2,4,2,250,71.11,100.0
Dhaka,Tangail,Basail,45,45,32,45,6,34,1,6,1,80,71.11,100.0
Khulna,Khulna,Dacope,45,45,32,45,5,38,3,2,1,70,71.11,100.0
Rajshahi,Bogura,Kahaloo,45,45,32,45,5,41,6,17,3,70,71.11,100.0
Dhaka,Munshiganj,Lohajang,52,52,37,52,8,39,1,18,1,100,71.15,100.0
Rangpur,Gaibandha,Palashbari,66,66,47,66,4,51,1,2,1,84,71.21,100.0
Khulna,Narail,Narail Sadar,101,101,72,101,21,67,10,12,1,312,71.29,100.0
Chattogram,Chattogram,Banshkhali,77,77,55,77,9,63,4,3,1,160,71.43,100.0
Khulna,Kushtia,Khoksa,42,42,30,42,6,32,15,18,1,90,71.43,100.0
Chattogram,Rangamati,Barkal,28,28,20,28,3,25,3,19,1,10,71.43,100.0
Chattogram,Chattogram,Halishahar,21,21,15,21,10,10,0,0,0,140,71.43,100.0
Dhaka,Narsingdi,Manohardi,95,95,68,95,12,72,1,2,1,180,71.58,100.0
Khulna,Jhenaidah,Maheshpur,74,74,53,74,19,67,3,3,1,220,71.62,100.0
Khulna,Khulna,Dighalia,39,39,28,39,7,29,1,3,1,110,71.79,100.0
Chattogram,Chattogram,Lohagara,71,71,51,71,12,50,2,28,1,250,71.83,100.0
Dhaka,Tangail,Mirzapur,135,135,97,135,28,95,2,36,2,1342,71.85,100.0
Barishal,Pirojpur,Pirojpur Sadar,96,96,69,96,27,63,2,3,1,410,71.88,100.0
