division_name,district_name,upazila_name,coordinate_facilities,clinical_tier_facilities,buildings_nearest_1km_all,buildings_nearest_3km_all,buildings_nearest_5km_all,buildings_nearest_1km_p85,buildings_nearest_3km_p85,buildings_nearest_5km_p85,buildings_nearest_1km_p90,buildings_nearest_3km_p90,buildings_nearest_5km_p90
Khulna,Jhenaidah,Shailkupa,63,52,64401,138370,138570,32907,70560,70663,18262,39135,39198
Chattogram,Cumilla,Muradnagar,76,53,79823,142783,143282,39486,70558,70813,21430,38266,38408
Rajshahi,Sirajganj,Shahjadpur,94,71,58239,139678,151539,28707,69772,76105,15083,36748,40159
Rangpur,Gaibandha,Gobindaganj,124,90,81625,152275,153560,36753,69353,70133,17002,32315,32809
Dhaka,Dhaka,Keraniganj,108,63,89099,127674,127674,49014,68659,68659,28930,39734,39734
Sylhet,Sylhet,Sylhet Sadar,182,94,78619,131590,137768,41184,68056,70979,23962,38564,39956
Dhaka,Gazipur,Kapasia,97,72,77149,140514,140683,37653,67490,67580,18781,33251,33294
Chattogram,Cox's Bazar,Chakaria,76,47,67123,156024,174326,29709,66845,74927,14356,31352,35211
Khulna,Chuadanga,Chuadanga Sadar,84,50,51449,123486,129085,27681,66259,69384,16173,38417,40332
Chattogram,Cumilla,Chauddagram,88,72,69835,129309,129309,35984,66011,66011,20134,36825,36825
Rajshahi,Pabna,Santhia,75,53,62785,117592,118297,35441,65932,66342,21133,39364,39604
Mymensingh,Netrakona,Netrokona Sadar,101,61,59844,136287,152549,29574,65829,73793,14933,32790,36786
Rajshahi,Sirajganj,Sirajganj Sadar,118,64,59092,141442,164998,27452,65694,75947,14079,32691,37280
Chattogram,Cumilla,Daudkandi,134,75,80782,128131,128540,41259,64650,64834,22437,34935,35032
Khulna,Jashore,Sharsha,75,63,57354,120104,121632,31062,64431,65320,18118,37116,37603
Rajshahi,Sirajganj,Royganj,72,60,40911,121628,136521,22315,63822,70859,12341,34000,37416
Chattogram,Feni,Feni Sadar,134,77,76271,117660,117669,42122,63808,63812,24884,36972,36975
Dhaka,Narayanganj,Araihazar,71,58,78922,126821,126821,40014,63684,63684,21428,33936,33936
Khulna,Meherpur,Gangni,65,46,46739,121299,131473,24854,63538,68662,14355,35894,38647
Dhaka,Tangail,Nagarpur,50,45,54440,115681,118105,29616,63203,64629,16812,36159,37025
Rajshahi,Bogura,Dhunat,58,43,58911,113584,115419,32844,63140,64122,18441,35314,35856
Mymensingh,Sherpur,Sherpur Sadar,121,77,70329,133922,138053,32906,62757,64787,16447,31073,32118
Khulna,Chuadanga,Alamdanga,76,57,63462,121190,126386,32522,61614,64455,17760,33668,35372
Rajshahi,Sirajganj,Ullahpara,120,95,50407,118155,141061,25734,61315,73659,13573,32436,39119
Dhaka,Gazipur,Sreepur,141,89,66842,118213,118746,34894,61289,61552,17655,30986,31112
Rangpur,Thakurgaon,Pirganj,32,31,34817,124479,142036,17813,61258,70208,9369,30724,35157
Rajshahi,Naogaon,Naogaon Sadar,129,82,81632,128048,128396,39148,60943,61147,20900,32294,32405
Khulna,Jashore,Jhikargacha,61,48,54501,111718,112407,29420,60553,60921,17279,35454,35661
Rajshahi,Pabna,Ishwardi,87,50,82156,118639,118653,41846,60308,60314,23117,33081,33082
Chattogram,Chattogram,Hathazari,63,45,85788,139926,140301,36896,60276,60459,17022,27841,27928
Dhaka,Tangail,Kalihati,88,67,66060,112374,112782,35153,60225,60502,19743,34064,34245
Rangpur,Dinajpur,Parbatipur,61,49,40506,115821,145263,21098,59965,74360,11152,31897,39318
Dhaka,Tangail,Madhupur,59,34,43543,111510,114722,23468,59854,61680,13123,33261,34323
Dhaka,Tangail,Ghatail,92,73,51457,110219,110666,27632,59511,59791,15410,33055,33216
Mymensingh,Mymensingh,Muktagacha,65,52,53996,111674,114565,29343,59452,61067,16276,32490,33422
Dhaka,Faridpur,Faridpur Sadar,191,92,59273,122248,129725,29219,59386,62880,16017,31782,33582
Barishal,Barishal,Barishal Sadar,198,89,72696,109984,112179,40696,59281,60455,24650,35055,35782
Khulna,Jashore,Chaugacha,54,46,51309,109199,110256,27932,58806,59351,16440,34433,34743
Chattogram,Cumilla,Debidwar,105,76,79968,127459,132376,36565,58108,60662,18426,28913,30124
Dhaka,Tangail,Mirzapur,97,72,59061,111549,111586,31119,57745,57766,16251,29838,29853
Chattogram,Noakhali,Begumganj,108,74,75426,132216,134538,33667,57573,58541,16767,28052,28497
Rangpur,Panchagarh,Debiganj,40,37,39963,113853,134857,20107,57336,67780,10683,30310,35719
Rajshahi,Naogaon,Manda,85,67,61120,115871,117456,30574,56862,57603,16545,30635,31013
Rangpur,Thakurgaon,Ranisankail,33,30,41294,110328,113720,21474,56072,57658,11652,29976,30803
Dhaka,Narsingdi,Roypura,69,57,86909,127508,127508,37362,55495,55495,18505,27652,27652
Dhaka,Gazipur,Kaliakair,79,62,57651,106412,106412,29962,55051,55051,15809,28822,28822
Dhaka,Munshiganj,Serajdikhan,78,46,62132,114832,115376,30063,55037,55320,15996,28677,28811
Mymensingh,Mymensingh,Fulbaria,71,51,41089,104861,107545,21420,54977,56486,11079,28956,29809
Rajshahi,Bogura,Shibganj,81,64,66283,117336,117336,31310,54869,54869,15492,27170,27170
Chattogram,Lakshmipur,Lakshmipur Sadar,187,108,72574,127592,130178,30486,54754,55984,14475,26446,27106
Khulna,Jhenaidah,Maheshpur,53,47,45644,109661,115186,22738,54561,57389,12313,29634,31186
Rangpur,Nilphamari,Jaldhaka,62,54,34773,112026,139136,16917,54520,67650,8552,27832,34414
Dhaka,Gopalganj,Gopalganj Sadar,104,58,44586,103688,115949,24021,54406,60654,14069,30630,34062
Chattogram,Chattogram,Patiya,83,69,89972,118606,119090,40568,53423,53671,19434,25482,25605
Chattogram,Cumilla,Nangalkot,68,61,74668,116425,116425,34314,53191,53191,17376,26882,26882
Dhaka,Kishoreganj,Kishoreganj Sadar,104,51,62618,111815,115278,30355,53187,54652,15153,26089,26769
Chattogram,Brahmanbaria,Kasba,86,44,56890,103418,105978,29061,52952,54242,15463,28272,28893
Khulna,Kushtia,Mirpur,53,45,43053,109475,121570,20797,51769,57303,10608,25693,28310
Rangpur,Kurigram,Nageshwari,78,61,38762,110808,127907,18016,51738,59623,8734,25189,29004
Dhaka,Munshiganj,Munshiganj Sadar,62,28,68262,105189,108321,33592,51500,53275,17974,27371,28423
Rajshahi,Naogaon,Niamatpur,53,42,27200,89443,92393,15817,50514,52069,9622,30346,31170
Chattogram,Cumilla,Chandina,81,47,57961,112824,114666,26317,50388,51239,13246,25015,25463
Chattogram,Chandpur,Matlab Uttar,67,57,63393,105670,107704,29757,49830,51010,14825,25062,25792
Khulna,Khulna,Paikgacha,81,57,50487,101917,105285,25063,49783,51547,11306,22244,23178
Khulna,Jhenaidah,Jhenaidah Sadar,117,68,54901,93777,94698,29932,49728,50186,17567,28520,28794
Sylhet,Habiganj,Chunarughat,38,32,28787,91814,106758,15633,49140,57183,8652,27290,31937
Khulna,Magura,Magura Sadar,123,81,44144,97702,99324,22378,48924,49764,12480,26788,27294
Rajshahi,Natore,Natore Sadar,125,64,53073,96188,96993,27847,48712,49153,15449,26313,26560
Rajshahi,Bogura,Shajahanpur,41,34,48000,85175,86550,27797,48465,49203,16441,27891,28335
Dhaka,Gazipur,Kaliganj,68,48,62500,100847,100847,29800,48259,48259,14975,24198,24198
Rangpur,Nilphamari,Domar,46,39,37218,99467,106445,18212,47915,51206,9630,24805,26413
Rajshahi,Natore,Singra,71,61,48628,101597,103188,23092,47885,48727,11471,23606,24019
Chattogram,Brahmanbaria,Banchharampur,39,31,46395,100441,100744,22171,47635,47785,11903,25323,25408
Rajshahi,Naogaon,Mahadebpur,75,59,39606,90048,90085,21015,47495,47511,11993,27053,27063
Dhaka,Narsingdi,Shibpur,56,45,71396,116671,116671,29850,47190,47190,14379,22058,22058
Barishal,Patuakhali,Kalapara,70,46,41100,92023,94068,21733,46878,47876,12119,25202,25692
Mymensingh,Mymensingh,Trishal,65,56,42593,86607,87416,23599,46629,47104,13109,25345,25611
Chattogram,Chattogram,Rangunia,51,41,65007,99004,99110,30301,46616,46672,14525,22786,22811
Rangpur,Dinajpur,Birganj,51,45,21138,91418,131282,11288,46576,65887,6153,24852,35005
Khulna,Kushtia,Bheramara,65,42,29211,96134,108702,14456,46457,52804,7661,24261,27670
Khulna,Khulna,Batiaghata,43,37,33149,79668,80408,19573,46355,46715,12417,28836,29038
Rajshahi,Rajshahi,Puthia,68,46,48404,88759,90102,25574,46289,47120,14521,25799,26284
Chattogram,Cumilla,Laksam,72,40,52850,101858,101858,24854,46219,46219,12668,22831,22831
Rajshahi,Joypurhat,Joypurhat Sadar,90,60,53382,91964,93834,27242,46218,47151,14757,24811,25340
Rajshahi,Bogura,Sherpur,82,60,60050,94634,95332,29721,46190,46519,15188,23319,23486
Khulna,Jashore,Keshabpur,64,49,42220,82593,83504,23808,45728,46272,13677,25974,26287
Mymensingh,Jamalpur,Melandaha,60,54,47394,87789,89092,24556,45596,46253,13194,24682,25015
Mymensingh,Netrakona,Kendua,48,44,40433,98940,107102,18755,45334,49259,8947,21562,23510
Chattogram,Chattogram,Mirsharai,86,57,51864,91957,94152,25284,45321,46616,12993,23589,24394
Chattogram,Cumilla,Burichang,66,49,58575,93802,94497,28121,45313,45662,14448,23536,23706
Khulna,Kushtia,Daulatpur,82,68,29658,90081,113070,15205,45016,56869,8204,23599,29762
Khulna,Satkhira,Kalaroa,51,46,37717,86188,86529,19703,44589,44743,11197,25213,25299
Rajshahi,Bogura,Gabtali,47,45,51612,89177,89179,25378,44518,44519,12647,22373,22373
Rajshahi,Naogaon,Patnitala,76,59,35772,84215,86231,19147,44195,45325,10935,24487,25143
Rangpur,Rangpur,Pirganj,64,58,32361,89674,106334,15529,43881,52249,7981,22855,27317
Rangpur,Lalmonirhat,Lalmonirhat Sadar,71,52,43781,93214,100261,21222,43771,46999,9746,19723,21173
Rangpur,Gaibandha,Gaibandha Sadar,135,76,60704,91318,95594,28752,43651,46455,14173,21710,23458
Chattogram,Chandpur,Chandpur Sadar,132,57,60814,95655,95768,28983,43515,43560,15113,21987,22009
Mymensingh,Mymensingh,Phulpur,57,44,36757,84782,92378,18928,43277,47020,10130,23048,24963
Khulna,Jhenaidah,Kaliganj,74,54,41953,82681,82714,21769,42917,42935,11985,23791,23804
Khulna,Satkhira,Shyamnagar,73,55,49085,110217,115842,19697,42697,45007,7377,14704,15425
Dhaka,Dhaka,Nawabganj,74,60,44914,87757,88904,21434,42682,43268,10569,21222,21498
Rajshahi,Natore,Lalpur,62,44,41582,85020,85235,20595,42161,42285,10600,21785,21860
Khulna,Narail,Narail Sadar,72,42,35676,76346,80080,20191,42156,44078,11970,24231,25258
Khulna,Jashore,Abhaynagar,44,36,35912,76874,76876,19528,41994,41995,11144,23827,23828
Mymensingh,Jamalpur,Bakshiganj,46,36,28328,78304,83901,15476,41979,44915,8803,23707,25273
Chattogram,Chandpur,Kachua,62,39,38904,92301,95521,17157,41896,43412,8535,21470,22246
Rajshahi,Rajshahi,Baghmara,74,48,35165,87759,96611,16392,41761,45876,8212,21282,23064
Sylhet,Maulvibazar,Maulvibazar Sadar,114,69,42887,78366,88892,22913,41309,47473,12208,21524,25086
Chattogram,Chattogram,Satkania,86,67,64249,95859,97955,27646,41278,42269,12628,18907,19428
Rajshahi,Chapainawabganj,Gomastapur,68,49,52731,86880,87429,24215,41125,41402,12336,21548,21725
Mymensingh,Jamalpur,Madarganj,52,43,40006,72195,74356,22539,40549,41604,13163,23469,23967
Dhaka,Narsingdi,Manohardi,68,49,65989,105090,105090,25476,40502,40502,10819,17121,17121
Chattogram,Chandpur,Hajiganj,83,55,44074,87409,89917,20961,40487,41648,11281,21216,21800
Rajshahi,Bogura,Kahaloo,32,30,33607,74774,75437,18348,40474,40822,10646,23446,23646
Chattogram,Cumilla,Cumilla Sadar Dakshin,55,35,53899,81129,81129,27215,40465,40465,14791,21773,21773
Chattogram,Cox's Bazar,Cox's Bazar Sadar,71,43,45995,93285,95624,20283,40344,41545,9631,18747,19414
Rajshahi,Natore,Baraigram,88,62,46571,89468,89481,21000,40274,40276,10286,19688,19690
Rangpur,Kurigram,Ulipur,78,64,27044,87727,100367,12157,39855,46128,5803,18760,21899
Dhaka,Rajbari,Pangsha,73,61,41642,77072,78054,21522,39538,40060,11801,21514,21787
Khulna,Satkhira,Tala,51,46,26733,80732,88605,13133,39282,43195,6826,20009,21968
Rajshahi,Rajshahi,Godagari,48,38,30337,79910,89125,14858,39065,43620,7989,20783,23137
Dhaka,Munshiganj,Sreenagar,78,47,50247,84688,85400,23154,38934,39238,11423,19051,19192
Rajshahi,Naogaon,Atrai,42,41,37807,74940,76100,19641,38748,39309,10363,20464,20760
Rajshahi,Rajshahi,Rajpara,145,58,46057,65128,67743,28055,38420,39767,17647,23660,24380
Rangpur,Rangpur,Mithapukur,69,61,36919,83726,85393,16931,38352,39138,8611,19276,19653
Mymensingh,Jamalpur,Islampur,38,31,30136,73253,79120,15509,38319,41762,8494,21489,23550
Rajshahi,Rajshahi,Charghat,34,27,33918,74114,74132,17502,38282,38296,9456,20662,20668
Dhaka,Manikganj,Singair,59,42,34366,73966,76496,17695,37725,38944,9286,19533,20178
Chattogram,Brahmanbaria,Bijoynagar,39,30,36677,73366,74976,18735,37708,38563,9682,19672,20119
Rangpur,Rangpur,Gangachara,38,37,35654,82365,90201,16576,37620,40778,8163,17969,19356
Chattogram,Cumilla,Homna,51,39,30473,72205,73610,15938,37554,38317,9148,21303,21728
Khulna,Kushtia,Kumarkhali,52,43,36292,75474,82862,18403,37526,41103,10200,20448,22399
Rangpur,Lalmonirhat,Patgram,34,25,26742,75514,80063,13776,37505,39548,7560,19982,21017
Dhaka,Kishoreganj,Pakundia,41,34,49415,88867,88905,20822,37369,37387,9399,16660,16672
Rajshahi,Sirajganj,Belkuchi,73,57,32667,78751,88135,15315,37348,41735,7624,18743,20851
Sylhet,Habiganj,Madhabpur,60,45,37795,70317,74615,20058,36926,39190,10899,19811,20995
Rajshahi,Naogaon,Sapahar,39,31,24381,61761,64420,14551,36599,38147,9118,22845,23748
Rajshahi,Pabna,Chatmohar,69,52,44187,79949,79967,20123,36577,36588,9968,17976,17985
Rangpur,Kurigram,Kurigram Sadar,71,48,35505,81444,88867,15482,36560,40176,7094,16890,18658
Rajshahi,Pabna,Sujanagar,36,26,32715,70176,73951,17064,36553,38220,9581,20488,21282
Khulna,Bagerhat,Morrelganj,80,68,40945,82065,82646,18780,36144,36380,7926,13954,14032
Rangpur,Thakurgaon,Haripur,16,15,20927,67684,79485,11116,36097,42484,6330,20562,24170
Chattogram,Chattogram,Raozan,63,53,53933,84399,84407,22882,36051,36058,10382,16450,16454
Rangpur,Dinajpur,Fulbari,45,36,24177,68392,72942,13124,35810,38102,7253,19441,20676
Chattogram,Noakhali,Sonaimuri,101,73,56460,79215,79524,25442,35641,35777,12786,17891,17963
Dhaka,Gopalganj,Muksudpur,40,27,21513,70219,78331,10916,35456,39540,5960,19176,21346
Chattogram,Chattogram,Sitakunda,40,26,37896,69610,75210,19085,35067,37749,9827,18350,19772
Rajshahi,Naogaon,Dhamoirhat,27,25,22707,68527,70808,11350,34942,36080,6327,19401,19988
Rajshahi,Bogura,Dhupchanchia,68,47,40162,62918,62918,22206,34703,34703,13091,20260,20260
Dhaka,Shariatpur,Bhedarganj,47,40,33226,68342,69938,16631,34699,35509,8627,18463,18874
Dhaka,Tangail,Sakhipur,77,43,32443,61553,62222,18428,34665,35053,10464,19354,19588
Rangpur,Thakurgaon,Baliadangi,23,21,24949,70676,72734,12117,34406,35570,6111,17473,18120
Dhaka,Kishoreganj,Hossainpur,33,28,33845,75918,77440,15136,34400,35178,6954,15943,16344
Rangpur,Rangpur,Badarganj,31,29,27228,76056,86939,12285,34397,39443,5785,16179,18600
Khulna,Narail,Kalia,42,36,30375,64628,65478,16454,34375,34789,9498,19451,19673
Dhaka,Manikganj,Manikganj Sadar,144,72,31650,65559,67239,17030,34165,34949,9738,18793,19189
Dhaka,Narsingdi,Palash,38,21,48102,71059,71059,23406,34074,34074,12027,17154,17154
Khulna,Satkhira,Assasuni,49,44,42232,85805,87645,17196,34034,34890,6146,11648,12054
Khulna,Narail,Lohagara,59,43,28886,66907,73696,14819,33850,37192,8032,18086,19856
Chattogram,Noakhali,Noakhali Sadar,151,90,34515,70579,77137,17232,33636,36523,9490,17611,19011
Rajshahi,Bogura,Sariakandi,51,46,39055,60060,61230,21687,33570,34157,11776,18393,18664
Chattogram,Noakhali,Senbagh,51,36,46613,74354,74588,21046,33416,33514,10446,16497,16543
Rangpur,Kurigram,Raumari,41,34,23237,64370,71919,11876,33356,36683,6518,18619,20260
Rajshahi,Naogaon,Badalgachhi,36,29,33516,65025,65025,17146,33238,33238,9421,18091,18091
Rajshahi,Naogaon,Porsha,21,17,20122,53954,55025,12510,33228,33779,7854,21089,21409
Dhaka,Munshiganj,Gazaria,44,31,35109,65962,66781,17944,33187,33514,10026,18126,18251
Rangpur,Panchagarh,Panchagarh Sadar,45,35,27246,64593,87236,14206,33091,44986,7757,17747,24240
Dhaka,Gopalganj,Kotalipara,63,46,23302,64049,72450,11980,33083,37786,6558,18316,21083
Rangpur,Panchagarh,Boda,38,36,23360,64481,83489,11764,32889,42591,6118,17434,22570
Rajshahi,Naogaon,Raninagar,33,30,30399,60028,60208,16558,32212,32315,9081,17728,17789
Rajshahi,Bogura,Nandigram,38,34,27178,62418,63057,14116,32210,32560,7925,18036,18216
Dhaka,Madaripur,Kalkini,57,45,33651,72821,74016,14890,32194,32781,7207,15504,15786
Dhaka,Rajbari,Rajbari Sadar,79,47,30611,62094,63318,16046,31985,32598,8981,17566,17907
Chattogram,Chandpur,Faridganj,64,49,47387,81080,81080,18695,31974,31974,8384,14284,14284
Chattogram,Cox's Bazar,Teknaf,18,9,31131,70597,78093,14328,31939,34974,6855,15011,16413
Chattogram,Chattogram,Anowara,39,32,44534,69104,69105,20234,31775,31775,9630,15385,15385
Rajshahi,Pabna,Atgharia,26,23,27409,60161,62609,14835,31750,32977,8156,17018,17629
Chattogram,Chattogram,Banshkhali,55,46,29698,70335,80967,13587,31719,36483,6607,15349,17622
Dhaka,Dhaka,Mirpur,135,63,50374,51855,51866,30731,31512,31516,19761,20229,20233
Mymensingh,Mymensingh,Ishwarganj,57,43,23154,59487,63067,11955,31473,33376,5983,16254,17206
Khulna,Jashore,Bagherpara,41,34,23325,57800,58437,12861,31398,31721,7343,17862,18048
Rangpur,Lalmonirhat,Hatibandha,50,43,30914,65330,66611,14736,31196,31883,7430,15703,16061
Rajshahi,Bogura,Adamdighi,39,31,35337,58412,58412,18848,31172,31172,11002,18189,18189
Chattogram,Brahmanbaria,Ashuganj,33,24,39980,59453,62751,21014,30975,32708,11784,17192,18169
Rangpur,Rangpur,Pirgachha,52,49,27678,64486,65457,13432,30825,31365,6609,15033,15308
Rajshahi,Rajshahi,Durgapur,27,22,21959,62699,63495,11038,30812,31196,6029,16401,16609
Mymensingh,Jamalpur,Dewanganj,32,25,19108,59010,63845,9443,30748,33394,5207,17424,18970
Sylhet,Maulvibazar,Sreemangal,55,41,35530,65194,69925,16835,30582,32979,8461,15381,16732
Chattogram,Chattogram,Lohagara,51,35,34544,68790,72092,15287,30517,32342,7267,14495,15570
Rajshahi,Natore,Gurudaspur,40,31,35121,64969,64969,16842,30509,30509,8477,15103,15103
Dhaka,Narayanganj,Bandar,30,20,36655,57443,57443,19564,30276,30276,10910,16607,16607
Rajshahi,Bogura,Sonatola,49,40,38142,62837,63590,18008,30239,30593,8855,15019,15208
Dhaka,Manikganj,Saturia,35,28,26515,57419,57585,13749,30216,30304,7409,16525,16574
Chattogram,Feni,Chhagalnaiya,34,29,34687,57860,58847,18463,30213,30730,10667,17141,17434
Khulna,Bagerhat,Rampal,41,33,30687,60047,60105,15586,30042,30074,7422,14214,14235
Rangpur,Lalmonirhat,Kaliganj,41,31,28164,64544,66556,13061,29822,30805,6380,14418,14905
Rajshahi,Joypurhat,Panchbibi,41,35,33876,62297,65879,16203,29771,31633,8282,15131,16150
Dhaka,Rajbari,Baliakandi,47,34,28870,60688,61129,14257,29753,29972,7532,15540,15642
Khulna,Chuadanga,Jibannagar,48,29,33069,56894,58454,17369,29516,30237,9750,16376,16760
Khulna,Khulna,Rupsa,27,25,34738,54119,54856,19018,29510,29911,11116,17177,17400
Chattogram,Chandpur,Matlab Dakshin,47,29,31208,62743,62839,15233,29505,29534,8072,15300,15310
Dhaka,Kishoreganj,Katiadi,52,42,44776,67229,67393,19490,29485,29576,9165,13916,13962
Rajshahi,Rajshahi,Boalia,32,14,34395,49908,50527,20601,29353,29636,12626,17716,17865
Chattogram,Chandpur,Shahrasti,60,38,38672,66614,66614,17103,29345,29345,8437,14529,14529
Sylhet,Habiganj,Habiganj Sadar,92,45,33783,54528,58775,19135,29318,31318,11059,16135,17132
Mymensingh,Netrakona,Durgapur,41,35,18597,63216,71669,8784,29254,32925,4449,14534,16330
Dhaka,Faridpur,Nagarkanda,23,20,19766,61181,69329,9415,29236,33207,4712,14908,16950
Rajshahi,Pabna,Bera,50,29,32321,57302,63064,16333,29163,32362,8901,16009,17825
Rajshahi,Joypurhat,Kalai,26,23,22684,56365,62553,11584,29122,32605,6427,16243,18313
Chattogram,Brahmanbaria,Sarail,25,18,35542,56528,63173,18361,28962,32526,9702,15295,17277
Dhaka,Faridpur,Saltha,22,19,18890,58432,59736,9358,28830,29455,4979,15161,15494
Chattogram,Brahmanbaria,Akhaura,35,18,34711,56621,57031,17761,28719,28916,9543,15290,15385
Chattogram,Feni,Daganbhuiyan,48,36,36061,57236,57236,18484,28695,28695,10187,15641,15641
Sylhet,Sylhet,Gowainghat,34,30,17797,58341,74636,8770,28694,36791,4687,14911,19111
Barishal,Barguna,Amtali,50,36,23014,63495,65635,10553,28649,29648,4942,13177,13665
Khulna,Jhenaidah,Harinakunda,35,28,23362,54362,54363,12296,28503,28503,6516,15344,15344
Sylhet,Maulvibazar,Kamalganj,49,39,28493,62282,66573,12655,28334,30539,6281,13994,15198
Dhaka,Tangail,Gopalpur,34,27,24876,54397,54579,13037,28313,28407,6894,14773,14811
Chattogram,Cumilla,Titas,33,26,34548,54968,54968,17857,28304,28304,10127,15944,15944
Dhaka,Dhaka,Demra,41,16,37378,42361,42361,25598,28197,28197,17509,18972,18972
Mymensingh,Mymensingh,Gafargaon,51,51,28759,58948,59646,14401,28177,28521,7142,13632,13795
Khulna,Meherpur,Meherpur Sadar,82,50,22297,49332,65861,13303,28145,37043,8207,16949,22071
Dhaka,Kishoreganj,Bhairab,73,45,32163,55546,56761,16683,28140,28795,9198,15332,15681
Chattogram,Cumilla,Brahmanpara,49,37,36467,58951,60289,17210,28080,28719,8434,13905,14226
Mymensingh,Sherpur,Nalitabari,40,33,25653,59007,61565,12257,27731,29011,6088,13596,14289
Rangpur,Nilphamari,Saidpur,45,26,24828,56280,62035,12359,27713,30323,6363,14201,15475
Mymensingh,Netrakona,Kalmakanda,31,27,18347,61167,75203,8313,27678,33742,3875,13152,15999
Dhaka,Narsingdi,Belabo,35,28,34401,65465,65465,14978,27606,27606,7206,13056,13056
Dhaka,Faridpur,Bhanga,54,37,24974,56540,57155,12168,27452,27740,6478,14416,14554
Khulna,Magura,Sreepur,29,22,23590,54550,56281,11701,27393,28325,6275,14773,15348
Sylhet,Maulvibazar,Kulaura,58,36,22774,60070,67240,10790,27390,30475,5631,13785,15234
Rangpur,Dinajpur,Birampur,48,30,24515,57012,59303,11889,27277,28353,6192,13946,14499
Sylhet,Sylhet,Golapganj,35,27,29565,63761,68663,12561,27225,29343,5919,12641,13547
Rangpur,Rangpur,Kaunia,18,16,25678,59474,61347,11738,27224,28116,5489,12733,13158
Chattogram,Feni,Sonagazi,37,31,32591,58814,59175,15064,27198,27421,7601,13695,13825
Khulna,Khulna,Koyra,25,22,24732,63592,69374,10592,27096,29750,3776,9458,10402
Chattogram,Cumilla,Monoharganj,36,27,27874,61211,61211,12341,26919,26919,5933,12838,12838
Mymensingh,Mymensingh,Gouripur,23,23,14593,51878,61286,7449,26821,31644,3749,13649,16033
